Frequency-neuron causal test
unigram: /marimo/repo/results/unigram_logfreq_43be1456fdd4.npy

Weight-space freq_corr vs causal d_elogu slope across 55 candidates: Pearson r=0.173 (p=0.21), Spearman rho=0.076 (p=0.58)
|causal elogu slope| per sigma: FREQ-NEURON-LIKE (n=9) 0.0043 | other candidates (n=37) 0.0016 | random controls (n=10) 0.0012
sign agreement (weight score vs causal slope) among FREQ-NEURON-LIKE: 0.67

 neuron_id  is_candidate  freq_corr  abs_freq_corr_pctile  d_elogu_slope_per_sigma  d_elogu_slope_p  d_kl_slope_per_sigma  d_kl_slope_p  d_entropy_slope_per_sigma  d_elogu_mean_ablation  d_elogu_mean_ablation_p
 L30_N7102          True    -0.2972                  99.5               -0.0006775           0.2408             0.0005188        0.2755                  0.0001586              -0.001607                   0.5725
L30_N10312          True   -0.09759                  76.5               -0.0006465           0.2821             0.0005076        0.3329                   0.000139               0.002008                   0.4719
L30_N13098          True    -0.1433                  91.9               -0.0005852           0.4043             0.0005626        0.4421                   2.26e-05               0.001245                   0.6491
 L31_N7853          True   -0.01441                  16.6               -0.0005569           0.3525             0.0008688        0.1652                 -0.0003118               0.002868                   0.1258
L29_N10092          True    -0.4098                  99.9                -0.000522           0.4533              0.001218       0.05099                  -0.000696              0.0004844                    0.871
 L20_N4769          True     0.1246                  86.5               -0.0004057           0.6305             3.749e-05        0.9634                  0.0003682             -7.296e-05                   0.9838
 L30_N1424         False        NaN                   NaN               -0.0003406           0.5251             2.489e-05        0.9536                  0.0003157               0.001221                   0.6435
  L22_N409         False        NaN                   NaN                -0.000335           0.6477             9.733e-05        0.8616                  0.0002377               0.003542                   0.3021
 L24_N2286         False        NaN                   NaN                -0.000322           0.6619            -0.0003095        0.7287                  0.0006314             -0.0009802                   0.7127
 L31_N6912         False        NaN                   NaN                0.0003009           0.6027            -0.0005789        0.4433                  0.0002781               0.002671                   0.2176
 L26_N4012         False        NaN                   NaN                 0.000291           0.6981            -0.0001206         0.846                 -0.0001703             -0.0002888                   0.9278
 L29_N6625          True      0.193                  96.9               -0.0002655           0.7738             -0.001026        0.3243                   0.001292             -0.0003127                    0.909
 L30_N5509          True     0.1505                  93.1                0.0001581           0.8694             -0.001874       0.05459                   0.001716               0.003276                   0.2681
L28_N14222          True    0.02774                  29.5               -0.0001111            0.907            -6.401e-05        0.9444                  0.0001751               0.003097                    0.235
   L27_N45          True    -0.1427                  91.9               -4.048e-05           0.9652             -0.002314      0.006599                   0.002354             -0.0009143                   0.7223
 L29_N4718          True    -0.1289                  87.5                3.079e-05           0.9704            -9.397e-06        0.9916                 -2.138e-05               0.002236                   0.4245
L23_N12855          True     0.0126                  14.9               -2.396e-05           0.9734            -0.0005902        0.3881                  0.0006141               0.003247                   0.3605
  L31_N377          True    0.03517                  35.9                -2.59e-06           0.9968             0.0002684        0.5943                 -0.0002657                0.00219                   0.3225
