neuron_id,layer,neuron_idx,category,prompt_id,orig_entropy,ablated_entropy,entropy_shift,orig_top1_prob,ablated_top1_prob,direct_effect_score,split,is_control,orig_activation,mean_val,mean_source,precision
L31_N12923,31,12923,ambiguity,amb_0000,2.131409168243408,2.1356072425842285,0.0041980743408203125,0.3043592870235443,0.3060559630393982,0.13027599453926086,working,False,-0.01434326171875,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0001,4.559041500091553,4.531220436096191,-0.027821063995361328,0.1691441833972931,0.1678972840309143,0.13027599453926086,working,False,-0.61328125,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0002,0.5591363906860352,0.5592172145843506,8.082389831542969e-05,0.7746531963348389,0.7746459245681763,0.13027599453926086,working,False,-0.58203125,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0003,0.7737653255462646,0.7751003503799438,0.0013350248336791992,0.8860874176025391,0.8858332633972168,0.13027599453926086,working,False,-0.32421875,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0004,3.214151620864868,3.213320732116699,-0.0008308887481689453,0.3810039460659027,0.3811340928077698,0.13027599453926086,working,False,-0.41015625,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0005,0.40345656871795654,0.40222692489624023,-0.0012296438217163086,0.9331170916557312,0.9333244562149048,0.13027599453926086,working,False,-0.67578125,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0006,2.6447858810424805,2.6467769145965576,0.0019910335540771484,0.3364722430706024,0.3360120356082916,0.13027599453926086,working,False,-0.04296875,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0007,2.73992919921875,2.734435796737671,-0.0054934024810791016,0.3336516320705414,0.3343208134174347,0.13027599453926086,working,False,-0.06787109375,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0008,3.0731167793273926,3.1511290073394775,0.07801222801208496,0.321990430355072,0.3032503128051758,0.13027599453926086,working,False,-0.0947265625,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0009,2.3017964363098145,2.299426555633545,-0.0023698806762695312,0.3590010106563568,0.3592267334461212,0.13027599453926086,working,False,-0.2099609375,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0010,3.0725746154785156,3.056631088256836,-0.015943527221679688,0.32308200001716614,0.3188779354095459,0.13027599453926086,working,False,-0.279296875,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0011,0.1853773295879364,0.18599927425384521,0.0006219446659088135,0.9783462882041931,0.9782554507255554,0.13027599453926086,working,False,-0.404296875,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0012,0.2827058434486389,0.2748171091079712,-0.007888734340667725,0.9530503153800964,0.9550113677978516,0.13027599453926086,working,False,-0.283203125,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0013,2.846848487854004,2.847205638885498,0.0003571510314941406,0.23987779021263123,0.2398548275232315,0.13027599453926086,working,False,-0.484375,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0014,1.7274397611618042,1.7283728122711182,0.0009330511093139648,0.6531180739402771,0.6529789566993713,0.13027599453926086,working,False,-0.37890625,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0015,2.646392345428467,2.644813060760498,-0.00157928466796875,0.2669826149940491,0.2695249617099762,0.13027599453926086,working,False,-0.057373046875,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0016,2.1020545959472656,2.1230969429016113,0.021042346954345703,0.356288343667984,0.36878857016563416,0.13027599453926086,working,False,0.2734375,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0017,2.545952796936035,2.5459136962890625,-3.910064697265625e-05,0.3178497850894928,0.3177790343761444,0.13027599453926086,working,False,-0.07080078125,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0018,2.6739742755889893,2.6698477268218994,-0.004126548767089844,0.5581860542297363,0.5589100122451782,0.13027599453926086,working,False,-0.41015625,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0019,3.003119945526123,2.9894421100616455,-0.013677835464477539,0.26456767320632935,0.25946828722953796,0.13027599453926086,working,False,-0.47265625,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0020,3.019925832748413,3.0236780643463135,0.0037522315979003906,0.2309427112340927,0.23014122247695923,0.13027599453926086,working,False,-0.10400390625,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0021,0.8744735717773438,0.8751887083053589,0.0007151365280151367,0.78462815284729,0.7845281362533569,0.13027599453926086,working,False,-0.486328125,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0022,1.4463167190551758,1.4409940242767334,-0.005322694778442383,0.6989033222198486,0.6996015906333923,0.13027599453926086,working,False,-0.578125,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0023,2.3588614463806152,2.358206272125244,-0.0006551742553710938,0.3514297902584076,0.35201597213745117,0.13027599453926086,working,False,-0.45703125,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0024,2.423225164413452,2.4232676029205322,4.2438507080078125e-05,0.163632333278656,0.16363127529621124,0.13027599453926086,working,False,-0.298828125,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0025,2.3594460487365723,2.3605690002441406,0.0011229515075683594,0.38730406761169434,0.38696950674057007,0.13027599453926086,working,False,-0.2158203125,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0026,3.7028703689575195,3.702009677886963,-0.0008606910705566406,0.3228043019771576,0.32295918464660645,0.13027599453926086,working,False,-0.470703125,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0027,1.8813252449035645,1.8889856338500977,0.007660388946533203,0.6477286219596863,0.6426137685775757,0.13027599453926086,working,False,-0.5234375,-0.35548146565755206,pooled_controls,bf16
L31_N12923,31,12923,ambiguity,amb_0028,2.591080665588379,2.581529140472412,-0.009551525115966797,0.5235283970832825,0.5272061824798584,0.13027599453926086,working,False,-0.54296875,-0.35548146565755206,pooled_controls,bf16
