neuron_id,mean,std,min,max
L23_N12156,0.005048479352678571,0.020502989550235644,-0.05078125,0.078125
L24_N7891,-0.007473900204613095,0.021152159803041352,-0.09375,0.03515625
L26_N11322,-0.002292451404389881,0.01963302191229704,-0.078125,0.046875
L26_N2788,-0.001606169201078869,0.01702231149979312,-0.078125,0.046875
L29_N10092,0.001068115234375,0.018922749802013725,-0.0859375,0.0390625
L29_N10191,-0.003203619094122024,0.0219795195783367,-0.078125,0.078125
L29_N11308,-0.001610165550595238,0.013541557180338398,-0.0859375,0.0234375
L29_N8568,-0.0002906436011904762,0.014491279555050418,-0.0546875,0.0703125
L29_N9228,0.0018034435453869048,0.018064171215302124,-0.0859375,0.0390625
L30_N13513,-0.0006009056454613095,0.016089022444511478,-0.09375,0.0625
L30_N3533,0.0005231584821428571,0.01395938057006861,-0.0625,0.0703125
L30_N5509,-0.0016617547898065475,0.015537670988742475,-0.09375,0.046875
L30_N6621,-0.00017147972470238094,0.014902184405740813,-0.0234375,0.0625
L30_N7102,-0.000999087379092262,0.011757906944648908,-0.09375,0.01953125
L31_N2477,-0.004471551804315476,0.02234629215683975,-0.046875,0.0546875
