neuron_id,stat,p,significant
L23_N12156,627.0,0.0021934846780662597,True
L24_N7891,745.5,0.003552745312303381,True
L26_N11322,687.5,0.6351641996254944,False
L26_N2788,777.5,0.866909127928115,False
L29_N10092,671.5,0.00867302189352095,True
L29_N10191,772.5,0.2937149367287085,False
L29_N11308,480.5,0.6751992562488749,False
L29_N8568,345.0,0.38137463213544553,False
L29_N9228,560.5,0.014131930842173514,False
L30_N13513,273.0,0.3432713764254438,False
L30_N3533,131.5,0.26230876483245835,False
L30_N5509,208.0,0.43034113308777533,False
L30_N6621,471.5,0.018962600302308813,False
L30_N7102,361.5,0.689451709833096,False
L31_N2477,1105.5,0.044026684305943906,False
