neuron_id,layer,neuron_idx,category,prompt_id,orig_entropy,ablated_entropy,entropy_shift,orig_top1_prob,ablated_top1_prob,direct_effect_score,split,is_control,orig_activation,mean_val,mean_source,precision
L30_N5509,30,5509,ambiguity,amb_0000,2.131409168243408,2.127319812774658,-0.00408935546875,0.3043592870235443,0.3080425262451172,0.09239491075277328,working,False,-0.10205078125,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0001,4.559041500091553,4.542399883270264,-0.016641616821289062,0.1691441833972931,0.16860510408878326,0.09239491075277328,working,False,0.1171875,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0002,0.5591363906860352,0.5849438905715942,0.025807499885559082,0.7746531963348389,0.7524127960205078,0.09239491075277328,working,False,0.031494140625,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0003,0.7737653255462646,0.7745429277420044,0.0007776021957397461,0.8860874176025391,0.8858904838562012,0.09239491075277328,working,False,0.013427734375,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0004,3.214151620864868,3.158942699432373,-0.05520892143249512,0.3810039460659027,0.3962666690349579,0.09239491075277328,working,False,-0.002288818359375,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0005,0.40345656871795654,0.39924171566963196,-0.004214853048324585,0.9331170916557312,0.9338377714157104,0.09239491075277328,working,False,0.255859375,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0006,2.6447858810424805,2.6428732872009277,-0.0019125938415527344,0.3364722430706024,0.3379930853843689,0.09239491075277328,working,False,-0.271484375,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0007,2.73992919921875,2.737696886062622,-0.0022323131561279297,0.3336516320705414,0.3340081572532654,0.09239491075277328,working,False,0.138671875,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0008,3.0731167793273926,3.0744736194610596,0.0013568401336669922,0.321990430355072,0.32153186202049255,0.09239491075277328,working,False,-0.2021484375,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0009,2.3017964363098145,2.298197031021118,-0.003599405288696289,0.3590010106563568,0.3592950701713562,0.09239491075277328,working,False,-0.1416015625,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0010,3.0725746154785156,3.056658983230591,-0.015915632247924805,0.32308200001716614,0.3202769458293915,0.09239491075277328,working,False,0.1796875,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0011,0.1853773295879364,0.18547983467578888,0.00010250508785247803,0.9783462882041931,0.9783202409744263,0.09239491075277328,working,False,-0.087890625,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0012,0.2827058434486389,0.27393507957458496,-0.008770763874053955,0.9530503153800964,0.9551351070404053,0.09239491075277328,working,False,0.0274658203125,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0013,2.846848487854004,2.848487377166748,0.0016388893127441406,0.23987779021263123,0.23952800035476685,0.09239491075277328,working,False,0.08203125,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0014,1.7274397611618042,1.7318733930587769,0.004433631896972656,0.6531180739402771,0.6525331139564514,0.09239491075277328,working,False,-0.359375,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0015,2.646392345428467,2.646404504776001,1.2159347534179688e-05,0.2669826149940491,0.2669757902622223,0.09239491075277328,working,False,-0.0703125,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0016,2.1020545959472656,2.1231582164764404,0.021103620529174805,0.356288343667984,0.3688056170940399,0.09239491075277328,working,False,0.061279296875,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0017,2.545952796936035,2.5348849296569824,-0.011067867279052734,0.3178497850894928,0.3112727999687195,0.09239491075277328,working,False,-0.447265625,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0018,2.6739742755889893,2.5998761653900146,-0.07409811019897461,0.5581860542297363,0.5737149119377136,0.09239491075277328,working,False,-0.0634765625,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0019,3.003119945526123,3.0058844089508057,0.002764463424682617,0.26456767320632935,0.263731449842453,0.09239491075277328,working,False,-0.0022430419921875,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0020,3.019925832748413,3.068270206451416,0.04834437370300293,0.2309427112340927,0.21356339752674103,0.09239491075277328,working,False,-0.00640869140625,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0021,0.8744735717773438,0.8762363791465759,0.0017628073692321777,0.78462815284729,0.7843976616859436,0.09239491075277328,working,False,-0.11181640625,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0022,1.4463167190551758,1.4510208368301392,0.004704117774963379,0.6989033222198486,0.6977415680885315,0.09239491075277328,working,False,0.031494140625,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0023,2.3588614463806152,2.3559348583221436,-0.0029265880584716797,0.3514297902584076,0.35167160630226135,0.09239491075277328,working,False,0.0230712890625,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0024,2.423225164413452,2.4221787452697754,-0.0010464191436767578,0.163632333278656,0.16737864911556244,0.09239491075277328,working,False,0.2734375,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0025,2.3594460487365723,2.4208269119262695,0.061380863189697266,0.38730406761169434,0.3584570288658142,0.09239491075277328,working,False,0.048095703125,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0026,3.7028703689575195,3.704549789428711,0.0016794204711914062,0.3228043019771576,0.32266944646835327,0.09239491075277328,working,False,-0.0771484375,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0027,1.8813252449035645,1.882994294166565,0.0016690492630004883,0.6477286219596863,0.6464651226997375,0.09239491075277328,working,False,0.1591796875,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0028,2.591080665588379,2.589783191680908,-0.0012974739074707031,0.5235283970832825,0.5253512859344482,0.09239491075277328,working,False,-0.056396484375,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0029,2.0469510555267334,2.046365737915039,-0.0005853176116943359,0.5000725388526917,0.5001363158226013,0.09239491075277328,working,False,0.171875,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0030,1.3423449993133545,1.3806514739990234,0.038306474685668945,0.5465922355651855,0.5234208703041077,0.09239491075277328,working,False,-0.33984375,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0031,2.5924174785614014,2.5446908473968506,-0.04772663116455078,0.2651655673980713,0.292533278465271,0.09239491075277328,working,False,-0.0791015625,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0032,0.7734093070030212,0.7732151746749878,-0.00019413232803344727,0.7512880563735962,0.7513056397438049,0.09239491075277328,working,False,-0.1826171875,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0033,0.3125807046890259,0.31200823187828064,-0.0005724728107452393,0.9496376514434814,0.9497112035751343,0.09239491075277328,working,False,0.10302734375,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0034,0.06319817155599594,0.06271947920322418,-0.00047869235277175903,0.9920816421508789,0.9921330809593201,0.09239491075277328,working,False,0.16015625,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0035,3.2133400440216064,3.203184127807617,-0.010155916213989258,0.14269918203353882,0.1424666792154312,0.09239491075277328,working,False,-0.1220703125,-0.16334635416666668,general_baseline,bf16
L30_N5509,30,5509,ambiguity,amb_0036,0.27980995178222656,0.28521811962127686,0.005408167839050293,0.956149697303772,0.9549562931060791,0.09239491075277328,working,False,-0.1396484375,-0.16334635416666668,general_baseline,bf16
