neuron_id,category,is_control_neuron,n_unc,n_ctrl,H_unc,H_ctrl,raw_inter,raw_p,ancova_arm,ancova_p,ancova_H,ancova_H_p,slope_H_unc,matched_window,matched_n_unc,matched_n_ctrl,matched_inter,matched_p,strat_inter,strat_p,strat_bins,ancova_fdr,raw_fdr,strat_fdr
L23_N12149,ambiguity,True,120,120,2.0880373641227683,2.3424814114967982,-0.005792084460457165,0.08881722904348206,-0.0061670389762738965,0.07528339482167544,-0.001473622667483976,0.1289439089730396,0.0461629279811098,"[0.56,3.45]",90,87,-0.00815437872291068,0.06606377115357052,-0.0055099812261674526,0.1157684630738523,5,False,False,False
L23_N12149,contradictory_context,True,120,120,0.9196175378126402,1.2473513918851191,-0.0019782494520768504,0.5222553466716127,-0.0029379099564887153,0.34585413436231804,-0.0029281701981255597,0.24128458921018348,-0.1434474616292798,"[0.13,1.78]",96,78,-0.0038677754764182394,0.23837334164777665,-0.0032170319372569088,0.34530938123752497,5,False,False,False
L23_N12149,lack_of_knowledge,True,120,120,2.8453548630078633,1.2391928654474518,-0.006960392184555521,0.01804551889135585,-0.008152321895817159,0.03399944913989507,0.0007420980654952958,0.5763249244244557,-0.022966872699493015,"[2.04,2.49]",31,11,-0.010524949020654208,0.2111170069011636,-0.0076133734578892,0.09780439121756487,4,False,False,False
L23_N12156,ambiguity,False,120,120,2.0880373641227683,2.3424814114967982,-0.002313670081396902,0.4488742986745854,-0.002364824647115837,0.4452213006103186,-0.00020104445848457192,0.829802118218413,0.13294673241197305,"[0.56,3.45]",90,87,-0.0039033247136521635,0.3229578791121511,-0.002001131678188055,0.5508982035928144,5,False,False,False
L23_N12156,contradictory_context,False,120,120,0.9196175378126402,1.2473513918851191,-2.4907810923960642e-05,0.9922995708818587,0.00020853191203090726,0.9344724113045897,0.0007122844346231161,0.5221438169932644,0.012573811677586278,"[0.13,1.78]",96,78,0.002448520903738249,0.4544808684804952,0.0010410916031728871,0.7045908183632734,5,False,False,False
L23_N12156,lack_of_knowledge,False,120,120,2.8453548630078633,1.2391928654474518,-0.000705558775613694,0.7947638590624747,0.0022645776847556014,0.5747330875744012,-0.0018492135070314307,0.2267700404079962,-0.15748315855267725,"[2.04,2.49]",31,11,0.007202648347423931,0.531188663530255,0.0024498485105624787,0.5149700598802395,4,False,False,False
L24_N2286,ambiguity,True,120,120,2.0880373641227683,2.3424814114967982,-0.0006162573583424059,0.832796680706706,-0.0009517759209797488,0.745848090072798,-0.0013186339633410077,0.1383021386757864,-0.04509340926453225,"[0.56,3.45]",90,87,-0.0015444853296681803,0.6784832785842944,-8.431474440617134e-05,0.9860279441117764,5,False,False,False
L24_N2286,contradictory_context,True,120,120,0.9196175378126402,1.2473513918851191,0.0022398639703169435,0.3499521154230051,0.0016081357988407528,0.5086136514952013,-0.0019275645882359165,0.2040828804237177,-0.06981734842697408,"[0.13,1.78]",96,78,0.0030856960190412354,0.29248092394200154,0.002155644942641726,0.4590818363273453,5,False,False,False
L24_N2286,lack_of_knowledge,True,120,120,2.8453548630078633,1.2391928654474518,0.0011051675149550046,0.6967896941978773,0.004077441627537003,0.2922189049594319,-0.001850544414010894,0.16684548587837433,0.07297729008958954,"[2.04,2.49]",31,11,0.021966258102148483,0.03176781738779089,0.0033292279863135076,0.41317365269461076,4,False,False,False
L24_N7891,ambiguity,False,120,120,2.0880373641227683,2.3424814114967982,-0.0017738560835520415,0.613348134414837,-0.0017938420619420224,0.6129879145751969,-7.854763589970528e-05,0.9374227608669095,0.10013889853462045,"[0.56,3.45]",90,87,-0.00138120612422169,0.7625367302907343,-0.0013736776035439813,0.7105788423153693,5,False,False,False
