pair,alpha,layer,rankunknown,rankI,ranknot
7,0.0,26,142377,149929,119606
7,3.0,20,137433,151048,26037
7,3.0,21,102363,150879,13189
7,3.0,22,139631,149756,12982
7,3.0,23,126697,148332,8709
7,3.0,24,113338,146971,1694
7,3.0,25,90507,141676,395
7,3.0,26,101711,144409,77
8,-3.0,20,141410,150269,151902
8,-3.0,21,131453,150269,151404
8,-3.0,22,128996,150686,150654
8,-3.0,23,108506,151417,147932
8,-3.0,24,35556,148468,101345
8,-3.0,25,37436,147970,116297
8,-3.0,26,73627,148908,124306
8,0.0,20,147244,150077,149486
8,0.0,21,131552,149318,146670
8,0.0,22,117469,149967,140727
8,0.0,23,76805,150690,119155
8,0.0,24,13877,145103,57214
8,0.0,25,8189,112444,18216
8,0.0,26,20511,127273,28330
8,3.0,20,117232,147087,31313
8,3.0,21,34689,148833,13363
8,3.0,22,68060,146210,6542
8,3.0,23,62881,145385,2990
8,3.0,24,18096,131649,217
8,3.0,25,10309,113435,25
8,3.0,26,18896,114341,8
9,-3.0,20,144804,151367,151899
9,-3.0,21,136406,151145,151215
9,-3.0,22,135597,151556,150770
9,-3.0,23,123877,151648,147415
9,-3.0,24,102074,150525,118180
9,-3.0,25,96924,148164,122513
9,-3.0,26,109361,148826,130431
9,0.0,20,147846,151554,149109
9,0.0,21,138487,150813,147576
9,0.0,22,125957,151249,148149
9,0.0,23,104402,151117,139704
9,0.0,24,58705,148996,97536
9,0.0,25,35111,128676,43423
9,0.0,26,26906,125140,36906
9,3.0,20,127025,150613,50357
9,3.0,21,63786,150975,33164
9,3.0,22,94109,150232,20266
9,3.0,23,96263,149379,10753
9,3.0,24,66229,143552,1078
9,3.0,25,33158,119663,240
9,3.0,26,41469,123304,20
10,-3.0,20,145837,151319,151904
10,-3.0,21,142312,151366,151472
10,-3.0,22,139241,151733,150998
10,-3.0,23,110532,151810,148737
10,-3.0,24,50294,150828,113680
10,-3.0,25,71557,149585,119845
10,-3.0,26,87521,150258,109373
10,0.0,20,146566,151687,145300
10,0.0,21,137536,151415,143868
10,0.0,22,125199,151534,144912
10,0.0,23,91646,151093,128274
10,0.0,24,15681,144334,32891
10,0.0,25,10103,116492,6887
10,0.0,26,23506,128651,5670
10,3.0,20,120801,150941,20581
10,3.0,21,75648,150392,10742
10,3.0,22,102233,149021,4690
10,3.0,23,96283,147262,3043
10,3.0,24,77837,144367,705
10,3.0,25,72958,145414,321
10,3.0,26,86819,142698,33
11,-3.0,20,145257,151674,151936
11,-3.0,21,136871,151689,151499
11,-3.0,22,134669,151858,150964
11,-3.0,23,123084,151874,150304
11,-3.0,24,108422,151654,140280
11,-3.0,25,110030,149589,133504
11,-3.0,26,115445,149085,132901
11,0.0,20,146769,151829,149182
11,0.0,21,135048,151727,147369
11,0.0,22,125750,151578,147818
11,0.0,23,117195,151687,144793
11,0.0,24,67949,150825,111399
11,0.0,25,53392,141041,68964
11,0.0,26,87397,141788,100424
11,3.0,20,122665,151089,52872
11,3.0,21,61562,151502,34162
11,3.0,22,89685,150628,29714
11,3.0,23,80349,149057,17284
11,3.0,24,60582,144410,2776
