pair,alpha,layer,rankunknown,rankI,ranknot
38,0.0,20,147961,151506,150386
38,0.0,21,136437,151027,149069
38,0.0,22,126853,151414,150247
38,0.0,23,116197,151388,146538
38,0.0,24,67840,148736,114565
38,0.0,25,50069,99936,78108
38,0.0,26,71069,91279,93962
38,3.0,20,129388,150251,67914
38,3.0,21,65819,150887,41368
38,3.0,22,83456,149781,25413
38,3.0,23,81289,149154,14998
38,3.0,24,63318,144755,2434
38,3.0,25,69973,134744,709
38,3.0,26,85010,124589,82
39,-3.0,20,150798,151750,151948
39,-3.0,21,148524,151700,151643
39,-3.0,22,149291,151865,151703
39,-3.0,23,133894,151890,151370
39,-3.0,24,131156,151885,149154
39,-3.0,25,126708,150872,147853
39,-3.0,26,138845,151267,146973
39,0.0,20,151299,151911,150347
39,0.0,21,147637,151791,149243
39,0.0,22,150310,151800,151245
39,0.0,23,147640,151801,150470
39,0.0,24,139560,151814,139392
39,0.0,25,130460,150919,133399
39,0.0,26,139628,151618,133087
39,3.0,20,142711,151527,63247
39,3.0,21,110633,151319,29367
39,3.0,22,143626,150765,24860
39,3.0,23,132265,150895,18261
39,3.0,24,128139,150261,5271
39,3.0,25,123924,148500,1379
39,3.0,26,136623,150036,397
