kind,layer,index,drop_recovery,marginal
head,15,10,0.37484491173365286,0.3313247116318532
head,13,18,0.4921010377811803,0.21406858558432573
head,14,22,0.5053738538438349,0.2007957695216711
head,14,30,0.5553679278145904,0.1508016955509156
head,12,12,0.6189929458638991,0.08717667750160696
head,12,28,0.6243181486380136,0.08185147472749243
head,13,17,0.628185366358709,0.07798425700679701
head,10,0,0.6325930879454744,0.07357653542003162
head,15,6,0.6458632102278301,0.06030641313767593
neuron,21,6349,0.6473047359536198,0.058864887411886224
head,8,9,0.6595300624057278,0.04663956095977828
head,29,0,0.6626413096730605,0.043528313692445586
neuron,21,8761,0.6644384727080909,0.04173115065741517
head,7,6,0.6783570073648343,0.027812616000671753
head,11,13,0.6790014436656082,0.02716817969989782
neuron,16,9495,0.6843537626253133,0.021815860740192705
neuron,18,3705,0.6861701244774391,0.019999498888066958
head,13,21,0.6882476958340188,0.017921927531487247
neuron,13,1358,0.6912955437672289,0.014874079598277135
neuron,18,2325,0.692081046374458,0.01408857699104804
neuron,22,5315,0.6940144962104074,0.012155127155098588
neuron,16,686,0.6942816932790901,0.011887930086415976
neuron,14,5792,0.6956985378467857,0.010471085518720336
neuron,22,5788,0.697024718663752,0.009144904701753998
neuron,20,2673,0.697134021480427,0.009035601885079014
neuron,20,12407,0.6992404413049681,0.006929182060537942
neuron,22,456,0.6994075686287224,0.006762054736783596
neuron,20,962,0.6994401538196259,0.006729469545880162
neuron,17,2578,0.6996254694478372,0.006544153917668827
neuron,20,10215,0.7003586195463828,0.0058110038191232505
neuron,17,9172,0.7006568988804962,0.0055127244850098345
neuron,21,5221,0.7011777766977255,0.0049918466677805196
neuron,13,3474,0.7014145045777593,0.004755118787746704
neuron,21,3492,0.7022478638785122,0.003921759486993803
neuron,19,8064,0.7025831793452171,0.003586444020288959
neuron,16,6443,0.7028915981447652,0.0032780252207408322
neuron,25,14254,0.7031765102000826,0.002993113165423389
neuron,18,14267,0.7034139013319919,0.002755722033514152
neuron,19,13243,0.7035130455065005,0.0026565778590055267
neuron,17,8324,0.7035353323520229,0.0026342910134831143
neuron,19,7074,0.7036881288965732,0.0024814944689328655
neuron,15,877,0.7040360239882854,0.002133599377220685
neuron,14,1430,0.7040953187172909,0.0020743046482151195
neuron,23,2789,0.7042848720086643,0.0018847513568417407
neuron,13,14158,0.7044025412586068,0.0017670821068992426
neuron,15,13754,0.7044980196900873,0.0016716036754187424
neuron,14,7353,0.7046401809833297,0.001529442382176338
neuron,18,13657,0.7050613285445211,0.0011082948209849564
neuron,25,11916,0.705362036458077,0.0008075869074289921
neuron,22,8974,0.705517681131233,0.0006519422342730063
neuron,14,8301,0.7056336676262238,0.0005359557392822234
neuron,19,7241,0.7056599802219488,0.0005096431435572812
neuron,17,7241,0.7057516886809142,0.00041793468459183636
neuron,16,4434,0.7059429079968846,0.00022671536862139963
neuron,18,7050,0.7059892662866136,0.00018035707889241248
neuron,22,11208,0.7060062351209868,0.00016338824451922473
neuron,26,9616,0.706098494880489,7.112848501700242e-05
neuron,14,626,0.7061607925052087,8.830860297348586e-06
neuron,22,958,0.7061654521456344,4.17121987161817e-06
neuron,24,11504,0.7062262088653374,-5.658549983134087e-05
neuron,15,5679,0.7062753620683848,-0.00010573870287877707
neuron,19,1355,0.7062967098698758,-0.00012708650436976665
neuron,20,12410,0.7064421139882807,-0.0002724906227746793
neuron,14,2585,0.7064452199983875,-0.0002755966328814585
neuron,18,1343,0.7064731083705326,-0.000303485005026527
neuron,25,9209,0.7066099258170391,-0.0004403024515330367
neuron,19,15,0.7073003808523712,-0.001130757486865197
neuron,18,14296,0.7075165697042385,-0.0013469463387324465
neuron,17,6180,0.7077881754615903,-0.0016185520960843025
neuron,15,12757,0.7078711044444613,-0.0017014810789552914
neuron,15,854,0.7079306061693044,-0.0017609828037983277
neuron,17,10717,0.7081876565166138,-0.002018033151107712
