rand,layer,norm,cos_real,max_abs_proj_err,span_frac_real
0,11,1.0,0.012459981255233288,1.30385160446167e-08,0.000865537382196635
0,12,1.0,-0.009025076404213905,9.313225746154785e-09,0.0017479246016591787
0,13,1.0,-0.005577330477535725,2.60770320892334e-08,0.0032908765133470297
0,14,1.0,-0.01110798679292202,2.2351741790771484e-08,0.002810368314385414
0,15,1.0,0.024405917152762413,1.6763806343078613e-08,0.0024019363336265087
0,16,1.0,0.016276830807328224,1.909211277961731e-08,0.0017825771356001496
0,17,1.0,-0.003118335036560893,1.30385160446167e-08,0.0026782569475471973
0,18,1.0,0.007400008384138346,1.30385160446167e-08,0.0020649658981710672
0,19,1.0,-0.010005812160670757,7.450580596923828e-09,0.00228034402243793
0,20,1.0,-0.013866512104868889,9.313225746154785e-09,0.002720230957493186
0,21,1.0,0.00674872100353241,2.0489096641540527e-08,0.005908937659114599
1,11,1.0,0.009771744720637798,1.0244548320770264e-08,0.000865537382196635
1,12,0.9999999403953552,-0.018210258334875107,1.30385160446167e-08,0.0017479246016591787
1,13,1.0,0.004632480442523956,2.421438694000244e-08,0.0032908765133470297
1,14,1.0,-0.002286626026034355,1.1175870895385742e-08,0.002810368314385414
1,15,1.0,0.0013502747751772404,1.862645149230957e-08,0.0024019363336265087
1,16,0.9999999403953552,-0.017213471233844757,2.421438694000244e-08,0.0017825771356001496
1,17,1.0,0.026762915775179863,1.4901161193847656e-08,0.0026782569475471973
1,18,1.0,-0.007429382763803005,7.450580596923828e-09,0.0020649658981710672
1,19,1.0,-0.011397256515920162,1.30385160446167e-08,0.00228034402243793
1,20,1.0,0.004439441952854395,1.1408701539039612e-08,0.002720230957493186
1,21,1.0,-0.0265756007283926,1.4901161193847656e-08,0.005908937659114599
2,11,1.0,-0.008802957832813263,1.4901161193847656e-08,0.000865537382196635
2,12,1.0,0.0079272435978055,1.885928213596344e-08,0.0017479246016591787
2,13,1.0,0.001360766589641571,2.60770320892334e-08,0.0032908765133470297
2,14,1.0,-0.01181836612522602,1.862645149230957e-08,0.002810368314385414
2,15,1.0,-0.0004780213348567486,7.450580596923828e-09,0.0024019363336265087
2,16,1.0,-0.006581475026905537,1.979060471057892e-08,0.0017825771356001496
2,17,1.0,-0.0009698257781565189,5.587935447692871e-09,0.0026782569475471973
2,18,1.0,-0.006286337971687317,1.3969838619232178e-08,0.0020649658981710672
2,19,1.0,0.022662118077278137,2.421438694000244e-08,0.00228034402243793
2,20,1.0,-0.012318147346377373,2.0489096641540527e-08,0.002720230957493186
2,21,1.0,0.0029978365637362003,2.60770320892334e-08,0.005908937659114599
3,11,0.9999998807907104,-6.670551374554634e-05,2.421438694000244e-08,0.000865537382196635
3,12,1.0,0.00451651681214571,1.1175870895385742e-08,0.0017479246016591787
3,13,1.0,-0.007924101315438747,2.0489096641540527e-08,0.0032908765133470297
3,14,1.0,0.00534469448029995,8.381903171539307e-09,0.002810368314385414
3,15,1.0,0.023431185632944107,1.862645149230957e-08,0.0024019363336265087
3,16,1.0,0.023417532444000244,1.862645149230957e-08,0.0017825771356001496
