layer,head,proj_dir_uncertain,proj_dir_control,proj_dir_diff,attn_to_entity_uncertain,attn_to_entity_control,rec_control_to_uncertain
29,0,0.2681910952553153,-0.14479227429255842,0.41298336954787374,0.0044879913330078125,0.004891443252563477,0.18041574439054534
15,10,-0.14543117107823492,0.10776937990449369,-0.2532005509827286,0.12562255859375,0.06406097412109375,0.1641434016416054
14,22,-0.054535689880140126,-0.023600430320948364,-0.030935259559191762,0.6832763671875,0.5748901486396789,0.12328549049939944
13,17,0.03478792615351267,0.05308082080446184,-0.018292894650949167,0.5459716796875,0.3270416259765625,0.08028606415564521
12,28,-0.02764888994861394,-0.05653629102744162,0.02888740107882768,0.0832366943359375,0.04118270874023437,0.06022217227085521
11,13,0.03754238677211106,0.017971301241777836,0.019571085530333224,0.287939453125,0.177386474609375,0.05567792374830399
8,9,-0.003716430114582181,-0.009540518099674955,0.005824087985092774,0.1474365234375,0.088873291015625,0.04471971266486339
10,0,-0.007539973501116038,0.02372142041567713,-0.03126139391679317,0.0323394775390625,0.022291183471679688,0.04367393423678505
11,11,0.001068244653288275,-0.00051990159554407,0.0015881462488323448,0.15164794921875,0.089593505859375,0.017865936101101397
15,4,0.17239347234135494,-0.010224730137269943,0.18261820247862487,0.0742218017578125,0.02308197021484375,0.015468156165528291
12,12,-0.07705547171644866,0.006741529703140259,-0.08379700141958893,0.008408355712890624,0.004912185668945313,-0.0023105931319695196
7,6,0.009654651617165656,0.011213154881261289,-0.0015585032640956335,0.131298828125,0.0918701171875,-0.010525567822056676
15,7,0.06193795239087194,-0.13075197767466307,0.192689930065535,0.013269805908203125,0.004893112182617188,-0.021780404330394458
15,6,0.1021378820296377,0.34995117597281933,-0.24781329394318163,0.01773834228515625,0.010535049438476562,-0.030560342126923257
12,11,0.10241281436756253,-0.0003691840916872025,0.10278199845924973,0.30400390625,0.1450042724609375,-0.03688952824661269
13,0,-0.0231049997091759,0.03723349630599841,-0.06033849601517431,0.42119140625,0.225347900390625,-0.047764921004845785
14,30,0.04624837258597836,0.03024879568256438,0.01599957690341398,0.72998046875,0.5598996162414551,-0.057116777019733764
13,18,-0.0609547468367964,-0.12835129778832197,0.06739655095152557,0.53377685546875,0.47144489288330077,-0.057664825231519834
13,16,-0.027480417292099445,0.03188991420902312,-0.05937033150112256,0.3846435546875,0.21150588989257812,-0.05869953978096156
13,21,0.1618825294834096,-0.0010057143743324559,0.16288824385774203,0.5271240234375,0.16759719848632812,-0.060122789873076156
12,15,0.0579159872722812,-0.054506545327603816,0.11242253259988502,0.11605224609375,0.070404052734375,-0.06040088648690041
8,11,0.014396537537686526,0.013050813204608857,0.0013457243330776691,0.015880584716796875,0.009068870544433593,-0.0654547660672419
11,26,0.015050748293288053,-0.02231209590099752,0.03736284419428557,0.1243408203125,0.11475830078125,-0.07515128349607023
15,11,0.09247004867065697,-0.05625884076580405,0.148728889436461,0.22861328125,0.12506504058837892,-0.08484737553467847
15,8,0.059311982104554774,-0.10127731676911936,0.16058929887367412,0.07109375,0.02888031005859375,-0.09120425754949521
14,31,0.0816459990455769,-0.034942419407889246,0.11658841845346615,0.652978515625,0.5781799554824829,-0.0933897468275076
31,14,-1.1068280398845673,-1.4169339507818222,0.3101059108972548,0.000774550437927246,0.0005580948665738106,-0.1313391316701505
13,1,0.02388664188911207,0.0007863295148126781,0.02310031237429939,0.44151611328125,0.15611958503723145,-0.13273056660984364
10,1,-0.0013092865119688213,-0.0252744691882981,0.02396518267632928,0.109765625,0.069964599609375,-0.14431958267499856
11,20,-0.023224842944182457,-0.01690601648297161,-0.006318826461210847,0.2585205078125,0.1580474853515625,-0.18102508108857746
