neuron_id,score_all,cos_out_with_direction,corr_act_with_prev_direction
L21_N8761,-0.7411049604415894,0.17437656223773956,0.31763011247393313
L21_N6349,-0.39289337396621704,-0.06270504742860794,-0.5097756148918124
L21_N5221,-0.34936437010765076,0.09461680799722672,0.7372209938761665
L20_N962,0.2875324785709381,0.017751185223460197,0.9182557024197376
L19_N1355,-0.2174444943666458,-0.21600094437599182,-0.7228683199532717
L16_N686,-0.21193985641002655,-0.3376079201698303,-0.6588906695034243
L17_N2810,0.2055528610944748,-0.02129354514181614,-0.6912924439170349
L25_N5853,0.1991991102695465,-0.03317302092909813,-0.548144887751291
L16_N6443,0.1912854015827179,0.17503200471401215,0.24576970877547416
L19_N15,0.18147379159927368,-0.17413002252578735,-0.4782464115632771
L21_N9243,0.18039605021476746,-0.10841825604438782,-0.03360784949299274
L17_N12183,0.16158458590507507,0.11015058308839798,0.8728598107265355
L17_N2671,-0.15850815176963806,0.2363167554140091,0.6655345439888163
L18_N9919,0.1407577395439148,-0.0004295551625546068,0.8432073370954788
L13_N14158,-0.13575516641139984,0.06188850849866867,0.6943315752244166
L17_N2578,-0.13235506415367126,0.05597206950187683,0.6688522471654127
L15_N5679,-0.1296997219324112,0.07766114175319672,0.6587399070067405
L20_N2673,-0.12728171050548553,0.005582477897405624,0.8943537088084419
L22_N12476,0.12436393648386002,0.13596569001674652,0.3568695181420532
L17_N9172,-0.12324700504541397,0.11200173944234848,0.3917522334902467
L19_N7074,0.11142604053020477,0.06735119968652725,0.5697713828774817
L25_N11916,0.10815850645303726,0.17429454624652863,0.8643069336454127
L14_N13899,-0.10756815969944,0.049569472670555115,0.8345975149183099
L14_N8301,0.10594606399536133,0.11983107775449753,0.8035982241673382
L22_N4697,-0.10442527383565903,0.046994399279356,-0.8113389004064189
L20_N12826,0.10360141098499298,-0.0058391946367919445,0.2554523205336229
L14_N2585,-0.10226114094257355,0.028470143675804138,-0.08499245574035888
L14_N626,0.10143686830997467,-0.13359569013118744,-0.7584642285374011
L20_N10194,-0.0998024195432663,-0.09439846873283386,-0.8404712046633952
L15_N9747,0.0992278978228569,-0.13242024183273315,-0.37273662058822515
L17_N7241,-0.09871790558099747,0.07100816071033478,0.6230183946427078
L19_N6904,0.0982096940279007,-0.007603715639561415,0.48974502223973404
L22_N5315,-0.09760463982820511,-0.07937254756689072,-0.49015155676725103
L18_N2325,-0.09545367956161499,0.05256638675928116,0.28361357962875655
L18_N2351,0.09540753811597824,0.008891604840755463,0.015919195345049018
L22_N8974,0.09293414652347565,0.15680871903896332,0.1307380549796932
L15_N9732,0.09243185073137283,0.17239581048488617,0.7882445594095042
L20_N12410,0.09169679880142212,0.11649008840322495,0.9276267591505235
L22_N5788,-0.0903768315911293,0.04016704857349396,0.7500581979852231
L17_N8324,0.08756908029317856,0.11989150941371918,0.857510342568441
L16_N4434,-0.08696257323026657,-0.025943012908101082,0.23113396179988127
L25_N1472,0.08590666949748993,0.02850736305117607,-0.028000080404510193
L19_N7631,0.08535480499267578,0.062407780438661575,0.894859888638639
L16_N12481,0.0836658924818039,0.13988985121250153,0.6547773431628188
L17_N5027,-0.08304508775472641,-0.04779733344912529,-0.6436175916189112
L19_N5071,0.08271399885416031,-0.08369982242584229,-0.8132078272147781
L18_N14267,-0.08240173757076263,0.09566161036491394,0.7842290465420171
L18_N1343,-0.08198249340057373,0.11926564574241638,0.5200427920109343
L18_N8841,-0.08159349113702774,-0.10993809252977371,-0.8423098265391178
L20_N11293,0.07974869757890701,0.014546209946274757,0.8519853719150496
