layer,head,group,mean_score,mean_abs,n
0,0,prefix,-0.0002543036090564499,0.0004654588606392451,80
0,1,prefix,0.00032073862792252327,0.0004601931338722665,80
0,2,prefix,-0.00021993614964941344,0.0013620403210168775,80
0,3,prefix,1.6199110064363255e-05,0.00027355790728300633,80
0,4,prefix,-9.00672546706005e-05,0.0002681601005185996,80
0,5,prefix,-4.858854348936959e-05,0.00020547984315326672,80
0,6,prefix,-0.00016457501326510026,0.000365110539177671,80
0,7,prefix,3.1466246679201507e-05,0.00033237878387986085,80
0,8,prefix,6.643134835897513e-05,0.00018965010763380974,80
0,9,prefix,5.8214932609956806e-05,0.0003202828693751769,80
0,10,prefix,-6.916242246255422e-05,0.00021878393597170033,80
0,11,prefix,-7.051176563379613e-05,0.0002790373051766437,80
0,12,prefix,3.4724396567575865e-05,0.0002008953726649665,80
0,13,prefix,-4.056836264103581e-05,0.0001866009275414804,80
0,14,prefix,-8.58527927896091e-06,0.00015394066354090796,80
0,15,prefix,-3.1820980735375314e-05,0.00011341096979542443,80
0,16,prefix,-0.00020746417844454967,0.00031565196457661315,80
0,17,prefix,4.373652657303495e-05,9.756549554342797e-05,80
0,18,prefix,5.489129056535091e-06,8.193387310218014e-05,80
0,19,prefix,-4.1932308596148714e-05,0.000148293365618013,80
0,20,prefix,-4.773844421510631e-05,0.0002776466309812875,80
0,21,prefix,-3.6627658365695484e-05,8.48203081590171e-05,80
0,22,prefix,2.7821728469845654e-05,0.00023440318328589172,80
0,23,prefix,0.000169658417492613,0.00021581878164020907,80
0,24,prefix,1.7292468513474547e-05,0.00047922678366454365,80
0,25,prefix,-0.00026204108150693626,0.00032651558820617765,80
0,26,prefix,2.4341630140156668e-05,0.00023044918790731116,80
0,27,prefix,8.209812479940127e-05,0.00016012390807595978,80
0,28,prefix,8.6722727160371e-05,0.00024355113057392686,80
0,29,prefix,2.1780011454808346e-05,0.0002298928972034986,80
0,30,prefix,3.368791186524334e-05,0.00019837009825707241,80
0,31,prefix,5.265627654278404e-05,0.00025314486114726977,80
0,0,entity,-0.004164621947247582,0.008969090872982833,80
0,1,entity,-0.004368979938316642,0.009617819829963282,80
0,2,entity,-0.0005672437322715495,0.0031785669731732467,80
0,3,entity,-0.002463600688898282,0.0059381178389145365,80
0,4,entity,-0.0005013832099351134,0.0017420271142853494,80
0,5,entity,0.0008963809027719094,0.002858752207821169,80
0,6,entity,-4.18174559797535e-06,0.0019646989542252413,80
0,7,entity,-0.0008117394591167226,0.002891424894313843,80
0,8,entity,-0.001715747943973156,0.012806595750345196,80
0,9,entity,-0.007940574943370393,0.018332554921403243,80
0,10,entity,-0.0006491147757600402,0.007656507256857026,80
0,11,entity,0.0037630008607891343,0.02861066571078368,80
0,12,entity,0.00035006797911307785,0.0036603293990850718,80
0,13,entity,-0.0008489756693307981,0.003676895814857062,80
0,14,entity,-0.0006596345296280504,0.004675407636235462,80
0,15,entity,-0.00014958862956007123,0.00879624990622858,80
0,16,entity,-0.0016109600903732257,0.007470856784992463,80
0,17,entity,-0.0008475601121908482,0.004886020895083476,80
0,18,entity,-0.0006721099509974238,0.005352425916186121,80
0,19,entity,0.0004252640537274033,0.002161817451855086,80
0,20,entity,-0.0006186707104149036,0.004265602173586558,80
0,21,entity,0.0015590250844752518,0.0031256405414751497,80
0,22,entity,0.0007306549955686137,0.007496477353434727,80
0,23,entity,0.0012668910428999425,0.008232941177408293,80
0,24,entity,0.0011476014421965886,0.0043056788433368355,80
0,25,entity,0.0012822631390292827,0.004846271463649998,80
0,26,entity,-0.0016843370694878956,0.005110713496706154,80
0,27,entity,0.0001731579376368586,0.002920377662826468,80
0,28,entity,0.0013692715856720382,0.0026206827357228234,80
0,29,entity,0.00015637792020424258,0.0006982338580238334,80
0,30,entity,-0.0003775601033954246,0.0011990172874778438,80
0,31,entity,-2.37369848421487e-06,0.00014942000843300995,80
0,0,last,8.502892796968808e-06,0.00019967532380178455,80
0,1,last,0.00013524594969567262,0.000674239154523093,80
0,2,last,-0.0004069471075126785,0.0007191919912656886,80
0,3,last,0.0005622417027552728,0.0007943248767332989,80
0,4,last,0.00010635517883201828,0.00022952840281504906,80
0,5,last,0.00033505767305541667,0.0004463401403882017,80
0,6,last,5.820757787660114e-05,0.000346618368075724,80
0,7,last,9.685929726401809e-05,0.0007237683614221169,80
0,8,last,0.003104805728798965,0.0034901162558526265,80
0,9,last,-0.000490389765764121,0.0023253618463058958,80
0,10,last,-0.000641710130548745,0.0010831205278009292,80
0,11,last,0.0003605114419769961,0.0027828493090055416,80
0,12,last,-0.0002729809424636187,0.0005561459136515623,80
0,13,last,-0.00039488291695306544,0.0008606483970652334,80
