k,n_heads,n_neurons,recovery
5,5,0,0.06488682155632595
10,9,1,0.27935067442814904
20,14,6,0.6654069199293524
40,14,26,0.9081019726283096
60,14,46,0.8950737415320288
80,14,66,0.9952339802340343
100,14,86,0.9538523660496813
120,20,100,0.8884499988096136
