neuron_id,layer,neuron,score_last,score_all,abs_all
L21_N8761,21,8761,-0.5534136891365051,-0.7411049604415894,0.7411049604415894
L21_N6349,21,6349,-0.28559333086013794,-0.39289337396621704,0.39289337396621704
L21_N5221,21,5221,-0.2517152726650238,-0.34936437010765076,0.34936437010765076
L20_N962,20,962,0.1881944090127945,0.2875324785709381,0.2875324785709381
L19_N1355,19,1355,-0.19647158682346344,-0.2174444943666458,0.2174444943666458
L16_N686,16,686,-0.06088132783770561,-0.21193985641002655,0.21193985641002655
L17_N2810,17,2810,0.12380418926477432,0.2055528610944748,0.2055528610944748
L25_N5853,25,5853,0.14095711708068848,0.1991991102695465,0.1991991102695465
L16_N6443,16,6443,0.17188134789466858,0.1912854015827179,0.1912854015827179
L19_N15,19,15,0.08885431289672852,0.18147379159927368,0.18147379159927368
L21_N9243,21,9243,0.1531481146812439,0.18039605021476746,0.18039605021476746
L17_N12183,17,12183,0.12886935472488403,0.16158458590507507,0.16158458590507507
L17_N2671,17,2671,-0.10720641911029816,-0.15850815176963806,0.15850815176963806
L18_N9919,18,9919,0.10002782195806503,0.1407577395439148,0.1407577395439148
L13_N14158,13,14158,-0.04220114275813103,-0.13575516641139984,0.13575516641139984
L17_N2578,17,2578,-0.05779014900326729,-0.13235506415367126,0.13235506415367126
L15_N5679,15,5679,-0.018986795097589493,-0.1296997219324112,0.1296997219324112
L20_N2673,20,2673,0.00390735175460577,-0.12728171050548553,0.12728171050548553
L22_N12476,22,12476,0.11728233098983765,0.12436393648386002,0.12436393648386002
L17_N9172,17,9172,-0.03762504458427429,-0.12324700504541397,0.12324700504541397
L19_N7074,19,7074,0.09131113439798355,0.11142604053020477,0.11142604053020477
L25_N11916,25,11916,0.10367312282323837,0.10815850645303726,0.10815850645303726
L14_N13899,14,13899,-0.0259175393730402,-0.10756815969944,0.10756815969944
L14_N8301,14,8301,0.03468994051218033,0.10594606399536133,0.10594606399536133
L22_N4697,22,4697,-0.0926995649933815,-0.10442527383565903,0.10442527383565903
L20_N12826,20,12826,0.03534284234046936,0.10360141098499298,0.10360141098499298
L14_N2585,14,2585,-0.0068918755277991295,-0.10226114094257355,0.10226114094257355
L14_N626,14,626,0.05589376762509346,0.10143686830997467,0.10143686830997467
L20_N10194,20,10194,-0.0564366951584816,-0.0998024195432663,0.0998024195432663
L15_N9747,15,9747,0.06431016325950623,0.0992278978228569,0.0992278978228569
L17_N7241,17,7241,-0.047352977097034454,-0.09871790558099747,0.09871790558099747
L19_N6904,19,6904,0.09348447620868683,0.0982096940279007,0.0982096940279007
L22_N5315,22,5315,-0.0308024100959301,-0.09760463982820511,0.09760463982820511
L18_N2325,18,2325,-0.0913674384355545,-0.09545367956161499,0.09545367956161499
L18_N2351,18,2351,0.06899283081293106,0.09540753811597824,0.09540753811597824
L22_N8974,22,8974,0.05972092226147652,0.09293414652347565,0.09293414652347565
L15_N9732,15,9732,0.07823653519153595,0.09243185073137283,0.09243185073137283
