neuron_id,layer,neuron_idx,category,prompt_id,orig_entropy,ablated_entropy,entropy_shift,orig_top1_prob,ablated_top1_prob,direct_effect_score,split
L26_N2788,26,2788,contradictory_context,cc_0000,0.9538294672966003,0.8823732137680054,-0.07145625352859497,0.8099167943000793,0.8280454277992249,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0001,0.0722363069653511,0.07246439158916473,0.00022808462381362915,0.9902220964431763,0.9901878237724304,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0002,1.307542085647583,1.3183726072311401,0.010830521583557129,0.7173232436180115,0.7148471474647522,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0003,1.8852438926696777,1.886589527130127,0.0013456344604492188,0.4012316167354584,0.4119872450828552,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0004,1.7426650524139404,1.7430695295333862,0.0004044771194458008,0.542309582233429,0.542289674282074,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0005,0.4028286039829254,0.40247321128845215,-0.0003553926944732666,0.9247345924377441,0.9247771501541138,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0006,2.3777308464050293,2.3838038444519043,0.006072998046875,0.30100777745246887,0.30076315999031067,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0007,2.766293525695801,2.756950616836548,-0.00934290885925293,0.19163255393505096,0.19253769516944885,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0008,1.6746251583099365,1.675518274307251,0.0008931159973144531,0.5626323223114014,0.5625710487365723,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0009,1.3892736434936523,1.3911128044128418,0.0018391609191894531,0.40657639503479004,0.40632137656211853,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0010,2.0309743881225586,2.0464696884155273,0.01549530029296875,0.3491843342781067,0.33920958638191223,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0011,1.560976505279541,1.5345282554626465,-0.02644824981689453,0.6170791983604431,0.6291798949241638,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0012,2.332400321960449,2.3307857513427734,-0.0016145706176757812,0.28785383701324463,0.28919368982315063,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0013,1.1387476921081543,1.193562626838684,0.054814934730529785,0.6989299654960632,0.6802031993865967,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0014,1.4344351291656494,1.4183273315429688,-0.016107797622680664,0.4325019121170044,0.41391098499298096,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0015,2.344871997833252,2.344949722290039,7.772445678710938e-05,0.4139046370983124,0.41402697563171387,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0016,2.7190494537353516,2.7190184593200684,-3.0994415283203125e-05,0.18722885847091675,0.1872241199016571,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0017,0.7243218421936035,0.7102099657058716,-0.014111876487731934,0.8518386483192444,0.8555856347084045,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0018,1.1959054470062256,1.2153706550598145,0.019465208053588867,0.44495677947998047,0.46950098872184753,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0019,1.4689747095108032,1.472291350364685,0.003316640853881836,0.6237978935241699,0.6232024431228638,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0020,1.8389898538589478,1.830085039138794,-0.008904814720153809,0.453725665807724,0.4614282250404358,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0021,1.5848338603973389,1.6149511337280273,0.030117273330688477,0.46292608976364136,0.45033007860183716,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0022,1.5219347476959229,1.5212957859039307,-0.0006389617919921875,0.5405893325805664,0.5585858821868896,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0023,1.9081099033355713,1.9206533432006836,0.012543439865112305,0.487708181142807,0.4840851426124573,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0024,1.218172550201416,1.2426581382751465,0.02448558807373047,0.6735626459121704,0.6631385087966919,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0025,2.476335048675537,2.484734296798706,0.008399248123168945,0.27447453141212463,0.27333757281303406,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0026,2.6839065551757812,2.67724609375,-0.00666046142578125,0.2693103551864624,0.2700556814670563,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0027,2.2640445232391357,2.2291879653930664,-0.034856557846069336,0.27181386947631836,0.2640994191169739,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0028,2.2324936389923096,2.2337372303009033,0.00124359130859375,0.18912623822689056,0.18909768760204315,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0029,1.4353141784667969,1.4467741250991821,0.011459946632385254,0.6430020928382874,0.635591447353363,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0030,1.5754085779190063,1.5805015563964844,0.005092978477478027,0.5345712900161743,0.5337284803390503,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0031,0.8485399484634399,0.8216692209243774,-0.0268707275390625,0.8344225287437439,0.8446465730667114,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0032,2.6672143936157227,2.6719424724578857,0.004728078842163086,0.41300463676452637,0.41260212659835815,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0033,1.1331603527069092,1.1190615892410278,-0.014098763465881348,0.6066485047340393,0.6258893609046936,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0034,0.48423004150390625,0.48409131169319153,-0.00013872981071472168,0.9169565439224243,0.9169821739196777,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0035,1.1782087087631226,1.1839056015014648,0.005696892738342285,0.8024744987487793,0.8015122413635254,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0036,1.9552669525146484,1.9816464185714722,0.02637946605682373,0.39242908358573914,0.404182106256485,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0037,0.862897515296936,0.8836110830307007,0.02071356773376465,0.7937551736831665,0.7809153199195862,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0038,2.005110740661621,2.008373975753784,0.003263235092163086,0.47927677631378174,0.4789813756942749,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0039,2.2806990146636963,2.263523817062378,-0.01717519760131836,0.3331906199455261,0.3372921943664551,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0040,0.6850176453590393,0.6881933808326721,0.0031757354736328125,0.8471639156341553,0.8466005921363831,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0041,0.24022752046585083,0.25233030319213867,0.012102782726287842,0.959114134311676,0.9573286771774292,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0042,1.0098116397857666,1.0282063484191895,0.01839470863342285,0.4661378860473633,0.4588010907173157,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0043,1.7170088291168213,1.7214621305465698,0.004453301429748535,0.37043553590774536,0.36960554122924805,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0044,1.4693799018859863,1.4692649841308594,-0.00011491775512695312,0.3725995421409607,0.3726174235343933,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0045,1.4931312799453735,1.487898826599121,-0.005232453346252441,0.48845773935317993,0.48901206254959106,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0046,0.3699410557746887,0.42236053943634033,0.05241948366165161,0.9420042634010315,0.9311582446098328,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0047,2.0764050483703613,2.0788230895996094,0.002418041229248047,0.4279296398162842,0.42741429805755615,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0048,0.7470954656600952,0.7553000450134277,0.00820457935333252,0.5582314133644104,0.527306079864502,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0049,1.7342942953109741,1.7266902923583984,-0.007604002952575684,0.44552096724510193,0.4468507766723633,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0050,0.6219534873962402,0.619524359703064,-0.0024291276931762695,0.8985096216201782,0.8996185064315796,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0051,1.261330485343933,1.264354944229126,0.003024458885192871,0.6957834959030151,0.6951236724853516,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0052,0.34436821937561035,0.3481403887271881,0.003772169351577759,0.9398815035820007,0.9392601847648621,0.1162109375,working
L26_N2788,26,2788,contradictory_context,cc_0053,0.6452820301055908,0.6462607979774475,0.0009787678718566895,0.8576177358627319,0.8575206398963928,0.1162109375,working
