prompt_id,orig_entropy,frozen_norm_ablated_entropy,shift_under_frozen_norm
cc_0000,0.9435498714447021,0.9609375,0.01738762855529785
cc_0001,0.42334213852882385,0.404296875,-0.019045263528823853
cc_0002,0.5813210010528564,0.58984375,0.008522748947143555
cc_0003,1.0702158212661743,1.046875,-0.023340821266174316
cc_0004,1.2196743488311768,1.234375,0.014700651168823242
cc_0005,0.20840038359165192,0.208984375,0.0005839914083480835
cc_0006,2.016380548477173,2.03125,0.014869451522827148
cc_0007,2.2660553455352783,2.25,-0.01605534553527832
cc_0008,0.8771347999572754,0.87890625,0.0017714500427246094
cc_0009,1.1205123662948608,1.1015625,-0.01894986629486084
cc_0010,1.7705187797546387,1.78125,0.010731220245361328
cc_0011,1.109370231628418,1.1171875,0.007817268371582031
cc_0012,2.1831421852111816,2.1875,0.004357814788818359
cc_0013,1.1842968463897705,1.1796875,-0.004609346389770508
cc_0014,0.975761353969574,0.99609375,0.020332396030426025
cc_0015,2.0537543296813965,2.03125,-0.022504329681396484
cc_0016,1.2147979736328125,1.125,-0.0897979736328125
cc_0017,0.6085342168807983,0.5625,-0.04603421688079834
cc_0018,1.2794098854064941,1.296875,0.01746511459350586
cc_0019,0.9986761212348938,1.0,0.0013238787651062012
cc_0020,1.6198461055755615,1.6328125,0.012966394424438477
cc_0021,1.2307467460632324,1.2421875,0.011440753936767578
cc_0022,1.1367201805114746,1.140625,0.0039048194885253906
cc_0023,1.4964559078216553,1.515625,0.019169092178344727
cc_0024,1.2626211643218994,1.2734375,0.010816335678100586
cc_0025,1.7993981838226318,1.8046875,0.005289316177368164
cc_0026,1.3795406818389893,1.390625,0.011084318161010742
cc_0027,1.4098873138427734,1.4140625,0.0041751861572265625
cc_0028,1.9950870275497437,2.015625,0.020537972450256348
cc_0029,1.2680671215057373,1.21875,-0.049317121505737305
cc_0030,1.2876856327056885,1.3515625,0.06387686729431152
cc_0031,0.39955660700798035,0.3984375,-0.0011191070079803467
cc_0032,1.4132421016693115,1.5078125,0.09457039833068848
cc_0033,0.6548033356666565,0.65234375,-0.002459585666656494
cc_0034,0.06545007973909378,0.0625,-0.0029500797390937805
cc_0035,1.3304569721221924,1.3359375,0.005480527877807617
cc_0036,1.761710524559021,1.765625,0.003914475440979004
cc_0037,1.035349726676941,1.046875,0.011525273323059082
cc_0038,1.7647801637649536,1.765625,0.0008448362350463867
cc_0039,1.292660117149353,1.296875,0.004214882850646973
cc_0040,0.8045938014984131,0.82421875,0.019624948501586914
cc_0041,0.8955490589141846,0.859375,-0.03617405891418457
cc_0042,1.0664325952529907,1.0625,-0.003932595252990723
cc_0043,1.2592872381210327,1.2265625,-0.032724738121032715
cc_0044,1.468672513961792,1.4375,-0.031172513961791992
cc_0045,1.2236042022705078,1.2265625,0.0029582977294921875
cc_0046,0.9106374979019165,0.9296875,0.019050002098083496
cc_0047,1.6237187385559082,1.6328125,0.009093761444091797
cc_0048,0.6005892753601074,0.609375,0.008785724639892578
cc_0049,1.201598882675171,1.21875,0.0171511173248291
cc_0050,0.20055145025253296,0.2060546875,0.005503237247467041
cc_0051,1.381493330001831,1.3828125,0.0013191699981689453
cc_0052,0.5356638431549072,0.53515625,-0.0005075931549072266
cc_0053,0.06067577749490738,0.0595703125,-0.0011054649949073792
cc_0054,0.6388067007064819,0.6015625,-0.037244200706481934
cc_0055,1.8476932048797607,1.84375,-0.003943204879760742
cc_0056,1.4622457027435303,1.421875,-0.04037070274353027
cc_0057,1.1681196689605713,1.171875,0.003755331039428711
cc_0058,1.2692608833312988,1.2734375,0.004176616668701172
cc_0059,0.8260704874992371,0.828125,0.0020545125007629395
cc_0060,1.9052379131317139,1.9140625,0.008824586868286133
cc_0061,0.7936768531799316,0.80078125,0.007104396820068359
cc_0062,0.9355857372283936,0.9375,0.0019142627716064453
cc_0063,1.2484735250473022,1.25,0.001526474952697754
cc_0064,1.1809884309768677,1.1875,0.006511569023132324
cc_0065,1.3615412712097168,1.3671875,0.005646228790283203
cc_0066,1.4855408668518066,1.5390625,0.05352163314819336
cc_0067,0.8636417388916016,0.87109375,0.0074520111083984375
cc_0068,1.4695391654968262,1.4375,-0.03203916549682617
cc_0069,1.6728016138076782,1.703125,0.030323386192321777
cc_0070,1.5472543239593506,1.5546875,0.007433176040649414
cc_0071,1.6335135698318481,1.625,-0.008513569831848145
cc_0072,1.4172180891036987,1.4140625,-0.0031555891036987305
cc_0073,1.8894363641738892,1.8984375,0.00900113582611084
cc_0074,0.9172447919845581,0.921875,0.0046302080154418945
cc_0075,0.47876495122909546,0.482421875,0.003656923770904541
cc_0076,1.5902588367462158,1.6015625,0.01130366325378418
cc_0077,2.0283119678497314,2.046875,0.018563032150268555
cc_0078,1.1828951835632324,1.140625,-0.04227018356323242
cc_0079,0.1850479692220688,0.2041015625,0.019053593277931213
cc_0080,0.13995791971683502,0.12890625,-0.011051669716835022
cc_0081,1.5892045497894287,1.6015625,0.012357950210571289
cc_0082,0.39862143993377686,0.3984375,-0.00018393993377685547
cc_0083,0.4128897190093994,0.412109375,-0.0007803440093994141
