category,neuron_id,mixed_model_coef,mixed_model_se,mixed_model_p,converged,fit_method,fit_warnings,prompt_var,resid_var,icc,significant_fdr
ambiguity,L20_N1001,-0.0011444056406617006,0.002127092268306052,0.5905673115754957,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L20_N12894,0.0011412988106409637,0.002127092268306052,0.59157606834023,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L20_N1399,0.0008451263109842892,0.002127092268306052,0.6911349633449118,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L20_N2742,-0.00207628284891446,0.002127092268306052,0.329008368831485,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L20_N4769,-0.0018203868220249744,0.002127092268306052,0.39210288614392586,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L20_N5595,0.002962168430288622,0.0021270922683060524,0.1637436652625437,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L23_N12855,-0.00022356398403643933,0.0021270922683060524,0.9162940022277685,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L28_N11622,0.002636704097191483,0.002127092268306052,0.21513024898344357,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L29_N11909,0.0016317203020056075,0.002127092268306052,0.4430142855723569,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L29_N13925,0.0036061019947131365,0.002127092268306052,0.09001473898793398,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L30_N10312,0.0008318283284703885,0.0021270922683060524,0.6957502363905208,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L30_N13098,-0.00023858485122522368,0.002127092268306052,0.9106927488348624,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L30_N13647,0.0015074118350942804,0.0021270922683060524,0.478527722513468,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L30_N1457,0.0037693624695141906,0.002127092268306052,0.07638246420602998,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L30_N1777,0.00027741783608992436,0.002127092268306052,0.8962332281589571,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L31_N3330,-0.000879228860139835,0.002127092268306052,0.6793518304861708,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
ambiguity,L31_N6772,-0.0007604586581389035,0.002127092268306052,0.7207093722490275,True,"reml=True,method=default",boundary_warning,0.00020462552073525423,0.0003383170614112328,0.3768824318886188,False
contradictory_context,L20_N1001,-0.002507737325504456,0.001571457968041097,0.11053278533440904,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L20_N12894,-0.0012683947104960948,0.0015714579680410968,0.41958285011300556,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L20_N1399,-0.00046879973572992354,0.0015714579680410966,0.7654577781039513,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L20_N2742,-0.0023072070597360862,0.0015714579680410966,0.14205120531089815,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L20_N4769,-0.0016921532961229801,0.0015714579680410968,0.28156753361718145,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L20_N5595,-0.0011171681496004548,0.0015714579680410968,0.4771388393114314,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L23_N12855,-0.001796643358344862,0.0015714579680410968,0.25291525319126007,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L28_N11622,-0.0014537286013365084,0.0015714579680410968,0.3549228841578004,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L29_N11909,0.0017523548100143408,0.0015714579680410968,0.2648015648391273,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L29_N13925,-0.001110493050267332,0.0015714579680410966,0.47977519697437765,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L30_N10312,-0.0011849941375355181,0.0015714579680410968,0.450805345684531,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L30_N13098,-0.0032726149074733557,0.0015714579680410968,0.03729370556490431,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L30_N13647,-0.0007351222603271731,0.0015714579680410968,0.6399302498586408,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L30_N1457,0.002931542694568611,0.0015714579680410968,0.06211243447597975,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L30_N1777,0.0005934429975847127,0.0015714579680410968,0.7056991753170041,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L31_N3330,0.0003598341097434096,0.0015714579680410968,0.8188836377521037,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
contradictory_context,L31_N6772,-0.0002892996805409921,0.0015714579680410968,0.8539378676023356,True,"reml=True,method=default",boundary_warning,0.0001011410430914225,0.00019519657434695562,0.34130342264918245,False
lack_of_knowledge,L20_N1001,0.0034859612584113935,0.0019929110464497143,0.08025981347666573,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L20_N12894,0.0003986005981763129,0.0019929110464497143,0.841473364710361,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L20_N1399,0.002080146968364709,0.0019929110464497143,0.29659037362578533,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L20_N2742,0.0026514982183774224,0.0019929110464497143,0.1833651399874615,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L20_N4769,0.0011753529310226422,0.0019929110464497147,0.5553469497061836,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L20_N5595,0.0014237384001413857,0.0019929110464497143,0.47497901941316434,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L23_N12855,0.0014103780190149863,0.0019929110464497143,0.4791331758444157,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L28_N11622,-0.0013581901788711514,0.0019929110464497143,0.4955484060508425,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L29_N11909,-0.00013119429349899413,0.0019929110464497143,0.9475127882470509,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L29_N13925,-0.0015253653128941929,0.0019929110464497143,0.44403602217433913,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L30_N10312,0.0008931164940198239,0.0019929110464497143,0.6540473318174287,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L30_N13098,0.0010548104842503779,0.0019929110464497143,0.5966103485369367,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L30_N13647,-0.0006463532646497151,0.0019929110464497147,0.7456910868144377,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L30_N1457,0.0021793752908706534,0.0019929110464497143,0.2741463521283358,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L30_N1777,0.0002424056331316589,0.0019929110464497143,0.9031889286507179,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L31_N3330,0.0008919015526771422,0.0019929110464497143,0.6544873350754163,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
lack_of_knowledge,L31_N6772,-0.0001278931895891918,0.0019929110464497143,0.9488316333206757,True,"reml=True,method=default",boundary_warning,0.00019477586297691842,0.0002818274697104376,0.40867499158821075,False
