neuron_id,layer,neuron_idx,kind,matched_to,w_norm,logit_var,nullfrac_k16,nullfrac_k64,nullfrac_k256,nullfrac_bottom10pct,w_norm_pctile_random,w_norm_pctile_matched,logit_var_pctile_random,logit_var_pctile_matched,nullfrac_bottom10pct_pctile_random,nullfrac_bottom10pct_pctile_matched,nullfrac_k16_pctile_random,nullfrac_k16_pctile_matched,nullfrac_k64_pctile_random,nullfrac_k64_pctile_matched,nullfrac_k256_pctile_random,nullfrac_k256_pctile_matched
L24_N8279,24,8279,random,,1.8282203674316406,0.00018767172878142446,0.0022067162208259106,0.011099858209490776,0.049472372978925705,0.2829512059688568,34.1,,46.800000000000004,,23.0,,17.5,,23.9,,27.0,
L30_N434,30,434,random,,1.178665041923523,0.00019457492453511804,0.015945447608828545,0.04233677685260773,0.11354310065507889,0.4080505669116974,0.8,,89.8,,89.2,,96.8,,94.5,,90.60000000000001,
L30_N3257,30,3257,random,,2.0347235202789307,0.000184783260920085,0.003216627985239029,0.012389419600367546,0.04873361065983772,0.2823403477668762,86.2,,22.2,,22.1,,49.2,,41.099999999999994,,24.2,
L31_N10647,31,10647,random,,1.816495418548584,0.00017840956570580602,0.0060951607301831245,0.022732853889465332,0.08578582108020782,0.3589033782482147,24.6,,12.6,,85.7,,89.60000000000001,,89.4,,87.0,
L31_N8928,31,8928,random,,1.1890723705291748,0.000209015779546462,0.001895506284199655,0.007457636762410402,0.029644537717103958,0.21625976264476776,1.0999999999999999,,98.3,,0.4,,10.9,,0.8999999999999999,,0.4,
L29_N3611,29,3611,random,,1.945613145828247,0.0001890777057269588,0.0025009694509208202,0.010074814781546593,0.04637244716286659,0.27176380157470703,69.0,,62.3,,9.700000000000001,,26.0,,12.9,,15.8,
L29_N9654,29,9654,random,,1.2252899408340454,0.00018534361151978374,0.0018142473418265581,0.008802215568721294,0.03173438832163811,0.24330320954322815,1.5,,25.7,,1.3,,9.1,,4.7,,0.8,
L26_N13261,26,13261,random,,1.7876577377319336,0.0001884943339973688,0.0024929074570536613,0.012327676638960838,0.05170886218547821,0.28598257899284363,19.2,,56.49999999999999,,28.499999999999996,,25.5,,40.5,,38.0,
L23_N12432,23,12432,random,,1.8373090028762817,0.0001907849364215508,0.0037965578958392143,0.011724954470992088,0.04753638431429863,0.27914971113204956,40.0,,77.9,,17.2,,64.7,,31.6,,19.5,
L24_N11438,24,11438,random,,1.544928789138794,0.0001586830330779776,0.0043135094456374645,0.0162498876452446,0.10249927639961243,0.4764588177204132,8.1,,3.6999999999999997,,93.30000000000001,,75.0,,78.0,,89.5,
L29_N5574,29,5574,random,,1.8957741260528564,0.0001887206599349156,0.003183259628713131,0.015547353774309158,0.05271521955728531,0.2925034761428833,63.5,,58.199999999999996,,42.5,,48.5,,72.6,,42.8,
L26_N2547,26,2547,random,,1.840896487236023,0.00018649826233740896,0.00392945995554328,0.012606970965862274,0.05669690668582916,0.3012598156929016,42.4,,35.8,,61.3,,68.10000000000001,,43.4,,59.599999999999994,
L24_N12509,24,12509,random,,1.580814242362976,0.00020648146164603531,0.0023972743656486273,0.01195466984063387,0.04995562881231308,0.2843826115131378,9.0,,97.7,,25.900000000000002,,22.1,,35.3,,29.2,
L26_N1674,26,1674,random,,1.773555040359497,0.00017358722107019275,0.003986408468335867,0.01759428344666958,0.12375771999359131,0.4194536507129669,17.8,,9.6,,90.2,,69.8,,83.8,,91.9,
L23_N6224,23,6224,random,,1.8304027318954468,0.0001981697860173881,0.0046694581396877766,0.016540801152586937,0.0518653579056263,0.2864438593387604,35.699999999999996,,94.1,,29.4,,78.7,,79.60000000000001,,38.7,
L23_N5881,23,5881,random,,1.821865200996399,0.0001882728683995083,0.003361545503139496,0.012255929410457611,0.047577857971191406,0.3000602424144745,28.199999999999996,,53.6,,58.599999999999994,,53.5,,39.5,,19.7,
L26_N9891,26,9891,random,,1.8420783281326294,0.00018879666458815336,0.0035341628827154636,0.010713077150285244,0.053779762238264084,0.2961767613887787,43.4,,59.3,,49.9,,57.4,,19.3,,47.599999999999994,
L26_N13223,26,13223,random,,1.8555521965026855,0.00017349397239740938,0.008760614320635796,0.02071632444858551,0.09882483631372452,0.390555202960968,51.5,,9.5,,87.6,,93.8,,87.9,,88.7,
