neuron_id,layer,neuron_idx,kind,sets,freq_corr,freq_slope,direct_logit_std,abs_freq_corr_pctile
L16_N5504,16,5504,candidate,candidate_neurons_bf16,0.0699060931801796,0.0021666549146175385,0.04015447571873665,67.4
L16_N11414,16,11414,candidate,candidate_neurons_bf16,-0.0008671931573189795,-2.5402316168765537e-05,0.037950433790683746,0.8999999999999999
L17_N6267,17,6267,candidate,candidate_neurons_bf16,0.03301048278808594,0.0009081928292289376,0.035643916577100754,35.199999999999996
L17_N9538,17,9538,candidate,candidate_neurons_bf16,0.03098565898835659,0.001018764334730804,0.04259634390473366,32.7
L17_N9633,17,9633,candidate,candidate_neurons_bf16,-0.13317441940307617,-0.00462683942168951,0.04501144215464592,94.1
L18_N11446,18,11446,candidate,candidate_neurons_bf16,0.07902703434228897,0.0026670650113373995,0.043723732233047485,73.8
L18_N14080,18,14080,candidate,candidate_neurons_bf16,0.043282400816679,0.001262684352695942,0.03779573366045952,45.6
L19_N2836,19,2836,candidate,candidate_neurons_bf16,-0.010302985087037086,-0.00036801688838750124,0.04627687484025955,10.0
L19_N12887,19,12887,candidate,candidate_neurons_bf16,0.04072010517120361,0.00141964852809906,0.04516804590821266,42.9
L19_N18841,19,18841,candidate,candidate_neurons_bf16,-0.013557304628193378,-0.00039888740866445005,0.03811853751540184,13.700000000000001
L24_N2230,24,2230,candidate,candidate_neurons_bf16,0.1313321739435196,0.004114154726266861,0.04058529809117317,93.60000000000001
L16_N116,16,116,random,,-0.03716642037034035,-0.0012038210406899452,0.041963379830121994,39.5
L16_N253,16,253,random,,-0.045762211084365845,-0.0015465065371245146,0.043782852590084076,47.699999999999996
L16_N305,16,305,random,,0.11807498335838318,0.003935003653168678,0.04317641258239746,90.2
L16_N622,16,622,random,,-0.014310560189187527,-0.0004636479716282338,0.04197503626346588,14.6
L16_N819,16,819,random,,-0.06105390936136246,-0.0020487625151872635,0.04347478598356247,60.8
L16_N841,16,841,random,,-0.10799448192119598,-0.002582394750788808,0.03097992204129696,87.7
L16_N844,16,844,random,,-0.020687345415353775,-0.0006663922686129808,0.04173346981406212,21.3
L16_N976,16,976,random,,0.09060540795326233,0.0031434684060513973,0.04494840279221535,79.4
L16_N1016,16,1016,random,,-0.062161412090063095,-0.002037893747910857,0.0424736887216568,61.7
L16_N1029,16,1029,random,,0.024250701069831848,0.0007845047512091696,0.04191124439239502,26.0
L16_N1219,16,1219,random,,-0.054204221814870834,-0.001542226760648191,0.036861617118120193,55.2
L16_N1501,16,1501,random,,-0.03185424208641052,-0.0010116974590346217,0.041147422045469284,33.6
L16_N1507,16,1507,random,,0.05635913461446762,0.0018364855786785483,0.042216528207063675,57.3
L16_N1514,16,1514,random,,-0.03715009614825249,-0.0012441842118278146,0.04338943958282471,39.4
L16_N1643,16,1643,random,,-0.021272430196404457,-0.0006587657262571156,0.04012113809585571,22.1
L16_N1656,16,1656,random,,-0.09628795832395554,-0.003073966596275568,0.04136056452989578,82.69999999999999
L16_N1864,16,1864,random,,-0.06409516930580139,-0.0023908065631985664,0.048325732350349426,63.1
L16_N1986,16,1986,random,,-0.019218094646930695,-0.0006237115012481809,0.04204677790403366,19.6
L16_N2326,16,2326,random,,0.03096657618880272,0.0009907849598675966,0.04145200178027153,32.6
L16_N2400,16,2400,random,,0.060588326305150986,0.0020158523693680763,0.04310513660311699,60.4
L16_N2661,16,2661,random,,-0.08818002045154572,-0.0027158325538039207,0.03990175947546959,78.2
L16_N2750,16,2750,random,,0.05486712232232094,0.0017226903000846505,0.0406775027513504,55.900000000000006
L16_N2958,16,2958,random,,0.031213633716106415,0.0010197851806879044,0.042327601462602615,32.800000000000004
L16_N2989,16,2989,random,,0.03589540347456932,0.0010362362954765558,0.037400659173727036,38.2
L16_N2992,16,2992,random,,-0.029491640627384186,-0.0009728347649797797,0.04273654893040657,31.1
L16_N3024,16,3024,random,,0.021192265674471855,0.0006890487275086343,0.04212421923875809,21.9
L16_N3039,16,3039,random,,0.013745754957199097,0.0004098090576007962,0.038625333458185196,14.000000000000002
L16_N3054,16,3054,random,,0.01919257454574108,0.0006578248576261103,0.04440545663237572,19.5
L16_N3056,16,3056,random,,-0.1596687287092209,-0.0052444967441260815,0.042554281651973724,97.89999999999999
L16_N3176,16,3176,random,,-0.10141986608505249,-0.003176190424710512,0.04057352617383003,84.8
L16_N3184,16,3184,random,,0.05956229567527771,0.0018371094483882189,0.03995976224541664,59.199999999999996
L16_N3507,16,3507,random,,-0.11917183548212051,-0.004059172235429287,0.0441289022564888,90.8
L16_N3522,16,3522,random,,0.09526629000902176,0.002911256393417716,0.039591360837221146,82.19999999999999
L16_N3552,16,3552,random,,0.13276858627796173,0.004294755402952433,0.041908521205186844,93.89999999999999
L16_N3592,16,3592,random,,0.04111342877149582,0.0013138712383806705,0.041402675211429596,43.3
L16_N3632,16,3632,random,,0.03250207006931305,0.0010595349594950676,0.04223412275314331,34.2
L16_N3665,16,3665,random,,0.03728259727358818,0.0011928429594263434,0.04145113751292229,39.900000000000006
L16_N3749,16,3749,random,,-0.1296112835407257,-0.004501158371567726,0.04499256610870361,93.0
L16_N3779,16,3779,random,,-0.011037580668926239,-0.00033445670851506293,0.03925774246454239,10.6
L16_N4106,16,4106,random,,-0.13514870405197144,-0.004654880613088608,0.04462270811200142,94.5
L16_N4135,16,4135,random,,0.005770730786025524,0.00018407386960461736,0.04132574051618576,5.6000000000000005
L16_N4136,16,4136,random,,0.07001671940088272,0.0023284852504730225,0.0430854894220829,67.4
L16_N4447,16,4447,random,,0.012451459653675556,0.0004112636379431933,0.04279167577624321,12.4
L16_N4580,16,4580,random,,0.07647262513637543,0.002542898990213871,0.04308066889643669,72.8
L16_N4612,16,4612,random,,0.14093174040317535,0.004602139815688133,0.0423068031668663,95.6
L16_N4798,16,4798,random,,0.010618166998028755,0.0003345177392475307,0.04081585630774498,10.2
L16_N4884,16,4884,random,,0.1753794252872467,0.006351551506668329,0.04692026227712631,98.9
L16_N4993,16,4993,random,,-0.05163843557238579,-0.0017439117655158043,0.043753284960985184,53.1
L16_N5027,16,5027,random,,0.037214647978544235,0.0011104467557743192,0.03865833207964897,39.800000000000004
L16_N5045,16,5045,random,,-0.03719334676861763,-0.001198441255837679,0.04174560680985451,39.6
