neuron_id,mean_entropy_shift,std_entropy_shift,p_value,significant
L23_N12156,0.0019974481491815475,0.011437418541733704,0.25793815618720395,False
L24_N7891,-0.0023854573567708335,0.007783117586258739,0.0039129670920941126,True
L26_N11322,-0.0008821033296130952,0.009272429083133768,0.20519971319558838,False
L26_N2788,-0.003996349516369048,0.008155021396908022,9.439612007606766e-06,True
L29_N10092,0.0005776541573660714,0.011925521749536679,0.4608949454176101,False
L29_N10191,-0.00023978097098214285,0.007928893458676695,0.12047396320987976,False
L29_N11308,-0.0025576636904761905,0.0076595561034976025,0.003642538376880178,True
L29_N8568,0.0011952718098958333,0.007553894526147258,0.40800909442557565,False
L29_N9228,0.0013456798735119048,0.0085929892452999,0.06061138646170224,False
L30_N13513,0.0006256103515625,0.0047721913676145545,0.4151478886398945,False
L30_N3533,-0.00017874581473214285,0.004316396601613551,0.42179028145330033,False
L30_N5509,0.0005326043991815476,0.008313426092685332,0.694865702260542,False
L30_N6621,0.0018666585286458333,0.01055731662203625,0.9598894946788875,False
L30_N7102,-0.00038437616257440475,0.007911246395056396,0.2628362254260913,False
L31_N2477,-0.003115699404761905,0.009211458812909972,4.1035173137630005e-08,True
