prompt_id,orig_entropy,frozen_norm_ablated_entropy,shift_under_frozen_norm
lok_0000,0.1869092732667923,0.19126814603805542,0.0043588727712631226
lok_0001,0.523131251335144,0.5216414928436279,-0.0014897584915161133
lok_0002,2.4877443313598633,2.4974822998046875,0.009737968444824219
lok_0003,0.24606484174728394,0.2319103330373764,-0.014154508709907532
lok_0004,0.3862154483795166,0.3930959403514862,0.0068804919719696045
lok_0005,0.035800911486148834,0.03596091270446777,0.0001600012183189392
lok_0006,0.2024208903312683,0.20818068087100983,0.005759790539741516
lok_0007,0.358415424823761,0.3591569662094116,0.0007415413856506348
lok_0008,0.4213981628417969,0.4380642771720886,0.016666114330291748
lok_0009,0.2500009834766388,0.2500762939453125,7.531046867370605e-05
lok_0010,0.2587895393371582,0.23864898085594177,-0.02014055848121643
lok_0011,0.35979822278022766,0.3310195803642273,-0.028778642416000366
lok_0012,0.3523107171058655,0.35309284925460815,0.0007821321487426758
lok_0013,0.3526506721973419,0.36052417755126953,0.007873505353927612
lok_0014,0.23355257511138916,0.2161293923854828,-0.017423182725906372
lok_0015,0.4714905619621277,0.48101478815078735,0.009524226188659668
lok_0016,0.33000895380973816,0.3417939841747284,0.011785030364990234
lok_0017,0.4290520250797272,0.4047616422176361,-0.024290382862091064
lok_0018,0.42220407724380493,0.42319047451019287,0.0009863972663879395
lok_0019,0.21137763559818268,0.21512193977832794,0.0037443041801452637
lok_0020,0.7808576226234436,0.7274953126907349,-0.05336230993270874
lok_0021,0.5177964568138123,0.5343812108039856,0.01658475399017334
lok_0022,0.6626487970352173,0.6219165921211243,-0.04073220491409302
lok_0023,0.2569446563720703,0.23743391036987305,-0.019510746002197266
lok_0024,0.26626378297805786,0.27241405844688416,0.006150275468826294
lok_0025,0.09971508383750916,0.09980931878089905,9.423494338989258e-05
lok_0026,0.32698023319244385,0.3533245027065277,0.026344269514083862
lok_0027,0.5975145101547241,0.5441910028457642,-0.05332350730895996
lok_0028,0.3639514446258545,0.33296382427215576,-0.03098762035369873
lok_0029,0.3544904291629791,0.36551278829574585,0.011022359132766724
lok_0030,0.2537274658679962,0.25921475887298584,0.005487293004989624
lok_0031,0.26093512773513794,0.26170024275779724,0.0007651150226593018
lok_0032,1.2535814046859741,1.2818621397018433,0.02828073501586914
lok_0033,0.20456385612487793,0.2085084617137909,0.003944605588912964
lok_0034,0.18364259600639343,0.18396320939064026,0.00032061338424682617
lok_0035,0.6128742694854736,0.6157419085502625,0.0028676390647888184
lok_0036,1.1121795177459717,1.124842643737793,0.012663125991821289
lok_0037,0.43315914273262024,0.4341118335723877,0.0009526908397674561
lok_0038,0.4458637535572052,0.44602057337760925,0.00015681982040405273
lok_0039,0.6322805881500244,0.5824630856513977,-0.04981750249862671
lok_0040,0.644616961479187,0.5962608456611633,-0.04835611581802368
lok_0041,0.03362392634153366,0.03375082463026047,0.00012689828872680664
lok_0042,0.25679779052734375,0.2571370601654053,0.00033926963806152344
lok_0043,0.243798166513443,0.23019182682037354,-0.013606339693069458
lok_0044,0.288095623254776,0.2934878468513489,0.005392223596572876
lok_0045,0.639717161655426,0.5935069918632507,-0.04621016979217529
lok_0046,0.304190456867218,0.3122842311859131,0.008093774318695068
lok_0047,0.14880722761154175,0.15837302803993225,0.009565800428390503
lok_0048,1.9449421167373657,1.939972996711731,-0.004969120025634766
lok_0049,0.11509387195110321,0.11525478214025497,0.00016091018915176392
