layer,neuron_idx,mean_entropy_shift,p_value,significant
24,5070,0.0006234305245535714,0.8738018387238796,False
26,4161,-0.002109345935639881,0.029979710521779574,False
26,11421,-0.0011117117745535715,0.1443806976654142,False
27,8855,-0.0004628499348958333,0.4364366622664815,False
29,2424,7.411411830357142e-05,0.9698783505206661,False
