neuron_id,layer,neuron_idx,category,prompt_id,orig_entropy,ablated_entropy,entropy_shift,orig_top1_prob,ablated_top1_prob,split
L30_N5509,30,5509,contradictory_context,cc_0057,1.796875,1.796875,0.0,0.6171875,0.6171875,working
L30_N5509,30,5509,contradictory_context,cc_0058,0.345703125,0.345703125,0.0,0.94140625,0.94140625,working
L30_N5509,30,5509,contradictory_context,cc_0059,2.015625,2.0,-0.015625,0.42578125,0.416015625,working
L30_N5509,30,5509,contradictory_context,cc_0060,1.2734375,1.265625,-0.0078125,0.72265625,0.7265625,working
L30_N5509,30,5509,contradictory_context,cc_0061,0.8515625,0.84765625,-0.00390625,0.8515625,0.8515625,working
L30_N5509,30,5509,contradictory_context,cc_0062,0.90234375,0.90234375,0.0,0.71484375,0.71484375,working
L30_N5509,30,5509,contradictory_context,cc_0063,0.84375,0.84375,0.0,0.828125,0.828125,working
L30_N5509,30,5509,contradictory_context,cc_0064,0.484375,0.484375,0.0,0.9140625,0.9140625,working
L30_N5509,30,5509,contradictory_context,cc_0065,0.890625,0.89453125,0.00390625,0.6171875,0.61328125,working
L30_N5509,30,5509,contradictory_context,cc_0066,0.734375,0.73828125,0.00390625,0.85546875,0.85546875,working
L30_N5509,30,5509,contradictory_context,cc_0067,0.74609375,0.74609375,0.0,0.52734375,0.52734375,working
L30_N5509,30,5509,contradictory_context,cc_0068,1.203125,1.203125,0.0,0.546875,0.546875,working
L30_N5509,30,5509,contradictory_context,cc_0069,0.953125,0.953125,0.0,0.7890625,0.7890625,working
L30_N5509,30,5509,contradictory_context,cc_0070,1.7265625,1.703125,-0.0234375,0.349609375,0.388671875,working
L30_N5509,30,5509,contradictory_context,cc_0071,1.6875,1.6953125,0.0078125,0.63671875,0.63671875,working
L30_N5509,30,5509,contradictory_context,cc_0072,0.88671875,0.88671875,0.0,0.84765625,0.84765625,working
L30_N5509,30,5509,contradictory_context,cc_0073,1.3359375,1.390625,0.0546875,0.66015625,0.640625,working
L30_N5509,30,5509,contradictory_context,cc_0074,0.99609375,0.9921875,-0.00390625,0.69140625,0.69140625,working
L30_N5509,30,5509,contradictory_context,cc_0075,0.79296875,0.79296875,0.0,0.7265625,0.7265625,working
L30_N5509,30,5509,contradictory_context,cc_0076,1.234375,1.234375,0.0,0.5703125,0.5703125,working
L30_N5509,30,5509,contradictory_context,cc_0077,2.34375,2.34375,0.0,0.33984375,0.33984375,working
L30_N5509,30,5509,contradictory_context,cc_0078,1.40625,1.40625,0.0,0.44921875,0.44921875,working
L30_N5509,30,5509,contradictory_context,cc_0079,0.3984375,0.3984375,0.0,0.92578125,0.92578125,working
L30_N5509,30,5509,contradictory_context,cc_0080,0.66796875,0.66796875,0.0,0.9140625,0.9140625,working
L30_N5509,30,5509,contradictory_context,cc_0081,1.0078125,1.0078125,0.0,0.67578125,0.67578125,working
L30_N5509,30,5509,contradictory_context,cc_0082,0.390625,0.390625,0.0,0.88671875,0.88671875,working
