neuron_id,mean_entropy_shift,std_entropy_shift,min_entropy_shift,max_entropy_shift
L23_N12156,0.006998697916666667,0.02570849940016358,-0.0625,0.09375
L24_N7891,-0.005208333333333333,0.022494079001421856,-0.07421875,0.08203125
L26_N11322,-0.0025576636904761905,0.027831424276824723,-0.078125,0.1015625
L26_N2788,-0.00020926339285714285,0.025586750957690658,-0.0625,0.109375
L29_N10092,0.0034877232142857145,0.019220086828663482,-0.0546875,0.109375
L29_N10191,0.0025460379464285715,0.023677964606059917,-0.0625,0.1015625
L29_N11308,0.001197451636904762,0.026621260262270782,-0.078125,0.1015625
L29_N8568,0.008649553571428572,0.024179332269213868,-0.03125,0.1015625
L29_N9228,0.0032435825892857145,0.027035751542547608,-0.0546875,0.06640625
L30_N13513,-0.0003952752976190476,0.017882138659088952,-0.0703125,0.08203125
L30_N3533,-0.0004417782738095238,0.013817670049034987,-0.06640625,0.046875
L30_N5509,-0.0003371465773809524,0.014968112347824828,-0.0625,0.0546875
L30_N6621,-0.0037318638392857145,0.026791551690351308,-0.06640625,0.078125
L30_N7102,0.0023251488095238095,0.014983005289003131,-0.06640625,0.0546875
L31_N2477,-0.008138020833333334,0.029642063640188045,-0.109375,0.0625
