neuron_id,category,candidate_mean_abs_shift,control_mean_abs_shift,diff,p_value_raw,significant_fdr
L20_N1001,ambiguity,0.0011444056406617032,0.0035363748359183394,-0.0023919691952566362,0.9719028097190281,False
L20_N1001,contradictory_context,0.002507737325504426,0.0027020813540730207,-0.0001943440285685949,0.5292470752924707,False
L20_N1001,lack_of_knowledge,0.003485961258411401,0.0014751703788836788,0.002010790879527722,0.2542745725427457,False
L20_N12894,ambiguity,0.0011412988106409665,0.0010523712572952136,8.892755334575283e-05,0.08199180081991801,False
L20_N12894,contradictory_context,0.0012683947104960654,0.0007420389136920328,0.0005263557968040325,0.40785921407859216,False
L20_N12894,lack_of_knowledge,0.0003986005981763168,0.00021467609331012142,0.00018392450486619537,0.22207779222077792,False
L20_N1399,ambiguity,0.0008451263109842897,0.0035587883243958086,-0.002713662013411519,0.7445255474452555,False
L20_N1399,contradictory_context,0.00046879973572989584,0.0026884910439548397,-0.002219691308224944,0.98000199980002,False
L20_N1399,lack_of_knowledge,0.0020801469683647167,0.002704524435102934,-0.0006243774667382173,0.5891410858914109,False
L20_N2742,ambiguity,0.002076282848914465,0.003923895054807265,-0.0018476122058928,0.708929107089291,False
L20_N2742,contradictory_context,0.002307207059736056,0.0020568358590632376,0.0002503712006728183,0.44955504449555045,False
L20_N2742,lack_of_knowledge,0.002651498218377431,0.004872147863109905,-0.002220649644732474,0.9326067393260674,False
L20_N4769,ambiguity,0.0018203868220249793,0.0009658347504834334,0.000854552071541546,0.40975902409759024,False
L20_N4769,contradictory_context,0.0016921532961229507,0.00046448553960848186,0.0012276677565144687,0.18948105189481051,False
L20_N4769,lack_of_knowledge,0.001175352931022646,0.0013571579319735393,-0.00018180500095089317,0.5305469453054694,False
L20_N5595,ambiguity,0.002962168430288629,0.003143490478396407,-0.000181322048107778,0.529047095290471,False
L20_N5595,contradictory_context,0.001117168149600426,0.0010545750670038017,6.259308259662431e-05,0.48265173482651735,False
L20_N5595,lack_of_knowledge,0.0014237384001413906,0.0029952506224314316,-0.001571512222290041,0.9843015698430156,False
L23_N12855,ambiguity,0.00022356398403643984,7.373054201404207e-05,0.00014983344202239778,0.4881511848815118,False
L23_N12855,contradictory_context,0.0017966433583448314,0.0008431512641739897,0.0009534920941708416,0.28257174282571745,False
L23_N12855,lack_of_knowledge,0.001410378019014992,0.0008934055144588197,0.0005169725045561722,0.40135986401359863,False
L28_N11622,ambiguity,0.002636704097191488,0.00011086917171876585,0.002525834925472722,0.19038096190380963,False
L28_N11622,contradictory_context,0.0014537286013364791,0.0014026179344606734,5.1110666875805707e-05,0.49095090490950904,False
L28_N11622,lack_of_knowledge,0.00135819017887115,0.001207164706041405,0.00015102547282974514,0.47555244475552444,False
L29_N11909,ambiguity,0.0016317203020056105,0.0013387391033271884,0.0002929811986784221,0.46715328467153283,False
L29_N11909,contradictory_context,0.0017523548100143648,0.008398609158515072,-0.006646254348500707,0.9838016198380162,False
L29_N11909,lack_of_knowledge,0.00013119429349899107,0.004657879440734785,-0.004526685147235794,0.9256074392560744,False
L29_N13925,ambiguity,0.0036061019947131413,0.0008988612021009122,0.002707240792612229,0.1202879712028797,False
L29_N13925,contradictory_context,0.0011104930502673033,0.0016351704459035875,-0.0005246773956362842,0.9103089691030897,False
L29_N13925,lack_of_knowledge,0.0015253653128941937,0.0002599128211538004,0.0012654524917403934,0.028997100289971003,False
L30_N10312,ambiguity,0.0008318283284703897,0.002078428709258624,-0.0012466003807882341,0.682931706829317,False
L30_N10312,contradictory_context,0.0011849941375354882,0.00045379834021635714,0.0007311957973191311,0.3421657834216578,False
L30_N10312,lack_of_knowledge,0.000893116494019829,0.0006647064040104496,0.00022841009000937936,0.4537546245375462,False
L30_N13098,ambiguity,0.00023858485122522298,0.0013311602175235687,-0.0010925753662983457,0.9585041495850415,False
L30_N13098,contradictory_context,0.0032726149074733227,5.6229030208977626e-05,0.003216385877264345,0.055694430556944306,False
L30_N13098,lack_of_knowledge,0.0010548104842503828,0.0007443180928627678,0.000310492391387615,0.23067693230676933,False
L30_N13647,ambiguity,0.001507411835094284,0.0019542425870895295,-0.00044683075199524543,0.5731426857314269,False
L30_N13647,contradictory_context,0.0007351222603271438,0.001407842327413767,-0.0006727200670866232,0.8281171882811719,False
L30_N13647,lack_of_knowledge,0.0006463532646497123,0.00032975381861130517,0.00031659944603840715,0.3086691330866913,False
L30_N1457,ambiguity,0.003769362469514197,0.004828510122994583,-0.0010591476534803856,0.6188381161883811,False
L30_N1457,contradictory_context,0.002931542694568634,0.0038971063930754797,-0.0009655636985068457,0.6180381961803819,False
L30_N1457,lack_of_knowledge,0.0021793752908706603,0.0010465509568651462,0.0011328243340055142,0.3498650134986501,False
L30_N1777,ambiguity,0.0002774178360899244,0.003960517762849727,-0.0036830999267598026,0.9304069593040696,False
L30_N1777,contradictory_context,0.0005934429975847386,0.0008478168827423376,-0.00025437388515759903,0.8028197180281972,False
L30_N1777,lack_of_knowledge,0.00024240563313166242,0.0038102560987075063,-0.003567850465575844,0.9514048595140486,False
L31_N3330,ambiguity,0.000879228860139836,0.0022416201109687517,-0.0013623912508289157,0.7941205879412059,False
L31_N3330,contradictory_context,0.0003598341097434359,1.9679369385504815e-05,0.0003401547403579311,0.3324667533246675,False
L31_N3330,lack_of_knowledge,0.0008919015526771471,0.0026257503156860316,-0.0017338487630088844,0.9842015798420158,False
L31_N6772,ambiguity,0.000760458658138904,0.004302683845162381,-0.003542225187023477,0.9756024397560243,False
L31_N6772,contradictory_context,0.0002892996805409639,0.002521839403440624,-0.00223253972289966,0.9941005899410059,False
L31_N6772,lack_of_knowledge,0.00012789318958918885,0.001055140576014898,-0.0009272473864257092,0.7391260873912608,False
