neuron_id,ambiguity,contradictory_context,lack_of_knowledge
L20_N1001,0.003536374835918339,-0.002702081354073021,0.0014751703788836788
L20_N12894,-0.0010523712572952136,-0.0007420389136920326,-0.00021467609331012136
L20_N1399,0.003558788324395809,0.0026884910439548397,-0.0027045244351029344
L20_N2742,-0.003923895054807265,-0.0020568358590632376,-0.004872147863109905
L20_N4769,-0.0009658347504834334,0.00046448553960848224,0.0013571579319735397
L20_N5595,0.0031434904783964068,-0.0010545750670038017,-0.002995250622431431
L23_N12855,-7.373054201404152e-05,0.00084315126417399,-0.0008934055144588196
L28_N11622,-0.00011086917171876558,-0.0014026179344606737,-0.001207164706041405
L29_N11909,0.0013387391033271886,0.00839860915851507,-0.004657879440734786
L29_N13925,-0.0008988612021009124,0.0016351704459035873,0.0002599128211538002
L30_N10312,0.0020784287092586247,-0.0004537983402163572,0.0006647064040104497
L30_N13098,0.0013311602175235689,-5.6229030208977335e-05,-0.0007443180928627678
L30_N13647,0.001954242587089529,0.001407842327413767,0.00032975381861130506
L30_N1457,0.004828510122994583,0.0038971063930754797,0.0010465509568651462
L30_N1777,-0.003960517762849727,-0.0008478168827423375,0.0038102560987075063
L31_N3330,0.0022416201109687517,1.9679369385504893e-05,-0.0026257503156860316
L31_N6772,0.004302683845162382,0.002521839403440624,-0.001055140576014898
