neuron_id,layer,neuron_idx,category,prompt_id,split,is_control,sigma_multiplier,clamp_value,baseline_mean,baseline_sigma,orig_activation,orig_entropy,clamped_entropy,entropy_shift,orig_top1_prob,clamped_top1_prob,precision
L31_N2477,31,2477,ambiguity,amb_0000,working,False,-2.0,-3.085364908813286,1.711566162109375,2.3984655354613307,-2.46875,2.131409168243408,2.1358346939086914,0.004425525665283203,0.3043592870235443,0.30311739444732666,bf16
L31_N2477,31,2477,ambiguity,amb_0000,working,False,-1.0,-0.6868993733519557,1.711566162109375,2.3984655354613307,-2.46875,2.131409168243408,2.1346497535705566,0.0032405853271484375,0.3043592870235443,0.304068922996521,bf16
L31_N2477,31,2477,ambiguity,amb_0000,working,False,0.0,1.711566162109375,1.711566162109375,2.3984655354613307,-2.46875,2.131409168243408,2.141228675842285,0.009819507598876953,0.3043592870235443,0.30213508009910583,bf16
L31_N2477,31,2477,ambiguity,amb_0000,working,False,1.0,4.110031697570705,1.711566162109375,2.3984655354613307,-2.46875,2.131409168243408,2.1294844150543213,-0.001924753189086914,0.3043592870235443,0.3074401021003723,bf16
L31_N2477,31,2477,ambiguity,amb_0000,working,False,2.0,6.5084972330320365,1.711566162109375,2.3984655354613307,-2.46875,2.131409168243408,2.127368450164795,-0.004040718078613281,0.3043592870235443,0.307548850774765,bf16
L31_N2477,31,2477,ambiguity,amb_0001,working,False,-2.0,-3.085364908813286,1.711566162109375,2.3984655354613307,0.91796875,4.559041500091553,4.5542707443237305,-0.004770755767822266,0.1691441833972931,0.16034455597400665,bf16
L31_N2477,31,2477,ambiguity,amb_0001,working,False,-1.0,-0.6868993733519557,1.711566162109375,2.3984655354613307,0.91796875,4.559041500091553,4.536559104919434,-0.02248239517211914,0.1691441833972931,0.16786141693592072,bf16
L31_N2477,31,2477,ambiguity,amb_0001,working,False,0.0,1.711566162109375,1.711566162109375,2.3984655354613307,0.91796875,4.559041500091553,4.560301780700684,0.0012602806091308594,0.1691441833972931,0.16944409906864166,bf16
L31_N2477,31,2477,ambiguity,amb_0001,working,False,1.0,4.110031697570705,1.711566162109375,2.3984655354613307,0.91796875,4.559041500091553,4.5608978271484375,0.0018563270568847656,0.1691441833972931,0.17021584510803223,bf16
L31_N2477,31,2477,ambiguity,amb_0001,working,False,2.0,6.5084972330320365,1.711566162109375,2.3984655354613307,0.91796875,4.559041500091553,4.618954658508301,0.05991315841674805,0.1691441833972931,0.16591110825538635,bf16
