Frequency-neuron causal test
unigram: /marimo/repo/results/unigram_logfreq_43be1456fdd4.npy

Weight-space freq_corr vs causal slope [raw d_elogu] across 55 candidates: Pearson r=0.308 (p=0.022), Spearman rho=0.206 (p=0.13); sign agreement among FREQ-NEURON-LIKE 0.67
Weight-space freq_corr vs causal slope [d_elogu BEYOND temperature-matched baseline] across 55 candidates: Pearson r=0.306 (p=0.023), Spearman rho=0.213 (p=0.12); sign agreement among FREQ-NEURON-LIKE 0.67
|causal elogu slope| per sigma: FREQ-NEURON-LIKE (n=9) 0.0016 | other candidates (n=37) 0.0008 | random controls (n=10) 0.0007
sign agreement (weight score vs causal slope) among FREQ-NEURON-LIKE: 0.67

 neuron_id  is_candidate  freq_corr  abs_freq_corr_pctile  d_elogu_beyond_temp_slope_per_sigma  d_elogu_beyond_temp_slope_p  d_elogu_slope_per_sigma  d_elogu_slope_p  d_kl_slope_per_sigma  d_kl_slope_p  d_entropy_slope_per_sigma  d_elogu_mean_ablation  d_elogu_mean_ablation_p
 L31_N7853          True   -0.01441                  16.6                           -0.0003909                      0.09458               -0.0002952           0.2494             0.0003018        0.5145                 -6.656e-06              0.0006488                   0.4635
 L26_N4012         False        NaN                   NaN                           -0.0003555                       0.3941               -0.0001924           0.7227            -0.0004133        0.6603                  0.0006057              -0.001622                   0.2955
L31_N14143          True    -0.2535                  99.2                           -0.0003387                       0.2068               -0.0005086          0.07758             0.0003024        0.5625                  0.0002062              0.0004993                   0.6281
 L26_N2788          True    -0.1063                  80.2                            0.0003181                       0.3927                0.0003034           0.5665             0.0001542        0.8732                 -0.0004577             -0.0007296                   0.7221
 L31_N4425          True  -0.006453                   8.2                            0.0003178                       0.3255                 0.000291           0.3985            -0.0006913        0.2749                  0.0004003              0.0001542                   0.8534
L31_N11541          True     0.2199                  98.6                            0.0003087                       0.8668                0.0001589            0.938              0.001082        0.7441                  -0.001241               0.001232                   0.6315
 L22_N3582         False        NaN                   NaN                            0.0003036                       0.3473                 0.000423           0.3257             0.0002742        0.7485                 -0.0006971              -0.003643                    0.161
L29_N13925          True   -0.09583                    76                           -0.0003011                       0.6917               -0.0004016           0.6257            -0.0002732        0.7836                  0.0006749             -0.0002817                   0.8908
 L31_N6912         False        NaN                   NaN                            -0.000297                       0.3387               -0.0001501           0.6625             0.0001256        0.8372                   2.45e-05              -0.001479                  0.05799
L23_N12156          True   -0.02103                  23.1                           -0.0002953                       0.4905               -0.0004828           0.4243             0.0009846        0.3179                 -0.0005018              -0.004062                   0.1258
 L20_N4769          True     0.1246                  86.5                            0.0002793                       0.7017                0.0002994           0.7111            -0.0001486         0.872                 -0.0001508               0.000851                   0.7223
  L31_N377          True    0.03517                  35.9                           -0.0002697                       0.2422               -0.0003343           0.2032             0.0007236         0.103                 -0.0003893              0.0006048                   0.5505
 L30_N7102          True    -0.2972                  99.5                            0.0002312                       0.4807                0.0003953           0.3367              8.61e-05         0.904                 -0.0004814                0.00232                  0.09878
  L31_N368          True   0.006299                   8.1                            0.0002133                       0.4961                0.0003603           0.2627            -0.0004992        0.3781                  0.0001389             -0.0009254                   0.2368
L30_N13647          True     0.1983                  97.4                           -0.0001784                       0.5123               -0.0002014           0.5231             0.0004065        0.4651                 -0.0002051              4.578e-05                    0.973
 L31_N5966          True    -0.4047                  99.9                            0.0001533                       0.4917                0.0001526           0.5737            -0.0005227         0.166                  0.0003701              0.0009879                   0.2316
 L20_N2742          True      0.117                  83.7                           -0.0001194                       0.8584               -0.0002223           0.7596             0.0006867        0.4807                 -0.0004645              -0.004351                  0.08038
L20_N12894          True   0.006331                   8.2                            0.0001185                       0.7766               -3.608e-05           0.9456             0.0009961        0.3021                   -0.00096              0.0006586                    0.768
