neuron_id,layer,neuron_idx,category,prompt_id,split,is_control,orig_entropy,ablated_entropy,entropy_shift,frozen_norm_ablated_entropy,shift_under_frozen_norm,norm_pathway_share,orig_top1_prob,ablated_top1_prob,frozen_norm_top1_prob,orig_activation,mean_val,mean_source,precision
L31_N993,31,993,lack_of_knowledge,lok_0000,working,False,4.044427871704102,4.04533576965332,0.00090789794921875,4.043654918670654,-0.0007729530334472656,1.8513655462184875,0.14213667809963226,0.14247536659240723,0.14255988597869873,-0.038330078125,-0.12582320258730934,pooled_controls,bf16
L31_N993,31,993,lack_of_knowledge,lok_0001,working,False,2.6345889568328857,2.634659767150879,7.081031799316406e-05,2.634270429611206,-0.0003185272216796875,5.498316498316498,0.2704528570175171,0.270441472530365,0.2704591751098633,-0.267578125,-0.12582320258730934,pooled_controls,bf16
L31_N993,31,993,lack_of_knowledge,lok_0002,working,False,3.6772189140319824,3.676147937774658,-0.0010709762573242188,3.6770517826080322,-0.0001671314239501953,0.8439447907390917,0.1903911978006363,0.19063524901866913,0.1905992329120636,-0.035400390625,-0.12582320258730934,pooled_controls,bf16
L31_N993,31,993,lack_of_knowledge,lok_0003,working,False,2.2228846549987793,2.2206993103027344,-0.002185344696044922,2.2210588455200195,-0.0018258094787597656,0.1645210560768056,0.3681485950946808,0.36861956119537354,0.3685928285121918,-0.30859375,-0.12582320258730934,pooled_controls,bf16
L31_N993,31,993,lack_of_knowledge,lok_0004,working,False,3.0926129817962646,3.094059467315674,0.0014464855194091797,3.09112286567688,-0.0014901161193847656,2.030163177847371,0.28580066561698914,0.2857211232185364,0.28599417209625244,-0.037841796875,-0.12582320258730934,pooled_controls,bf16
L31_N993,31,993,lack_of_knowledge,lok_0005,working,False,1.8770798444747925,1.8782687187194824,0.0011888742446899414,1.8782687187194824,0.0011888742446899414,0.0,0.4893959164619446,0.48914262652397156,0.48914262652397156,-0.27734375,-0.12582320258730934,pooled_controls,bf16
L31_N993,31,993,lack_of_knowledge,lok_0006,working,False,2.4075398445129395,2.376420736312866,-0.031119108200073242,2.3740248680114746,-0.033514976501464844,-0.07699026225262981,0.2579793632030487,0.28160473704338074,0.2823452055454254,-0.466796875,-0.12582320258730934,pooled_controls,bf16
L31_N993,31,993,lack_of_knowledge,lok_0007,working,False,2.113173007965088,2.110969066619873,-0.0022039413452148438,2.110924482345581,-0.002248525619506836,-0.020229337948939854,0.5010701417922974,0.501593828201294,0.5015962719917297,-0.1943359375,-0.12582320258730934,pooled_controls,bf16
L31_N993,31,993,lack_of_knowledge,lok_0008,working,False,3.392334222793579,3.3907077312469482,-0.0016264915466308594,3.3887763023376465,-0.003557920455932617,-1.1874816769275873,0.21907633543014526,0.21819502115249634,0.21834684908390045,0.0308837890625,-0.12582320258730934,pooled_controls,bf16
L31_N993,31,993,lack_of_knowledge,lok_0009,working,False,3.6822702884674072,3.681277275085449,-0.0009930133819580078,3.681277275085449,-0.0009930133819580078,-0.0,0.24501986801624298,0.24511688947677612,0.24511688947677612,-0.166015625,-0.12582320258730934,pooled_controls,bf16
