category_a,category_b,n_neurons,observed_r,ci_lower,ci_upper,p_value,significant_fdr
ambiguity,contradictory_context,17,0.039118565904918814,-0.7766724855216641,0.4193564026216049,0.8897555122243888,False
ambiguity,lack_of_knowledge,17,-0.23477929334873013,-0.7228535952943886,0.45046185966341273,0.38893055347232636,False
contradictory_context,lack_of_knowledge,17,-0.3320980322349282,-0.7625566613354059,0.26722869708974994,0.18999050047497626,False
