category,neuron_id,mixed_model_coef,mixed_model_p
ambiguity,L20_N12894,0.0022857044513025907,0.3337395287462379
ambiguity,L20_N1399,0.0019895319516459163,0.4001464798312028
ambiguity,L20_N2742,-0.0009318772082528339,0.6935185864138854
ambiguity,L20_N4769,-0.0006759811813633514,0.7749793107039659
ambiguity,L20_N5595,0.00410657407095025,0.08245029255995961
ambiguity,L23_N12855,0.0009208416566251863,0.6969671574447085
ambiguity,L28_N11622,0.00378110973785311,0.10981930748869635
ambiguity,L29_N11909,0.002776125942667235,0.24039304136895612
ambiguity,L29_N13925,0.004750507635374764,0.044541623381943896
ambiguity,L30_N10312,0.001976233969132015,0.403303421960842
ambiguity,L30_N13098,0.0009058207894364035,0.7016711933047153
ambiguity,L30_N13647,0.002651817475755908,0.2621024297626593
ambiguity,L30_N1457,0.00491376811017582,0.0377094124009705
ambiguity,L30_N1777,0.001421823476751551,0.5476537964588777
ambiguity,L31_N3330,0.0002651767805217916,0.910711233657697
ambiguity,L31_N6772,0.00038394698252272233,0.8710156028519631
contradictory_context,L20_N12894,0.0012393426150084056,0.49019521044974335
contradictory_context,L20_N1399,0.002038937589774576,0.2563044131817689
contradictory_context,L20_N2742,0.00020053026576841317,0.9111054334639138
contradictory_context,L20_N4769,0.0008155840293815187,0.6497764982591265
contradictory_context,L20_N5595,0.0013905691759040447,0.4388166233439649
contradictory_context,L23_N12855,0.0007110939671596372,0.6921800278076884
contradictory_context,L28_N11622,0.0010540087241679918,0.5573282496879925
contradictory_context,L29_N11909,0.004260092135518839,0.017702294809086763
contradictory_context,L29_N13925,0.0013972442752371683,0.4366224231329955
contradictory_context,L30_N10312,0.0013227431879689825,0.4614682844495832
contradictory_context,L30_N13098,-0.0007648775819688548,0.6702228925200449
contradictory_context,L30_N13647,0.001772615065177327,0.3236939253539398
contradictory_context,L30_N1457,0.005439280020073111,0.0024593832318124164
contradictory_context,L30_N1777,0.0031011803230892115,0.08424526584771914
contradictory_context,L31_N3330,0.0028675714352479086,0.11037556050408803
contradictory_context,L31_N6772,0.002218437644963507,0.2167913971706923
lack_of_knowledge,L20_N12894,-0.003087360660234909,0.1525729515192489
lack_of_knowledge,L20_N1399,-0.0014058142900465142,0.5148063671970209
lack_of_knowledge,L20_N2742,-0.000834463040033801,0.6990217719010425
lack_of_knowledge,L20_N4769,-0.0023106083273885815,0.2843490556034638
lack_of_knowledge,L20_N5595,-0.0020622228582698374,0.33931817569692724
lack_of_knowledge,L23_N12855,-0.0020755832393962365,0.33619844705924606
lack_of_knowledge,L28_N11622,-0.004844151437282372,0.02480049862542766
lack_of_knowledge,L29_N11909,-0.0036171555519102162,0.09374248798379825
lack_of_knowledge,L29_N13925,-0.0050113265713054135,0.020235343599604626
lack_of_knowledge,L30_N10312,-0.0025928447643913987,0.22960676444717
lack_of_knowledge,L30_N13098,-0.0024311507741608448,0.2599738633946057
lack_of_knowledge,L30_N13647,-0.004132314523060937,0.055534273581546174
lack_of_knowledge,L30_N1457,-0.0013065859675405699,0.5449162888340544
lack_of_knowledge,L30_N1777,-0.0032435556252795633,0.1328716052798625
lack_of_knowledge,L31_N3330,-0.0025940597057340807,0.22938857086878173
lack_of_knowledge,L31_N6772,-0.003613854448000414,0.09404248129831046
