neuron_id,category,n,mean_shift,sd_shift,effect_size_dz,dz_ci_lower,dz_ci_upper,effect_size_d_legacy
L20_N1001,ambiguity,120,-0.0011444056406617032,0.023423324711861027,-0.0488575236325099,-0.22892157851513725,0.12873520454513854,-0.0011112590005324778
L20_N1001,contradictory_context,120,-0.002507737325504426,0.02116191110441239,-0.11850240335720656,-0.27058672513915644,0.06193183864703511,-0.0036639150830656613
L20_N1001,lack_of_knowledge,120,0.003485961258411401,0.02438429191252352,0.14295929817921213,-0.03330734510870992,0.31941923395592553,0.006266630781006774
L20_N12894,ambiguity,120,0.0011412988106409665,0.026839419368303353,0.04252323028972863,-0.1442490332654505,0.22884619415884946,0.0011082421569404872
L20_N12894,contradictory_context,120,-0.0012683947104960654,0.01612886013650943,-0.07864131127437306,-0.23901871015750017,0.10745626838923843,-0.001853180739387226
L20_N12894,lack_of_knowledge,120,0.0003986005981763168,0.02662436328883052,0.014971272509023272,-0.1640318105555451,0.20114994527486527,0.0007165549450190212
L20_N1399,ambiguity,120,0.0008451263109842897,0.027362167705000707,0.03088667243384502,-0.14361317356248976,0.2205426163586575,0.0008206480170135096
L20_N1399,contradictory_context,120,-0.00046879973572989584,0.018271856414172456,-0.025656929712203416,-0.19460332189135504,0.16428737009924374,-0.0006849371364412983
L20_N1399,lack_of_knowledge,120,0.0020801469683647167,0.02869751039896229,0.07248527622939499,-0.10641638376551218,0.25005206180268097,0.003739431409204104
L20_N2742,ambiguity,120,-0.002076282848914465,0.024143669079239337,-0.08599698919414943,-0.27096617072580803,0.09403860056988675,-0.0020161452561290455
L20_N2742,contradictory_context,120,-0.002307207059736056,0.018692544679380033,-0.12342926548043313,-0.28174378909623876,0.05448805349431005,-0.0033709315006595145
L20_N2742,lack_of_knowledge,120,0.002651498218377431,0.02629173671364252,0.10084910887615861,-0.07745214620059432,0.2762222645740266,0.004766536148666421
L20_N4769,ambiguity,120,-0.0018203868220249793,0.025419816135199225,-0.07161290279768234,-0.24512479260735506,0.10821808641801176,-0.001767661018567075
L20_N4769,contradictory_context,120,-0.0016921532961229507,0.020138301741795907,-0.08402661345623709,-0.24255777806183082,0.1057412453922463,-0.0024723107645562743
L20_N4769,lack_of_knowledge,120,0.001175352931022646,0.024669285389835177,0.047644385009504284,-0.13022555810669403,0.22639830679225972,0.0021129043928186405
L20_N5595,ambiguity,120,0.002962168430288629,0.025631650960532642,0.11556682146030103,-0.06325038573907854,0.28635587886739816,0.0028763719893481966
L20_N5595,contradictory_context,120,-0.001117168149600426,0.017099397357859945,-0.06533377324475743,-0.24652978943639675,0.1117592086325615,-0.0016322320491912827
L20_N5595,lack_of_knowledge,120,0.0014237384001413906,0.028166525931457572,0.050547178008605566,-0.1303029054913231,0.22938383251571887,0.00255942112405841
L23_N12855,ambiguity,120,-0.00022356398403643984,0.021196199005353213,-0.01054736200485651,-0.19534897124541173,0.1646657938285386,-0.00021708866212136522
L23_N12855,contradictory_context,120,-0.0017966433583448314,0.01773048756512815,-0.10133073621045942,-0.250361172226528,0.0860699106406312,-0.0026249753642779415
L23_N12855,lack_of_knowledge,120,0.001410378019014992,0.026391618223404804,0.05344037667854071,-0.1235591208291856,0.23914267344230788,0.0025354034803136177
L28_N11622,ambiguity,120,0.002636704097191488,0.025645759529373233,0.10281247838152553,-0.07284827177543343,0.2951497744775277,0.0025603344265681185
L28_N11622,contradictory_context,120,-0.0014537286013364791,0.01849901730391727,-0.07858409868229292,-0.2359568135900285,0.11166325501257471,-0.0021239617462922647
L28_N11622,lack_of_knowledge,120,-0.00135819017887115,0.021846272173117753,-0.06217034046396385,-0.23611360137160975,0.12571702745338043,-0.0024415866243028034
L29_N11909,ambiguity,120,0.0016317203020056105,0.024569881391084437,0.06641140329630185,-0.11307599732835276,0.24130818059654208,0.0015844590480232745
L29_N11909,contradictory_context,120,0.0017523548100143648,0.018112793862887736,0.09674679805222416,-0.08454205677619708,0.27760859605854965,0.0025602678374629317
L29_N11909,lack_of_knowledge,120,-0.00013119429349899107,0.022696405631397448,-0.00578039957646427,-0.18083349928510795,0.17480262100134253,-0.00023584490388395114
L29_N13925,ambiguity,120,0.0036061019947131413,0.016759630696500535,0.21516595801040575,0.0625140058703456,0.3505769353458113,0.0035016546197256106
L29_N13925,contradictory_context,120,-0.0011104930502673033,0.018706113480942914,-0.05936524716364155,-0.22854689111852602,0.12359942188991804,-0.0016224794340035376
L29_N13925,lack_of_knowledge,120,-0.0015253653128941937,0.023135570828926557,-0.06593160480773698,-0.23113082178889013,0.12215568804921721,-0.0027421134411628263
L30_N10312,ambiguity,120,0.0008318283284703897,0.01940787410102661,0.042860352666157744,-0.14054459990153192,0.2087247325492074,0.0008077351981384206
L30_N10312,contradictory_context,120,-0.0011849941375354882,0.015490498534765544,-0.07649812786050682,-0.25639615447149605,0.10104289211332876,-0.0017313288157033483
L30_N10312,lack_of_knowledge,120,0.000893116494019829,0.016242984621921388,0.05498475279072092,-0.11963499767364894,0.24477211395075132,0.0016055345706854076
L30_N13098,ambiguity,120,-0.00023858485122522298,0.022156858930811776,-0.010767990714308428,-0.17706459346977205,0.17972536825286917,-0.00023167446392647232
L30_N13098,contradictory_context,120,-0.0032726149074733227,0.015587531293841111,-0.20995081554488276,-0.3257226128604194,-0.06683252376482494,-0.004781435040508144
L30_N13098,lack_of_knowledge,120,0.0010548104842503828,0.01540774611540118,0.06845975240960271,-0.11422591965217524,0.2349894684492059,0.0018962080639256514
L30_N13647,ambiguity,120,0.001507411835094284,0.024425404770942377,0.06171491728511999,-0.11208972301670306,0.25204523058007744,0.0014637510597109026
L30_N13647,contradictory_context,120,-0.0007351222603271438,0.013119536753423264,-0.056032638510298716,-0.23524679472322088,0.12947020103523368,-0.0010740461172376444
L30_N13647,lack_of_knowledge,120,-0.0006463532646497123,0.012846058276731185,-0.05031529911556525,-0.2080191178347876,0.1438354333055139,-0.0011619341017874512
L30_N1457,ambiguity,120,0.003769362469514197,0.029397350772045642,0.1282211617891275,-0.05374478837355945,0.3166278623791076,0.0036601864074132157
L30_N1457,contradictory_context,120,0.002931542694568634,0.023793242019940507,0.12320904785114123,-0.05621955319649886,0.2847971842478629,0.004283113460904625
L30_N1457,lack_of_knowledge,120,0.0021793752908706603,0.020562643123517448,0.10598711837672822,-0.07608102354491841,0.282752402457359,0.003917811836887568
L30_N1777,ambiguity,120,0.0002774178360899244,0.024445767759346575,0.011348297129422605,-0.16426135972252467,0.20550876673543117,0.00026938268766739105
L30_N1777,contradictory_context,120,0.0005934429975847386,0.014266479149231065,0.041597018533947386,-0.1487016729329026,0.21067788750429292,0.0008670464516665683
L30_N1777,lack_of_knowledge,120,0.00024240563313166242,0.017674458768238553,0.013715024392558568,-0.17440129187879083,0.19098407937733028,0.0004357669203600301
L31_N3330,ambiguity,120,-0.000879228860139836,0.01378379402787167,-0.06378714440755438,-0.3016898451153596,0.09815187089730561,-0.0008537628176958008
L31_N3330,contradictory_context,120,0.0003598341097434359,0.005544870806684883,0.06489494927629708,-0.12202832551484455,0.21810594515635168,0.0005257335402244674
L31_N3330,lack_of_knowledge,120,0.0008919015526771471,0.007832943450745295,0.11386544002079878,-0.0763631236964938,0.2260729384990397,0.0016033504991336091
L31_N6772,ambiguity,120,-0.000760458658138904,0.014781502014818726,-0.05144664306621413,-0.2613512689045243,0.12311368089357277,-0.0007384326836252611
