neuron_id,layer,neuron_idx,category,prompt_id,split,is_control,orig_entropy,ablated_entropy,entropy_shift,frozen_norm_ablated_entropy,shift_under_frozen_norm,norm_pathway_share,orig_top1_prob,ablated_top1_prob,frozen_norm_top1_prob,orig_activation,mean_val,mean_source,precision
L31_N2477,31,2477,ambiguity,amb_0000,working,False,2.131409168243408,2.141228675842285,0.009819507598876953,2.118640899658203,-0.012768268585205078,2.300296217161171,0.3043592870235443,0.30213508009910583,0.3265640437602997,-2.46875,1.711566162109375,general_baseline,bf16
L31_N2477,31,2477,ambiguity,amb_0001,working,False,4.559041500091553,4.560301780700684,0.0012602806091308594,4.547031879425049,-0.012009620666503906,10.529322739311388,0.1691441833972931,0.16944409906864166,0.16694842278957367,0.91796875,1.711566162109375,general_baseline,bf16
L31_N2477,31,2477,ambiguity,amb_0002,working,False,0.5591363906860352,0.5582619309425354,-0.0008744597434997559,0.5564350485801697,-0.0027013421058654785,-2.089155476790948,0.7746531963348389,0.7747512459754944,0.7749396562576294,-1.2734375,1.711566162109375,general_baseline,bf16
L31_N2477,31,2477,ambiguity,amb_0003,working,False,0.7737653255462646,0.775404691696167,0.0016393661499023438,0.7860369086265564,0.012271583080291748,-6.485565735892961,0.8860874176025391,0.8860119581222534,0.8837406635284424,-0.2734375,1.711566162109375,general_baseline,bf16
L31_N2477,31,2477,ambiguity,amb_0004,working,False,3.214151620864868,3.221081256866455,0.006929636001586914,3.1745357513427734,-0.03961586952209473,6.716875967658696,0.3810039460659027,0.37687498331069946,0.38950470089912415,-0.65625,1.711566162109375,general_baseline,bf16
L31_N2477,31,2477,ambiguity,amb_0005,working,False,0.40345656871795654,0.404094398021698,0.0006378293037414551,0.36961767077445984,-0.033838897943496704,54.0532193252967,0.9331170916557312,0.9330585598945618,0.940045177936554,-1.3515625,1.711566162109375,general_baseline,bf16
L31_N2477,31,2477,ambiguity,amb_0006,working,False,2.6447858810424805,2.65812349319458,0.01333761215209961,2.6066508293151855,-0.03813505172729492,3.859211326016231,0.3364722430706024,0.33863866329193115,0.34854957461357117,-3.0625,1.711566162109375,general_baseline,bf16
L31_N2477,31,2477,ambiguity,amb_0007,working,False,2.73992919921875,2.7375669479370117,-0.0023622512817382812,2.697831392288208,-0.04209780693054199,-16.82105369398466,0.3336516320705414,0.33995816111564636,0.3444022834300995,-3.203125,1.711566162109375,general_baseline,bf16
L31_N2477,31,2477,ambiguity,amb_0008,working,False,3.0731167793273926,3.152453899383545,0.07933712005615234,3.107097864151001,0.0339810848236084,0.5716874421511943,0.321990430355072,0.30701011419296265,0.31493067741394043,-2.65625,1.711566162109375,general_baseline,bf16
L31_N2477,31,2477,ambiguity,amb_0009,working,False,2.3017964363098145,2.311133861541748,0.009337425231933594,2.300769329071045,-0.0010271072387695312,1.1099989786538658,0.3590010106563568,0.35785606503486633,0.34413668513298035,-1.5078125,1.711566162109375,general_baseline,bf16
