neuron_id,layer,neuron_idx,kind,sets,freq_corr,freq_slope,direct_logit_std,abs_freq_corr_pctile
L20_N1001,20,1001,candidate,candidate_neurons,-0.02117876149713993,-0.00029279544833116233,0.0191694013774395,23.200000000000003
L20_N1399,20,1399,candidate,candidate_neurons,0.04082142934203148,0.0007324012112803757,0.024877436459064484,41.3
L20_N2742,20,2742,candidate,candidate_neurons,0.1169811338186264,0.0021341065876185894,0.02529560588300228,83.7
L20_N4060,20,4060,candidate,candidate_neurons_bf16,-0.16862370073795319,-0.0028840284794569016,0.02371514029800892,95.0
L20_N4769,20,4769,candidate,candidate_neurons,0.12456636875867844,0.002193727530539036,0.02441892959177494,86.5
L20_N5595,20,5595,candidate,candidate_neurons,0.15896062552928925,0.002289743861183524,0.019972944632172585,94.19999999999999
L20_N12894,20,12894,candidate,candidate_neurons,0.006331153679639101,8.757557952776551e-05,0.01917983591556549,8.200000000000001
L22_N2446,22,2446,candidate,candidate_neurons_bf16,-0.15957343578338623,-0.00271866493858397,0.023623261600732803,94.19999999999999
L23_N12156,23,12156,candidate,candidates_old15,-0.021028192713856697,-0.00027080904692411423,0.017856895923614502,23.1
L23_N12855,23,12855,candidate,candidate_neurons,0.012599587440490723,0.00017513353668618947,0.01927337422966957,14.899999999999999
L24_N7891,24,7891,candidate,candidates_old15,0.130794957280159,0.002167562721297145,0.02297869697213173,88.0
L26_N2788,26,2788,candidate,candidates_old15,-0.10632689297199249,-0.0016457431484013796,0.02146168053150177,80.2
L26_N8053,26,8053,candidate,candidate_neurons_bf16,-0.024639010429382324,-0.0004388440866023302,0.024696296080946922,25.900000000000002
L26_N11322,26,11322,candidate,candidates_old15,0.17783330380916595,0.0026285983622074127,0.020495377480983734,95.39999999999999
L27_N45,27,45,candidate,candidate_neurons_bf16,-0.14271946251392365,-0.002554127015173435,0.024814415723085403,91.9
L28_N5085,28,5085,candidate,candidate_neurons_bf16,-0.18314455449581146,-0.002809918485581875,0.021273769438266754,96.3
L28_N11622,28,11622,candidate,candidate_neurons|candidate_neurons_bf16,0.06426685303449631,0.0010944339446723461,0.02361278608441353,61.199999999999996
L28_N14222,28,14222,candidate,candidate_neurons_bf16,0.027738191187381744,0.0004155993810854852,0.020775023847818375,29.5
