subset,n_prompts,n_neurons,n_categories,F_interaction,df_int,df_res,partial_eta2,p_permutation,p_parametric_reference,n_perm,significant_at_alpha,alpha
pooled(working+held_out),360,17,3,1.1254853535735192,32,5712,0.006265733124440119,0.28523573821308934,0.28678457049237244,20000,False,0.01
held_out_only,108,17,3,1.1563935781172852,32,1680,0.02155183196264793,0.26228688565571723,0.2516021384277722,20000,False,0.01
