neuron_id,ambiguity,contradictory_context,lack_of_knowledge
L20_N1001,-0.0011444056406617034,-0.002507737325504426,0.0034859612584114004
L20_N12894,0.0011412988106409658,-0.0012683947104960654,0.00039860059817631657
L20_N1399,0.0008451263109842903,-0.00046879973572989557,0.002080146968364716
L20_N2742,-0.002076282848914465,-0.002307207059736056,0.0026514982183774307
L20_N4769,-0.0018203868220249791,-0.0016921532961229509,0.0011753529310226465
L20_N5595,0.002962168430288628,-0.001117168149600426,0.001423738400141391
L23_N12855,-0.00022356398403643982,-0.0017966433583448316,0.0014103780190149924
L28_N11622,0.002636704097191488,-0.001453728601336479,-0.00135819017887115
L29_N11909,0.0016317203020056105,0.0017523548100143644,-0.00013119429349899096
L29_N13925,0.0036061019947131413,-0.0011104930502673033,-0.001525365312894193
L30_N10312,0.00083182832847039,-0.0011849941375354882,0.0008931164940198288
L30_N13098,-0.0002385848512252235,-0.0032726149074733227,0.0010548104842503828
L30_N13647,0.0015074118350942836,-0.000735122260327144,-0.0006463532646497124
L30_N1457,0.003769362469514197,0.002931542694568634,0.0021793752908706603
L30_N1777,0.00027741783608992447,0.0005934429975847385,0.00024240563313166237
L31_N3330,-0.0008792288601398357,0.0003598341097434358,0.0008919015526771471
L31_N6772,-0.0007604586581389041,-0.00028929968054096415,-0.00012789318958918882
