neuron_id,inter,dz,n_pairs,z,p_emp,fdr_pass
L22_N2446,-0.0074016275696265335,-0.18849769816187037,195,-5.276471813665581,0.16666666666666666,False
L27_N45,0.00200125356324208,0.059345935078840666,195,1.9029226949457425,0.16666666666666666,False
L29_N12400,0.0047279653545373515,0.15687885826543777,195,3.9848526251839194,0.16666666666666666,False
L29_N11791,-0.003188458295204715,-0.10762343269778622,195,-2.0595849972514775,0.16666666666666666,False
L29_N5866,-0.012506832765080963,-0.39072480412442784,195,-9.17445601953395,0.16666666666666666,False
L29_N578,-0.002173849395834486,-0.07504874690588076,195,-1.2848992963907107,0.16666666666666666,False
L31_N11541,0.005722376713768014,0.13341789818774513,195,4.744116870991024,0.16666666666666666,False
L30_N1457,0.0064238289896494105,0.16285827888251436,195,5.279697672912683,0.16666666666666666,False
L31_N4425,0.002082942665005337,0.08249551067979502,195,1.965294884950616,0.16666666666666666,False
L31_N14143,-0.002394647571520926,-0.15587985021896358,195,-1.453485625158967,0.16666666666666666,False
L30_N11103,-0.001575910242704234,-0.08338608235502747,195,-0.8283540086425725,0.5,False
L31_N377,0.000920340342399407,0.056800218778473695,195,1.0776115661177461,0.6666666666666666,False
L29_N4718,-0.0009427246374961774,-0.03778210560463541,195,-0.34489694981919816,0.6666666666666666,False
L28_N5085,-0.0011324814210335675,-0.03519140355559653,195,-0.48978220258900174,0.6666666666666666,False
L20_N4060,-0.0009526550865326057,-0.02324684723266668,195,-0.3524791589604965,0.6666666666666666,False
L28_N14222,-0.0008175864338110667,-0.026795221653953906,195,-0.24935000844461527,0.6666666666666666,False
L31_N7853,0.0008935944774212024,0.049760833345207985,195,1.0571902597714007,0.6666666666666666,False
L26_N8053,0.0007902029519661828,0.02567541776047208,195,0.9782475889453301,0.8333333333333334,False
L28_N11622,-0.0006881916274627066,-0.024006463504091705,195,-0.15055301749968858,0.8333333333333334,False
L29_N6625,0.0005822768673682822,0.02130738513759427,195,0.8194895052404259,0.8333333333333334,False
L29_N3447,-0.0004360959506951944,-0.014359341252697423,195,0.04192993446518149,1.0,False
L29_N2646,0.00012597578267257797,0.003724502847360674,195,0.4710893228445963,1.0,False
L29_N13925,0.0004887683937946799,0.018490690711875167,195,0.748092854341986,1.0,False
L29_N10877,-0.00022422486008743668,-0.008376131555913595,195,0.2037001539275615,1.0,False
L31_N368,0.00041632504226304235,0.019414874446092596,195,0.6927800844768449,1.0,False
L30_N13098,-0.0004287437464182235,-0.01879509241729474,195,0.04754357290922829,1.0,False
L31_N5966,-0.00019163684203076734,-0.01008596158118127,195,0.22858212729046434,1.0,False
