contrast,prompts_cell,controls_cell,n_pairs,n_working,n_held_out,n_relations,gap_entropy,gap_hedge_rate,gap_log_pop,smd_log_pop,smd_len
pop_given_known,obscure_known,popular_known,46,32,14,6,0.29837310690756724,0.7619565217391304,-6.5713238311685505,-4.286631532250633,0.8916905588592917
pop_given_unknown,obscure_unknown,popular_unknown,209,146,63,15,0.8575399413562277,0.5760765550239235,-6.458353912631524,-6.047359314498767,0.08350349164228218
know_given_hi,popular_unknown,popular_known,147,102,45,15,1.3056471382780952,0.21564625850340138,0.06705397527820872,0.05322085673070664,-0.14090975294010688
know_given_lo,obscure_unknown,obscure_known,37,25,12,6,2.2006386192263783,0.16756756756756758,-0.014332935814634672,-0.013543944898610015,-0.5606730523967907
