contrast,prompts_cell,controls_cell,n_pairs,n_working,n_held_out,n_relations,gap_entropy,gap_hedge_rate,gap_log_pop,smd_log_pop,smd_len
pop_given_known,obscure_known,popular_known,55,38,17,7,0.2883813288062811,0.7581818181818181,-6.644600055050854,-4.476248378618614,0.9882997051355881
pop_given_unknown,obscure_unknown,popular_unknown,361,252,109,15,0.807759481722133,0.5775623268698061,-6.2977635497063575,-6.606959248328988,0.0561224191041683
know_given_hi,popular_unknown,popular_known,248,173,75,15,1.4355612977242638,0.23850806451612905,0.05421087522701658,0.04685005768756178,-0.19916865257914718
know_given_lo,obscure_unknown,obscure_known,51,35,16,7,2.088459025118865,0.10294117647058823,-0.02709203620944521,-0.027193561086508583,-0.5709847034985925
