category_a,category_b,n_neurons,observed_r,ci_lower,ci_upper,p_value
ambiguity,contradictory_context,17,0.456710801404388,-0.020760517101542204,0.7576841018567738,0.062193780621937804
ambiguity,lack_of_knowledge,17,-0.4499763495326632,-0.8475340359265088,0.1180542971161501,0.07019298070192981
contradictory_context,lack_of_knowledge,17,-0.14621374315269647,-0.6343917574226231,0.33754622793887507,0.5772422757724227
