neuron_id,group,weight_norm,null_space_fraction,logit_var
L30_N5509,candidate,1.1490689516067505,0.5839384821024224,0.0002451460459269583
L29_N9228,candidate,1.6135237216949463,0.4629585943581878,0.0005096719833090901
L26_N11322,candidate,1.4911776781082153,0.4087559222535554,0.00042006050352938473
L29_N10092,candidate,1.60419499874115,0.42560052365775103,0.0006755555514246225
L30_N7102,candidate,1.8871647119522095,0.4980828687818738,0.0006535467691719532
L24_N7891,candidate,1.6821542978286743,0.4063273845648015,0.0005280205514281988
L30_N13513,candidate,1.2310959100723267,0.5372319415675331,0.0002768957056105137
L30_N6621,candidate,1.4564810991287231,0.49295694353289826,0.00039108938653953373
L30_N3533,candidate,1.3940963745117188,0.48754122437357206,0.0004131511668674648
L29_N11308,candidate,1.9599106311798096,0.44891843654652824,0.0006522225448861718
L29_N10191,candidate,1.582502841949463,0.41678332706468435,0.000465557532152161
L31_N2477,candidate,0.897652268409729,0.6378725354874546,0.0002801292866934091
L29_N8568,candidate,1.5784375667572021,0.3747526790627306,0.0004450820561032742
L26_N2788,candidate,1.590774655342102,0.4149178099741533,0.0004606037400662899
L23_N12156,candidate,1.3296191692352295,0.38119525670064985,0.00031886875513009727
L31_N1824,random,1.9105117321014404,0.4871721171646552,0.0006263876566663384
L23_N12149,random,1.8439034223556519,0.29678997951749353,0.0006358744576573372
L26_N4012,random,1.8450775146484375,0.2949384311342063,0.0006487749051302671
L24_N2286,random,1.8221606016159058,0.3102196731336326,0.0006290390156209469
L31_N1679,random,1.5846493244171143,0.45490048069039646,0.0005836898926645517
L31_N12135,random,1.8404505252838135,0.4874614753273915,0.0005804863758385181
L30_N1424,random,1.9943135976791382,0.2936174479507443,0.0007393636624328792
L30_N6912,random,2.077962875366211,0.27845920214438347,0.0008305832161568105
L23_N488,random,1.8565187454223633,0.2986620698138456,0.0006637479527853429
L23_N3582,random,1.8485302925109863,0.30433242729382437,0.0006378473481163383
L24_N8279,random,1.8282203674316406,0.2829511684077282,0.0006272720638662577
L30_N434,random,1.178665041923523,0.40805057241855003,0.00027031346689909697
L30_N3257,random,2.0347235202789307,0.2823403383099764,0.0007650210754945874
L31_N10647,random,1.816495418548584,0.3589033911895634,0.0005886901053600013
L31_N8928,random,1.1890723705291748,0.2162597589591094,0.00029552599880844355
L29_N3611,random,1.945613145828247,0.27176375862169283,0.0007157367072068155
L29_N9654,random,1.2252899408340454,0.24330321503817176,0.00027826291625387967
L26_N13261,random,1.787657618522644,0.28598261036590594,0.0006023751338943839
L23_N12432,random,1.8373090028762817,0.27914970121689375,0.0006440335419028997
L24_N11438,random,1.5449286699295044,0.4764588591754084,0.000378745433408767
L29_N5574,random,1.895774245262146,0.29250347120527276,0.0006782544078305364
L26_N2547,random,1.840896487236023,0.3012598170903725,0.0006320239626802504
L24_N12509,random,1.580814242362976,0.28438261144881816,0.000515991763677448
L26_N1674,random,1.7735551595687866,0.4194536250392711,0.0005460181855596602
L23_N6224,random,1.8304027318954468,0.28644385163960484,0.0006639428902417421
L23_N5881,random,1.8218653202056885,0.3000602175572205,0.0006249139551073313
L26_N9891,random,1.842078447341919,0.29617674812146905,0.0006406347965821624
L26_N13223,random,1.8555521965026855,0.39055520218896783,0.0005973525694571435
L23_N11955,random,1.8281170129776,0.30885270553146665,0.0006208745762705803
L29_N8785,random,1.9978671073913574,0.27910376932660713,0.000755279790610075
L23_N6201,random,1.8416407108306885,0.28234998414525264,0.0006497249705716968
L23_N9044,random,1.838610053062439,0.29341430303656973,0.0006354852812364697
L26_N13588,random,1.860946536064148,0.29003668688051587,0.0006579526816494763
L31_N10133,random,1.4173786640167236,0.6538304487221207,0.000264424568740651
L26_N9459,random,1.8627175092697144,0.3013698923662417,0.0006516166613437235
L24_N11543,random,1.8141742944717407,0.29303513371048107,0.0006247356068342924
L23_N750,random,1.767822265625,0.3029574765593887,0.000591782561969012
L31_N3733,random,2.150007963180542,0.29920104010823345,0.0008758796029724181
L26_N1307,random,1.8593677282333374,0.3359582720314328,0.0006914400728419423
L24_N14196,random,1.8333048820495605,0.28765206896516365,0.0006347846938297153
L23_N6227,random,1.861452341079712,0.2796756758129648,0.0006614552112296224
L26_N7428,random,1.8650593757629395,0.3023599108372535,0.0006560370093211532
L31_N13666,random,2.1101481914520264,0.2896445021744297,0.0008095430093817413
