layer,head,proj_dir_uncertain,proj_dir_control,proj_dir_diff,attn_to_entity_uncertain,attn_to_entity_control,rec_control_to_uncertain
17,20,0.2537199442042038,-0.020746805961243807,0.2744667501654476,0.007060050964355469,0.010858249664306641,0.20184992497610557
13,11,0.049011234869249166,-0.051597082219086585,0.10060831708833576,0.16432547569274902,0.06829681396484374,0.15660885731953383
15,7,0.017870211659464987,-0.07298068355303258,0.09085089521249756,0.005031204223632813,0.006192493438720703,0.14188241555808356
21,9,0.4624431049451232,0.06114017639774829,0.4013029285473749,0.004733848571777344,0.009481048583984375,0.13562397952589947
13,30,0.11083283880725503,0.003793490951647982,0.10703934785560705,0.3067413330078125,0.170654296875,0.13514683528353422
31,26,0.15914495391771197,-0.16445297449827195,0.3235979284159839,0.0025717496871948244,0.003588438034057617,0.1253610573374786
15,4,0.021898188849445433,-0.01741476188180968,0.03931295073125511,0.1485198974609375,0.06924285888671874,0.10919181840758999
31,24,0.19816278908401727,-0.02451283859554678,0.22267562767956406,0.0024498403072357178,0.0017865300178527832,0.07834803489549506
11,4,0.08022607129532844,-0.002835177694214508,0.08306124898954295,0.17017822265625,0.1519927978515625,0.07558232443355821
12,22,-0.0048491276480490345,-0.017197519598994404,0.01234839195094537,0.0938385009765625,0.0778778076171875,0.07480525285154402
12,28,0.023133843042887747,0.0033109966723714026,0.019822846370516345,0.129339599609375,0.128814697265625,0.06980617308361152
16,4,0.04687424663570709,-0.03701878059655428,0.08389302723226137,0.033116912841796874,0.04555244445800781,0.06693133813837364
10,24,0.03149416559608653,0.015792346216039733,0.0157018193800468,0.0903564453125,0.09149322509765626,0.06053316999880944
7,1,-0.003103899932466447,-0.005293614638503641,0.0021897147060371937,0.006162261962890625,0.008858871459960938,0.06048493050828977
8,6,-0.0031558509639580735,-0.010187489073723554,0.007031638109765481,0.02211456298828125,0.024716567993164063,0.045707784378200965
10,27,0.026183234032941982,-0.019709080242319033,0.04589231427526101,0.114141845703125,0.1254669189453125,0.03966923761014755
8,19,0.030909819481894373,0.025519545609131455,0.0053902738727629185,0.01414947509765625,0.014513969421386719,0.03773869142278987
14,2,0.0055124489997979255,-0.05776995425694622,0.06328240325674414,0.233349609375,0.27310791015625,0.026761207464087933
15,11,0.09718380612321198,-0.19571698689833283,0.2929007930215448,0.27701416015625,0.1216064453125,0.02537202563984472
8,16,-0.07200899654999375,-0.07405635733157397,0.0020473607815802153,0.006601524353027344,0.00946502685546875,0.012100652075380119
1,26,0.0025944003951735794,0.002605103951646015,-1.0703556472435767e-05,9.412243962287903e-05,7.108673453330994e-05,0.0118551272973949
0,24,0.0009280343292630278,0.0008931082775234245,3.492605173960328e-05,0.017553091049194336,0.027283859252929688,0.007824374508535025
13,28,-0.06423242562450468,-0.027874065679498017,-0.03635835994500666,0.01652374267578125,0.01556243896484375,0.0002550161167149817
15,10,-0.11903011985123158,0.12112801112234592,-0.2401581309735775,0.0722900390625,0.087451171875,-0.025113058307430512
5,19,0.00896549018798396,0.010294542741030454,-0.0013290525530464947,0.0023284912109375,0.0033336639404296874,-0.026557986760564766
12,12,-0.06511126551777124,-0.004471208900213242,-0.060640056617558,0.0012431383132934571,0.0012345194816589355,-0.029968292393054246
13,0,-0.08169848890975118,-0.015372256853152067,-0.06632623205659911,0.15150299072265624,0.08841094970703126,-0.044934541901725356
0,2,-0.005230571015272289,-0.00523624315392226,5.6721386499708135e-06,0.003401327133178711,0.0018924713134765626,-0.04686245416633443
31,25,0.01824575263308361,0.16001520557329058,-0.14176945294020696,0.002585029602050781,0.002050727605819702,-0.05814338888689271
15,6,0.045928999286843464,0.17388105466961862,-0.12795205538277515,0.016922760009765624,0.010383987426757812,-0.09948894422299479
