cell,pair,set,direction,condition,lp_264,lp_279,lp_304,lp_358,lp_430,lp_539,lp_912,lp_7566,lp_9987,lp_10035,lp_25420
circuit,1,random0,control_to_uncertain,patched,-6.401949405670166,-6.401949405670166,-8.776948928833008,-3.651949405670166,-8.401948928833008,-0.46444934606552124,-8.589448928833008,-13.198823928833008,-3.714449405670166,-12.120698928833008,-3.839449405670166
circuit,1,random1,control_to_uncertain,patched,-6.827942371368408,-6.327942371368408,-8.98419189453125,-4.327942371368408,-8.64044189453125,-0.5154423713684082,-8.60919189453125,-13.03106689453125,-3.077942371368408,-12.26544189453125,-4.202942371368408
circuit,1,random2,control_to_uncertain,patched,-7.295594692230225,-6.233094692230225,-9.170595169067383,-4.483094692230225,-8.733095169067383,-0.2955946922302246,-8.826845169067383,-13.264345169067383,-3.6705946922302246,-12.201845169067383,-5.483094692230225
circuit,1,random3,control_to_uncertain,patched,-6.618465900421143,-6.993465900421143,-8.712215423583984,-4.305965900421143,-8.993465423583984,-0.6809659004211426,-8.837215423583984,-14.040340423583984,-3.1809659004211426,-13.259090423583984,-4.055965900421143
circuit,1,random4,control_to_uncertain,patched,-6.477199554443359,-6.039699554443359,-8.97719955444336,-3.6021997928619385,-8.35219955444336,-0.5396997332572937,-8.97719955444336,-13.00844955444336,-3.1646997928619385,-12.13344955444336,-4.414699554443359
circuit,1,random5,control_to_uncertain,patched,-6.004513263702393,-7.692013263702393,-8.879512786865234,-5.379513263702393,-9.129512786865234,-0.754513144493103,-8.879512786865234,-14.035762786865234,-3.1920132637023926,-13.363887786865234,-3.2545132637023926
circuit,1,random6,control_to_uncertain,patched,-6.339709758758545,-7.902209758758545,-9.339710235595703,-4.527209758758545,-9.933460235595703,-0.6522098183631897,-9.370960235595703,-14.261585235595703,-4.152209758758545,-13.542835235595703,-5.027209758758545
circuit,1,random7,control_to_uncertain,patched,-6.30812931060791,-5.87062931060791,-8.77687931060791,-4.80812931060791,-8.43312931060791,-0.4331291615962982,-8.93312931060791,-13.19875431060791,-3.183129072189331,-12.18312931060791,-4.62062931060791
circuit,1,random8,control_to_uncertain,patched,-7.182315826416016,-6.057315826416016,-8.963565826416016,-4.369815826416016,-8.494815826416016,-0.4323155879974365,-8.619815826416016,-13.166690826416016,-3.3698155879974365,-12.057315826416016,-5.494815826416016
circuit,1,random9,control_to_uncertain,patched,-7.017289161682129,-6.142289161682129,-8.861039161682129,-3.829789400100708,-8.579789161682129,-0.3297893702983856,-8.454789161682129,-12.767289161682129,-3.892289400100708,-11.861039161682129,-5.267289161682129
circuit,1,random10,control_to_uncertain,patched,-7.046271324157715,-6.358771324157715,-8.858771324157715,-3.9837710857391357,-8.108771324157715,-0.5462711453437805,-8.233771324157715,-12.640021324157715,-2.8587710857391357,-11.796271324157715,-3.9837710857391357
circuit,1,random11,control_to_uncertain,patched,-6.718584060668945,-7.781084060668945,-9.312334060668945,-5.093584060668945,-10.187334060668945,-0.40608417987823486,-9.281084060668945,-13.718584060668945,-3.9060840606689453,-13.249834060668945,-4.343584060668945
circuit,1,random12,control_to_uncertain,patched,-7.071278095245361,-5.633778095245361,-9.071277618408203,-3.8212780952453613,-8.258777618408203,-0.44627803564071655,-8.383777618408203,-12.133777618408203,-3.6337780952453613,-11.352527618408203,-4.258778095245361
circuit,1,random13,control_to_uncertain,patched,-6.813790798187256,-7.626290798187256,-9.032541275024414,-4.938790798187256,-8.751291275024414,-0.8762907981872559,-9.157541275024414,-13.391916275024414,-3.938790798187256,-12.641916275024414,-4.126290798187256
circuit,1,random14,control_to_uncertain,patched,-6.339216709136963,-7.151716709136963,-8.901717185974121,-4.089216709136963,-9.182967185974121,-0.5892168283462524,-8.932967185974121,-13.979842185974121,-3.401716709136963,-13.057967185974121,-4.589216709136963
circuit,1,random15,control_to_uncertain,patched,-6.651019096374512,-5.776019096374512,-7.651019096374512,-3.1510188579559326,-6.838519096374512,-0.4635189175605774,-7.901019096374512,-13.822894096374512,-6.213519096374512,-12.432269096374512,-7.838519096374512
circuit,1,random16,control_to_uncertain,patched,-6.429938793182373,-6.242438793182373,-8.179939270019531,-3.179939031600952,-8.117439270019531,-0.36743900179862976,-8.304939270019531,-13.164314270019531,-3.804939031600952,-12.336189270019531,-6.054938793182373
circuit,1,random17,control_to_uncertain,patched,-7.492369651794434,-5.742369651794434,-8.961119651794434,-4.054869651794434,-8.398619651794434,-0.4923695921897888,-8.711119651794434,-11.804869651794434,-3.6173696517944336,-11.336119651794434,-4.429869651794434
circuit,1,random18,control_to_uncertain,patched,-7.282777309417725,-5.907777309417725,-8.907777786254883,-3.7827775478363037,-8.439027786254883,-0.47027748823165894,-8.782777786254883,-13.079652786254883,-3.4702775478363037,-11.970277786254883,-4.345277309417725
circuit,1,random19,control_to_uncertain,patched,-5.9832963943481445,-7.7332963943481445,-8.858296394348145,-4.2332963943481445,-9.670796394348145,-0.6707963943481445,-9.202046394348145,-13.373921394348145,-3.8582963943481445,-12.670796394348145,-4.6082963943481445
