pair,layer,direction,logodds_rec,entropy_rec
2,23,control_to_uncertain,1.0,1.0
2,24,control_to_uncertain,1.0,1.0
2,25,control_to_uncertain,1.0,1.0
2,26,control_to_uncertain,1.0,1.0
2,27,control_to_uncertain,1.0,1.0
2,28,control_to_uncertain,1.0,1.0
2,29,control_to_uncertain,1.0,1.0
2,30,control_to_uncertain,1.0,1.0
2,31,control_to_uncertain,1.0,1.0
2,0,uncertain_to_control,1.0,1.0
2,1,uncertain_to_control,1.0,1.0
2,2,uncertain_to_control,1.0,1.0
2,3,uncertain_to_control,1.0,1.0
2,4,uncertain_to_control,1.0,1.0
2,5,uncertain_to_control,1.0,1.0
2,6,uncertain_to_control,1.0,1.0
2,7,uncertain_to_control,1.0,1.0
2,8,uncertain_to_control,1.0,1.0
2,9,uncertain_to_control,1.0,1.0
2,10,uncertain_to_control,1.0,1.0
2,11,uncertain_to_control,1.0,1.0
2,12,uncertain_to_control,1.0,1.0
2,13,uncertain_to_control,1.0,1.0
2,14,uncertain_to_control,1.0,1.0
2,15,uncertain_to_control,1.0,1.0
2,16,uncertain_to_control,1.0,1.0
2,17,uncertain_to_control,1.0,1.0
2,18,uncertain_to_control,1.0,1.0
2,19,uncertain_to_control,1.0,1.0
2,20,uncertain_to_control,1.0,1.0
2,21,uncertain_to_control,1.0,1.0
2,22,uncertain_to_control,1.0,1.0
2,23,uncertain_to_control,1.0,1.0
2,24,uncertain_to_control,1.0,1.0
2,25,uncertain_to_control,1.0,1.0
2,26,uncertain_to_control,1.0,1.0
2,27,uncertain_to_control,1.0,1.0
2,28,uncertain_to_control,1.0,1.0
2,29,uncertain_to_control,1.0,1.0
2,30,uncertain_to_control,1.0,1.0
2,31,uncertain_to_control,1.0,1.0
3,0,control_to_uncertain,1.0,1.0
3,1,control_to_uncertain,1.0,1.0
3,2,control_to_uncertain,1.0,1.0
3,3,control_to_uncertain,1.0,1.0
3,4,control_to_uncertain,1.0,1.0
3,5,control_to_uncertain,1.0,1.0
3,6,control_to_uncertain,1.0,1.0
3,7,control_to_uncertain,1.0,1.0
3,8,control_to_uncertain,1.0,1.0
3,9,control_to_uncertain,1.0,1.0
3,10,control_to_uncertain,1.0,1.0
3,11,control_to_uncertain,1.0,1.0
3,12,control_to_uncertain,1.0,1.0
3,13,control_to_uncertain,1.0,1.0
3,14,control_to_uncertain,1.0,1.0
3,15,control_to_uncertain,1.0,1.0
3,16,control_to_uncertain,1.0,1.0
3,17,control_to_uncertain,1.0,1.0
3,18,control_to_uncertain,1.0,1.0
3,19,control_to_uncertain,1.0,1.0
3,20,control_to_uncertain,1.0,1.0
3,21,control_to_uncertain,1.0,1.0
3,22,control_to_uncertain,1.0,1.0
3,23,control_to_uncertain,1.0,1.0
3,24,control_to_uncertain,1.0,1.0
3,25,control_to_uncertain,1.0,1.0
3,26,control_to_uncertain,1.0,1.0
3,27,control_to_uncertain,1.0,1.0
3,28,control_to_uncertain,1.0,1.0
3,29,control_to_uncertain,1.0,1.0
3,30,control_to_uncertain,1.0,1.0
3,31,control_to_uncertain,1.0,1.0
3,0,uncertain_to_control,1.0,1.0
3,1,uncertain_to_control,1.0,1.0
3,2,uncertain_to_control,1.0,1.0
3,3,uncertain_to_control,1.0,1.0
3,4,uncertain_to_control,1.0,1.0
3,5,uncertain_to_control,1.0,1.0
3,6,uncertain_to_control,1.0,1.0
3,7,uncertain_to_control,1.0,1.0
3,8,uncertain_to_control,1.0,1.0
3,9,uncertain_to_control,1.0,1.0
3,10,uncertain_to_control,1.0,1.0
3,11,uncertain_to_control,1.0,1.0
3,12,uncertain_to_control,1.0,1.0
3,13,uncertain_to_control,1.0,1.0
3,14,uncertain_to_control,1.0,1.0
3,15,uncertain_to_control,1.0,1.0
3,16,uncertain_to_control,1.0,1.0
3,17,uncertain_to_control,1.0,1.0
3,18,uncertain_to_control,1.0,1.0
3,19,uncertain_to_control,1.0,1.0
3,20,uncertain_to_control,1.0,1.0
3,21,uncertain_to_control,1.0,1.0
3,22,uncertain_to_control,1.0,1.0
3,23,uncertain_to_control,1.0,1.0
3,24,uncertain_to_control,1.0,1.0
3,25,uncertain_to_control,1.0,1.0
3,26,uncertain_to_control,1.0,1.0
3,27,uncertain_to_control,1.0,1.0
3,28,uncertain_to_control,1.0,1.0
3,29,uncertain_to_control,1.0,1.0
3,30,uncertain_to_control,1.0,1.0
3,31,uncertain_to_control,1.0,1.0
4,0,control_to_uncertain,1.0,1.0
4,1,control_to_uncertain,1.0,1.0
4,2,control_to_uncertain,1.0,1.0
4,3,control_to_uncertain,1.0,1.0
4,4,control_to_uncertain,1.0,1.0
4,5,control_to_uncertain,1.0,1.0
4,6,control_to_uncertain,1.0,1.0
4,7,control_to_uncertain,1.0,1.0
4,8,control_to_uncertain,1.0,1.0
4,9,control_to_uncertain,1.0,1.0
4,10,control_to_uncertain,1.0,1.0
4,11,control_to_uncertain,1.0,1.0
4,12,control_to_uncertain,1.0,1.0
4,13,control_to_uncertain,1.0,1.0
4,14,control_to_uncertain,1.0,1.0
4,15,control_to_uncertain,1.0,1.0
4,16,control_to_uncertain,1.0,1.0
4,17,control_to_uncertain,1.0,1.0
4,18,control_to_uncertain,1.0,1.0
4,19,control_to_uncertain,1.0,1.0
4,20,control_to_uncertain,1.0,1.0
4,21,control_to_uncertain,1.0,1.0
4,22,control_to_uncertain,1.0,1.0
4,23,control_to_uncertain,1.0,1.0
4,24,control_to_uncertain,1.0,1.0
4,25,control_to_uncertain,1.0,1.0
4,26,control_to_uncertain,1.0,1.0
4,27,control_to_uncertain,1.0,1.0
4,28,control_to_uncertain,1.0,1.0
4,29,control_to_uncertain,1.0,1.0
4,30,control_to_uncertain,1.0,1.0
4,31,control_to_uncertain,1.0,1.0
4,0,uncertain_to_control,1.0,1.0
4,1,uncertain_to_control,1.0,1.0
4,2,uncertain_to_control,1.0,1.0
4,3,uncertain_to_control,1.0,1.0
4,4,uncertain_to_control,1.0,1.0
4,5,uncertain_to_control,1.0,1.0
4,6,uncertain_to_control,1.0,1.0
4,7,uncertain_to_control,1.0,1.0
4,8,uncertain_to_control,1.0,1.0
4,9,uncertain_to_control,1.0,1.0
4,10,uncertain_to_control,1.0,1.0
4,11,uncertain_to_control,1.0,1.0
4,12,uncertain_to_control,1.0,1.0
4,13,uncertain_to_control,1.0,1.0
4,14,uncertain_to_control,1.0,1.0
4,15,uncertain_to_control,1.0,1.0
4,16,uncertain_to_control,1.0,1.0
4,17,uncertain_to_control,1.0,1.0
4,18,uncertain_to_control,1.0,1.0
4,19,uncertain_to_control,1.0,1.0
4,20,uncertain_to_control,1.0,1.0
4,21,uncertain_to_control,1.0,1.0
4,22,uncertain_to_control,1.0,1.0
4,23,uncertain_to_control,1.0,1.0
4,24,uncertain_to_control,1.0,1.0
4,25,uncertain_to_control,1.0,1.0
4,26,uncertain_to_control,1.0,1.0
4,27,uncertain_to_control,1.0,1.0
4,28,uncertain_to_control,1.0,1.0
4,29,uncertain_to_control,1.0,1.0
4,30,uncertain_to_control,1.0,1.0
4,31,uncertain_to_control,1.0,1.0
5,0,control_to_uncertain,1.0,1.0
5,1,control_to_uncertain,1.0,1.0
5,2,control_to_uncertain,1.0,1.0
5,3,control_to_uncertain,1.0,1.0
5,4,control_to_uncertain,1.0,1.0
5,5,control_to_uncertain,1.0,1.0
5,6,control_to_uncertain,1.0,1.0
5,7,control_to_uncertain,1.0,1.0
5,8,control_to_uncertain,1.0,1.0
5,9,control_to_uncertain,1.0,1.0
5,10,control_to_uncertain,1.0,1.0
5,11,control_to_uncertain,1.0,1.0
5,12,control_to_uncertain,1.0,1.0
5,13,control_to_uncertain,1.0,1.0
5,14,control_to_uncertain,1.0,1.0
5,15,control_to_uncertain,1.0,1.0
5,16,control_to_uncertain,1.0,1.0
5,17,control_to_uncertain,1.0,1.0
5,18,control_to_uncertain,1.0,1.0
5,19,control_to_uncertain,1.0,1.0
5,20,control_to_uncertain,1.0,1.0
5,21,control_to_uncertain,1.0,1.0
5,22,control_to_uncertain,1.0,1.0
5,23,control_to_uncertain,1.0,1.0
5,24,control_to_uncertain,1.0,1.0
5,25,control_to_uncertain,1.0,1.0
5,26,control_to_uncertain,1.0,1.0
5,27,control_to_uncertain,1.0,1.0
5,28,control_to_uncertain,1.0,1.0
5,29,control_to_uncertain,1.0,1.0
5,30,control_to_uncertain,1.0,1.0
5,31,control_to_uncertain,1.0,1.0
5,0,uncertain_to_control,1.0,1.0
5,1,uncertain_to_control,1.0,1.0
5,2,uncertain_to_control,1.0,1.0
5,3,uncertain_to_control,1.0,1.0
5,4,uncertain_to_control,1.0,1.0
5,5,uncertain_to_control,1.0,1.0
5,6,uncertain_to_control,1.0,1.0
5,7,uncertain_to_control,1.0,1.0
5,8,uncertain_to_control,1.0,1.0
5,9,uncertain_to_control,1.0,1.0
5,10,uncertain_to_control,1.0,1.0
5,11,uncertain_to_control,1.0,1.0
5,12,uncertain_to_control,1.0,1.0
5,13,uncertain_to_control,1.0,1.0
5,14,uncertain_to_control,1.0,1.0
5,15,uncertain_to_control,1.0,1.0
5,16,uncertain_to_control,1.0,1.0
5,17,uncertain_to_control,1.0,1.0
5,18,uncertain_to_control,1.0,1.0
5,19,uncertain_to_control,1.0,1.0
5,20,uncertain_to_control,1.0,1.0
5,21,uncertain_to_control,1.0,1.0
5,22,uncertain_to_control,1.0,1.0
5,23,uncertain_to_control,1.0,1.0
5,24,uncertain_to_control,1.0,1.0
5,25,uncertain_to_control,1.0,1.0
5,26,uncertain_to_control,1.0,1.0
5,27,uncertain_to_control,1.0,1.0
5,28,uncertain_to_control,1.0,1.0
5,29,uncertain_to_control,1.0,1.0
5,30,uncertain_to_control,1.0,1.0
5,31,uncertain_to_control,1.0,1.0
6,0,control_to_uncertain,1.0,1.0
6,1,control_to_uncertain,1.0,1.0
