kind,layer,index,drop_recovery,marginal
head,21,9,0.7821489023400803,0.0371928967751991
head,13,11,0.7907514852035069,0.02859031391177247
head,15,4,0.7962459505976072,0.023095848517672213
head,15,11,0.7963388939575899,0.023002905157689435
head,13,30,0.7989599553053621,0.020381843809917255
head,8,16,0.8000150539717097,0.01932674514356969
head,15,7,0.803215288049023,0.0161265110662564
head,31,26,0.8040897145303019,0.01525208458497751
head,17,20,0.8043198801067265,0.015021919008552875
head,14,2,0.8047766364999136,0.014565162615365779
head,8,19,0.8048918221414685,0.014449976973810896
head,16,4,0.8051240211159396,0.014217777999339765
neuron,17,5607,0.8068307388544109,0.012511060260868456
neuron,15,5812,0.8083167457979412,0.011025053317338163
neuron,16,830,0.8085786887999707,0.010763110315308633
neuron,13,13999,0.8086406312305815,0.010701167884697882
neuron,16,6443,0.8092024121781428,0.010139386937136563
head,12,22,0.8099916050477123,0.009350194067567097
neuron,17,11316,0.8104212723803509,0.008920526734928491
head,12,28,0.8105953067800575,0.008746492335221845
neuron,13,2212,0.8108422490200518,0.008499550095227626
neuron,26,6522,0.8112329112048853,0.008108887910394103
neuron,14,3405,0.8112998939949153,0.008041905120364068
neuron,16,8505,0.8113749945935581,0.007966804521721271
neuron,13,2158,0.8114731494126417,0.007868649702637676
neuron,21,4937,0.8116197801788059,0.007722018936473507
neuron,16,12347,0.811653323136383,0.007688475978896325
neuron,12,678,0.8119243324611091,0.007417466654170313
neuron,12,4302,0.8121180698566198,0.00722372925865955
neuron,15,11966,0.8124557088451786,0.0068860902701007864
neuron,18,2351,0.812540587986763,0.006801211128516393
neuron,16,9686,0.8126031511105818,0.006738648004697589
neuron,16,6901,0.8128406597780945,0.00650113933718488
neuron,22,3334,0.8131760307920065,0.006165768323272869
neuron,14,1049,0.8134013749171832,0.00594042419809615
neuron,16,3669,0.813565219378766,0.005776579736513354
neuron,18,2546,0.8135815050203399,0.0057602940949395
neuron,14,4589,0.8135909543066211,0.005750844808658284
neuron,16,9160,0.813678376442309,0.005663422672970375
