pair,uncertain_id,split,layer,group,n_pos,direction,logodds_rec,entropy_rec
0,fam_0000_u,working,3,last,1,uncertain_to_control,-0.27658252712470177,0.005158065144012799
0,fam_0000_u,working,4,last,1,control_to_uncertain,0.5049777860110958,-0.04205763597780109
0,fam_0000_u,working,4,last,1,uncertain_to_control,-0.5762478001603367,0.06426722480428787
0,fam_0000_u,working,5,last,1,control_to_uncertain,0.4569182761561335,-0.029509924468645705
0,fam_0000_u,working,5,last,1,uncertain_to_control,-0.49771951285728433,0.06611930963107847
0,fam_0000_u,working,6,last,1,control_to_uncertain,0.09427450805037513,-0.042611303117626675
0,fam_0000_u,working,6,last,1,uncertain_to_control,-0.9773468416530657,0.12313626917361767
0,fam_0000_u,working,7,last,1,control_to_uncertain,1.0769536652283203,-0.046640373906314536
0,fam_0000_u,working,7,last,1,uncertain_to_control,-1.0,0.16862658207566428
0,fam_0000_u,working,8,last,1,control_to_uncertain,0.7797142044964563,-0.03565634183278659
0,fam_0000_u,working,8,last,1,uncertain_to_control,-1.0,0.22942522763849393
0,fam_0000_u,working,9,last,1,control_to_uncertain,1.6005618174907614,-0.05248176993083018
0,fam_0000_u,working,9,last,1,uncertain_to_control,-1.0,0.10179642139944266
0,fam_0000_u,working,10,last,1,control_to_uncertain,1.4983471259154686,-0.008277709467767434
0,fam_0000_u,working,10,last,1,uncertain_to_control,-1.0,0.09914113349252994
0,fam_0000_u,working,11,last,1,control_to_uncertain,0.6290982493907522,0.051191363504730795
0,fam_0000_u,working,11,last,1,uncertain_to_control,-1.0,0.17408380847033578
0,fam_0000_u,working,12,last,1,control_to_uncertain,0.01895615012887627,-0.01718059399642045
0,fam_0000_u,working,12,last,1,uncertain_to_control,-1.0,0.5356180658086508
0,fam_0000_u,working,13,last,1,control_to_uncertain,1.446077977329275,-0.08578903204979088
0,fam_0000_u,working,13,last,1,uncertain_to_control,-1.0,0.5501404047645045
0,fam_0000_u,working,14,last,1,control_to_uncertain,2.0,-0.20975632118153636
0,fam_0000_u,working,14,last,1,uncertain_to_control,-1.0,0.5713512564030744
0,fam_0000_u,working,15,last,1,control_to_uncertain,2.0,-0.2793354570097939
0,fam_0000_u,working,15,last,1,uncertain_to_control,-1.0,0.827323503021729
0,fam_0000_u,working,16,last,1,control_to_uncertain,2.0,-0.5089098572927397
0,fam_0000_u,working,16,last,1,uncertain_to_control,-1.0,0.793831685189493
0,fam_0000_u,working,17,last,1,control_to_uncertain,2.0,-0.3535280405998832
0,fam_0000_u,working,17,last,1,uncertain_to_control,-1.0,0.8677259234906785
0,fam_0000_u,working,18,last,1,control_to_uncertain,2.0,0.1944798852075332
0,fam_0000_u,working,18,last,1,uncertain_to_control,-1.0,0.9132306269909467
0,fam_0000_u,working,19,last,1,control_to_uncertain,2.0,0.25065736846103087
0,fam_0000_u,working,19,last,1,uncertain_to_control,-1.0,0.9388408476982164
0,fam_0000_u,working,20,last,1,control_to_uncertain,2.0,0.2884068747299908
0,fam_0000_u,working,20,last,1,uncertain_to_control,-1.0,0.8990058915405833
0,fam_0000_u,working,21,last,1,control_to_uncertain,2.0,0.27094084247606115
0,fam_0000_u,working,21,last,1,uncertain_to_control,-1.0,0.9160980649541163
0,fam_0000_u,working,22,last,1,control_to_uncertain,2.0,0.5388442302305819
0,fam_0000_u,working,22,last,1,uncertain_to_control,-1.0,0.876782802255971
0,fam_0000_u,working,23,last,1,control_to_uncertain,2.0,0.5969000574437076
0,fam_0000_u,working,23,last,1,uncertain_to_control,-1.0,0.7763742576231598
0,fam_0000_u,working,24,last,1,control_to_uncertain,2.0,0.5162768050854297
0,fam_0000_u,working,24,last,1,uncertain_to_control,-1.0,0.8085479263296319
0,fam_0000_u,working,25,last,1,control_to_uncertain,2.0,0.5639283781410077
0,fam_0000_u,working,25,last,1,uncertain_to_control,-1.0,0.8468524349485618
0,fam_0000_u,working,26,last,1,control_to_uncertain,2.0,0.4800685763930099
0,fam_0000_u,working,26,last,1,uncertain_to_control,-1.0,0.7687825494561837
0,fam_0000_u,working,27,last,1,control_to_uncertain,2.0,0.46820538261781897
0,fam_0000_u,working,27,last,1,uncertain_to_control,-1.0,0.7914131745481648
0,fam_0000_u,working,28,last,1,control_to_uncertain,2.0,0.432823500648022
0,fam_0000_u,working,28,last,1,uncertain_to_control,-1.0,0.7407555983877783
0,fam_0000_u,working,29,last,1,control_to_uncertain,2.0,0.6942692187181033
0,fam_0000_u,working,29,last,1,uncertain_to_control,-1.0,0.822699818648791
0,fam_0000_u,working,30,last,1,control_to_uncertain,2.0,0.8367429655195332
0,fam_0000_u,working,30,last,1,uncertain_to_control,-0.5400091347244091,0.8649728685298683
0,fam_0000_u,working,31,last,1,control_to_uncertain,1.0,1.0
0,fam_0000_u,working,31,last,1,uncertain_to_control,1.0,1.0
0,fam_0000_u,working,0,suffix-1,1,control_to_uncertain,0.2585270735984107,0.0026897066572984366
0,fam_0000_u,working,0,suffix-1,1,uncertain_to_control,0.2744218134663724,-0.03628611595083578
0,fam_0000_u,working,1,suffix-1,1,control_to_uncertain,-0.08801115330686606,0.03351466476137124
0,fam_0000_u,working,1,suffix-1,1,uncertain_to_control,0.5361636073857121,-0.03518367744171363
0,fam_0000_u,working,2,suffix-1,1,control_to_uncertain,-0.20305438354983055,0.02007132395877346
0,fam_0000_u,working,2,suffix-1,1,uncertain_to_control,0.2599946980270912,-0.04096943971021786
0,fam_0000_u,working,3,suffix-1,1,control_to_uncertain,-0.4606663877275297,-0.019044992427874916
0,fam_0000_u,working,3,suffix-1,1,uncertain_to_control,-0.4894886790102558,0.034013291571916196
0,fam_0000_u,working,4,suffix-1,1,control_to_uncertain,-0.6559546585497507,-0.008136177192474399
0,fam_0000_u,working,4,suffix-1,1,uncertain_to_control,-0.753135669821234,0.012627008156056987
0,fam_0000_u,working,5,suffix-1,1,control_to_uncertain,-0.530671593881651,-0.0540107339027065
0,fam_0000_u,working,5,suffix-1,1,uncertain_to_control,-1.0,0.06742885406924577
0,fam_0000_u,working,6,suffix-1,1,control_to_uncertain,-0.17271017052550217,-0.08953563171462346
0,fam_0000_u,working,6,suffix-1,1,uncertain_to_control,-1.0,0.18675421095608166
0,fam_0000_u,working,7,suffix-1,1,control_to_uncertain,0.24619200168641067,-0.04336970247957425
0,fam_0000_u,working,7,suffix-1,1,uncertain_to_control,-1.0,0.15975700362227677
0,fam_0000_u,working,8,suffix-1,1,control_to_uncertain,0.9573670274776342,-0.04780171001846744
0,fam_0000_u,working,8,suffix-1,1,uncertain_to_control,-1.0,0.15638990035178338
0,fam_0000_u,working,9,suffix-1,1,control_to_uncertain,0.975978229971478,-0.04705903646488575
0,fam_0000_u,working,9,suffix-1,1,uncertain_to_control,-1.0,0.172455148807687
0,fam_0000_u,working,10,suffix-1,1,control_to_uncertain,1.1317236841685006,-0.0012601416628291737
0,fam_0000_u,working,10,suffix-1,1,uncertain_to_control,-0.6303438936283701,0.0990562734700272
0,fam_0000_u,working,11,suffix-1,1,control_to_uncertain,1.5397759756748037,-0.07477265821943496
0,fam_0000_u,working,11,suffix-1,1,uncertain_to_control,-1.0,0.18612132134769585
0,fam_0000_u,working,12,suffix-1,1,control_to_uncertain,2.0,-0.08436703324613917
0,fam_0000_u,working,12,suffix-1,1,uncertain_to_control,-1.0,0.2971451575191914
0,fam_0000_u,working,13,suffix-1,1,control_to_uncertain,2.0,-0.07881211397591162
0,fam_0000_u,working,13,suffix-1,1,uncertain_to_control,-1.0,0.38710323488779486
0,fam_0000_u,working,14,suffix-1,1,control_to_uncertain,2.0,-0.07758164364962186
0,fam_0000_u,working,14,suffix-1,1,uncertain_to_control,-1.0,0.4360380932487028
0,fam_0000_u,working,15,suffix-1,1,control_to_uncertain,0.8978348147982536,-0.10016538802987072
0,fam_0000_u,working,15,suffix-1,1,uncertain_to_control,-1.0,0.33709575771098693
0,fam_0000_u,working,16,suffix-1,1,control_to_uncertain,1.0370994375437173,-0.0827586984490199
0,fam_0000_u,working,16,suffix-1,1,uncertain_to_control,-1.0,0.22033660054310414
0,fam_0000_u,working,17,suffix-1,1,control_to_uncertain,0.9395830605159522,-0.06715098200255411
0,fam_0000_u,working,17,suffix-1,1,uncertain_to_control,-1.0,0.27254264957914176
0,fam_0000_u,working,18,suffix-1,1,control_to_uncertain,1.6865128668661826,-0.03540561903902849
