rand,layer,norm,cos_real,max_abs_proj_err,span_frac_real
0,13,1.0,0.014028143137693405,2.60770320892334e-08,0.0018571983091533184
0,14,0.9999999403953552,0.0034434664994478226,5.122274160385132e-09,0.001600078889168799
0,15,1.0,0.0017923815175890923,7.450580596923828e-09,0.0015704488614574075
0,16,1.0,-0.0030502909794449806,1.5832483768463135e-08,0.0021563577465713024
0,17,1.0,0.006141307298094034,2.2351741790771484e-08,0.008380256593227386
0,18,1.0,0.03744961693882942,1.1175870895385742e-08,0.005019784905016422
0,19,1.0,0.01676606945693493,9.313225746154785e-09,0.010334452614188194
1,13,1.0,-0.007820673286914825,2.421438694000244e-08,0.0018571983091533184
1,14,1.0,0.03359276056289673,1.1175870895385742e-08,0.001600078889168799
1,15,1.0,0.0293342974036932,1.3737007975578308e-08,0.0015704488614574075
1,16,1.0,-0.019725624471902847,1.5832483768463135e-08,0.0021563577465713024
1,17,1.0,0.03428295999765396,1.6763806343078613e-08,0.008380256593227386
1,18,0.9999999403953552,0.015878036618232727,2.9802322387695312e-08,0.005019784905016422
1,19,1.0,0.01774107851088047,2.0489096641540527e-08,0.010334452614188194
2,13,1.0000001192092896,-0.012477601878345013,1.862645149230957e-08,0.0018571983091533184
2,14,1.0,0.003150428645312786,1.4901161193847656e-08,0.001600078889168799
2,15,1.0,-0.004939940758049488,2.1187588572502136e-08,0.0015704488614574075
2,16,1.0,0.026485618203878403,1.30385160446167e-08,0.0021563577465713024
2,17,1.0,-0.008389354683458805,2.2351741790771484e-08,0.008380256593227386
2,18,1.0,-0.006091900635510683,1.4901161193847656e-08,0.005019784905016422
2,19,1.0,-0.0284721702337265,1.1175870895385742e-08,0.010334452614188194
3,13,1.0,-0.0008960962295532227,2.421438694000244e-08,0.0018571983091533184
3,14,1.0,0.013176231645047665,2.0489096641540527e-08,0.001600078889168799
3,15,0.9999998807907104,-0.005898620933294296,1.6996636986732483e-08,0.0015704488614574075
3,16,1.0,0.013767527416348457,1.1641532182693481e-08,0.0021563577465713024
3,17,1.0,-0.017691250890493393,2.514570951461792e-08,0.008380256593227386
3,18,1.0,-0.0005638487637042999,5.587935447692871e-09,0.005019784905016422
3,19,1.0,0.0050180209800601006,2.514570951461792e-08,0.010334452614188194
4,13,1.0,0.01932712271809578,2.0489096641540527e-08,0.0018571983091533184
4,14,1.0,-0.0062388284131884575,8.381903171539307e-09,0.001600078889168799
4,15,1.0,0.005098151043057442,1.5366822481155396e-08,0.0015704488614574075
4,16,1.0,0.0052368976175785065,1.210719347000122e-08,0.0021563577465713024
4,17,1.0,0.02708646096289158,2.9802322387695312e-08,0.008380256593227386
4,18,0.9999999403953552,0.010266915895044804,1.6763806343078613e-08,0.005019784905016422
4,19,1.0,-0.010120340622961521,1.1175870895385742e-08,0.010334452614188194
5,13,1.0,0.0003139886539429426,3.166496753692627e-08,0.0018571983091533184
5,14,1.0000001192092896,-0.022346826270222664,8.847564458847046e-09,0.001600078889168799
5,15,1.0,0.02186439000070095,2.0256265997886658e-08,0.0015704488614574075
5,16,1.0,0.011479523032903671,1.4435499906539917e-08,0.0021563577465713024
5,17,1.0,0.012368258088827133,2.1420419216156006e-08,0.008380256593227386
5,18,1.0,0.032620351761579514,1.862645149230957e-08,0.005019784905016422
5,19,1.0,0.019041182473301888,1.4901161193847656e-08,0.010334452614188194
6,13,1.0,-0.001363994088023901,1.6763806343078613e-08,0.0018571983091533184
6,14,1.0,0.029841650277376175,1.7695128917694092e-08,0.001600078889168799
6,15,1.0,0.006622864864766598,1.1175870895385742e-08,0.0015704488614574075
6,16,1.0,-0.0011737663298845291,1.210719347000122e-08,0.0021563577465713024
6,17,1.0,0.0021440330892801285,1.6763806343078613e-08,0.008380256593227386
6,18,1.0,0.01643579825758934,2.60770320892334e-08,0.005019784905016422
6,19,1.0,-0.011867078021168709,1.862645149230957e-08,0.010334452614188194
7,13,1.0,0.0034461808390915394,2.2351741790771484e-08,0.0018571983091533184
7,14,1.0,4.748860374093056e-05,1.3504177331924438e-08,0.001600078889168799
7,15,1.0,0.004741636570543051,2.584420144557953e-08,0.0015704488614574075
7,16,1.0,0.007000299170613289,1.4901161193847656e-08,0.0021563577465713024
7,17,1.0,0.011313595809042454,1.4901161193847656e-08,0.008380256593227386
7,18,1.0,-0.0011216322891414165,9.313225746154785e-09,0.005019784905016422
7,19,1.0,0.006178602110594511,2.2351741790771484e-08,0.010334452614188194
8,13,1.0,0.00715689267963171,2.9802322387695312e-08,0.0018571983091533184
8,14,1.0,0.008717365562915802,1.862645149230957e-08,0.001600078889168799
8,15,1.0,-0.0026820464991033077,1.0011717677116394e-08,0.0015704488614574075
8,16,1.0,0.004308828618377447,1.862645149230957e-08,0.0021563577465713024
8,17,1.0,0.041456930339336395,6.984919309616089e-09,0.008380256593227386
8,18,1.0,0.027011554688215256,9.313225746154785e-09,0.005019784905016422
8,19,1.0,0.029097333550453186,4.470348358154297e-08,0.010334452614188194
9,13,1.0,0.012231521308422089,2.0489096641540527e-08,0.0018571983091533184
9,14,0.9999999403953552,-0.014259972609579563,1.7695128917694092e-08,0.001600078889168799
9,15,1.0,-0.005721640773117542,1.1175870895385742e-08,0.0015704488614574075
9,16,1.0,0.04420590400695801,1.6298145055770874e-08,0.0021563577465713024
9,17,1.0,0.010551882907748222,1.4901161193847656e-08,0.008380256593227386
9,18,1.0,0.021911628544330597,1.1175870895385742e-08,0.005019784905016422
9,19,1.0,0.020377885550260544,2.9802322387695312e-08,0.010334452614188194
