cell,variant,dropped_token,direction,logodds_rec_mean,ci_lo,ci_hi,n_pairs,null_mean,null_sd,n_null_sets
circuit,full,,control_to_uncertain,0.9096801347458034,0.8259681106659769,1.0019144573678374,60,0.021722151241126163,0.02452406195623129,30
circuit,full,,uncertain_to_control,1.1143405196930962,1.0436024501687735,1.188790189830137,60,,,0
circuit,minusnot, not,control_to_uncertain,0.8014463865989531,0.7124640385386974,0.8886480421083842,60,0.01826708009692567,0.02956708819519001,30
circuit,minusnot, not,uncertain_to_control,1.0582817516998237,0.9748927158227993,1.1414506625116638,60,,,0
circuit,minusI, I,control_to_uncertain,0.9194607654740415,0.8083777156533197,1.0262090638874026,60,0.01877016488686267,0.030356337307840094,30
circuit,minusI, I,uncertain_to_control,1.1246036523487002,1.053226530832019,1.2004403990644814,60,,,0
circuit,minusunknown, unknown,control_to_uncertain,0.9052305277390633,0.8191929658818572,0.9995397607676924,60,0.022280509406487414,0.02427758518588888,30
circuit,minusunknown, unknown,uncertain_to_control,1.1082844535896297,1.0423016026001422,1.177985870640085,60,,,0
circuit,minusunclear, unclear,control_to_uncertain,0.9099855808430313,0.8244277804787566,1.000614547223824,60,0.02248904246285572,0.024878429344847665,30
circuit,minusunclear, unclear,uncertain_to_control,1.1187207356883662,1.0486808349398338,1.194884998962976,60,,,0
circuit,minusno, no,control_to_uncertain,0.9086504868140278,0.823526621704262,0.9979750955674705,60,0.021750499311064,0.024898547570116447,30
circuit,minusno, no,uncertain_to_control,1.1099257148217192,1.0402429424639494,1.1850662494532842,60,,,0
direction,full,,control_to_uncertain,0.5457074211957491,0.4675796335748855,0.6274767703292604,60,-0.0016289516842829914,0.006534521099701602,10
direction,full,,uncertain_to_control,0.9629087564006977,0.8896408437054629,1.042306036681229,60,,,0
direction,minusnot, not,control_to_uncertain,0.6981985251272333,0.6064763844856671,0.8002943974426046,60,-0.0019472214870485175,0.0036549985395159623,10
direction,minusnot, not,uncertain_to_control,0.9370039969049261,0.8348782358865997,1.0317458154224215,60,,,0
direction,minusI, I,control_to_uncertain,0.537159063752322,0.45241191679653053,0.6269400783105963,60,-0.004161957126327505,0.008467584941083156,10
direction,minusI, I,uncertain_to_control,0.9675558922645784,0.8873019912128411,1.0505696983943125,60,,,0
direction,minusunknown, unknown,control_to_uncertain,0.5316813048949254,0.45532163476489157,0.6135779448705407,60,-0.0014553678780908391,0.0071269435052425095,10
direction,minusunknown, unknown,uncertain_to_control,0.9540468651639754,0.8799048195671964,1.0338106665889224,60,,,0
direction,minusunclear, unclear,control_to_uncertain,0.5454832277875966,0.46459532044394347,0.6330941633734223,60,-0.001552458875560585,0.006882412097505505,10
direction,minusunclear, unclear,uncertain_to_control,0.9707117360521332,0.8956926740840386,1.0516949604748325,60,,,0
direction,minusno, no,control_to_uncertain,0.5426721417868076,0.4624586768699134,0.6290294031273218,60,-0.0017089572238179192,0.006422541552444419,10
direction,minusno, no,uncertain_to_control,0.9629220595176099,0.8901097240751725,1.043866627539486,60,,,0
