k,n_heads,n_neurons,recovery
5,5,0,0.5103913592987357
10,10,0,0.8633138619996068
20,14,6,0.9615003481450561
40,14,26,0.9748669183017656
60,14,46,0.974233111578139
80,16,64,0.9815912681812716
100,16,84,0.9846965170862688
120,20,100,0.9096801067540807
