pair,layer,direction,logodds_rec,entropy_rec
0,0,control_to_uncertain,-0.046764827510809785,0.006093874798342983
0,1,control_to_uncertain,0.5264928122242098,-0.0392760092464115
0,2,control_to_uncertain,0.43043884013239514,-0.042490468318763165
0,3,control_to_uncertain,0.20527330659868398,-0.0435925336247711
0,4,control_to_uncertain,1.1551428286230812,-0.12693046335630948
0,5,control_to_uncertain,1.6682059951738202,-0.14918490474791307
0,6,control_to_uncertain,2.0,-0.17006054134906448
0,7,control_to_uncertain,-0.1237029443499947,0.017242755582706264
0,8,control_to_uncertain,0.9114489472241544,0.13297908131078753
0,9,control_to_uncertain,0.9659204520067624,0.06794214264169779
0,10,control_to_uncertain,0.7872630679990683,0.19181175517724214
0,11,control_to_uncertain,1.7877677095926268,0.2320039097224327
0,12,control_to_uncertain,1.7463362386534862,0.3593663516920294
0,13,control_to_uncertain,1.4044703164586043,0.5306237530876297
0,14,control_to_uncertain,1.4734723302716826,0.6971361680706673
0,15,control_to_uncertain,1.2170145815277411,0.9193512212282833
0,16,control_to_uncertain,0.7053282863892537,0.914275536228301
0,17,control_to_uncertain,0.46228719097634285,0.9654538278453868
0,18,control_to_uncertain,0.9382103206731934,0.9472346354703292
0,19,control_to_uncertain,1.1694901773137856,0.953647525149497
0,20,control_to_uncertain,1.1122788727083173,0.9635806379041332
0,21,control_to_uncertain,1.1082135370701633,0.9940993077091682
0,22,control_to_uncertain,1.1796248381898815,0.9986892715937736
0,23,control_to_uncertain,1.2961594952633406,0.9897853698002075
0,24,control_to_uncertain,1.1782641279840795,0.997989720809995
0,25,control_to_uncertain,1.18068323876915,0.9978274803760553
0,26,control_to_uncertain,1.0697853569962972,0.9967036912753431
0,27,control_to_uncertain,0.9381317328457508,0.9927477054417035
0,28,control_to_uncertain,0.9152519009222979,0.9894398531639662
0,29,control_to_uncertain,0.9192294590273806,0.9897486113557958
0,30,control_to_uncertain,1.000014259888044,1.0001780714104325
0,31,control_to_uncertain,1.0,1.0
0,0,uncertain_to_control,0.028899405996441366,-0.010449323629970413
0,1,uncertain_to_control,-0.14325134953996016,-0.028579900760354476
0,2,uncertain_to_control,-0.2913624689253273,-0.02660102869876368
0,3,uncertain_to_control,-0.14462093256498945,-0.04152358107722169
0,4,uncertain_to_control,0.3107536984604074,-0.0006838790726429297
0,5,uncertain_to_control,0.7454955390316902,0.006806867578258251
0,6,uncertain_to_control,2.0,0.10087942890042166
0,7,uncertain_to_control,2.0,0.2728090065502274
0,8,uncertain_to_control,2.0,0.6377206976683947
0,9,uncertain_to_control,2.0,0.6839226858683097
0,10,uncertain_to_control,2.0,0.6102056068617224
0,11,uncertain_to_control,2.0,0.45510438907675616
0,12,uncertain_to_control,2.0,0.7485230081169143
0,13,uncertain_to_control,2.0,0.6421915438071405
0,14,uncertain_to_control,2.0,0.7579199190085969
0,15,uncertain_to_control,2.0,0.6868005216819589
0,16,uncertain_to_control,2.0,0.7921057564781471
0,17,uncertain_to_control,2.0,0.8293857758223899
0,18,uncertain_to_control,2.0,0.8445452895697105
0,19,uncertain_to_control,2.0,0.7923114508721097
0,20,uncertain_to_control,1.1569563694958813,0.9758794273077681
0,21,uncertain_to_control,1.1222154795838013,0.9965677168840913
0,22,uncertain_to_control,0.9513889923170892,0.9881465802408748
0,23,uncertain_to_control,0.9879969769037347,1.0240055958456562
0,24,uncertain_to_control,0.905515249365831,1.014740684081913
0,25,uncertain_to_control,0.9150909226306008,1.0126757896156617
0,26,uncertain_to_control,0.9377254844796963,1.022204597705455
0,27,uncertain_to_control,1.0269321752191665,1.0074898037999873
0,28,uncertain_to_control,0.9307609551589898,1.008429392959327
0,29,uncertain_to_control,0.9954691582388088,0.9995467180525511
0,30,uncertain_to_control,1.000103938739521,1.0000753261432798
0,31,uncertain_to_control,1.0,1.0
1,0,control_to_uncertain,0.0028403231861252637,-0.004879052572673187
1,1,control_to_uncertain,0.08673346111556358,-0.008498320157951295
1,2,control_to_uncertain,0.1371767042120878,0.007738190308931444
1,3,control_to_uncertain,0.17697491524470765,0.020408003451480045
1,4,control_to_uncertain,0.15306215678923274,0.1597332643899236
1,5,control_to_uncertain,0.12179981974126401,0.17093757456192568
1,6,control_to_uncertain,0.20981518269070212,0.16978378567028563
1,7,control_to_uncertain,0.23656317501601318,-0.04389901980110451
1,8,control_to_uncertain,0.6347789091947224,-0.7095832103990536
1,9,control_to_uncertain,0.6161987848166792,-0.6123917302464006
1,10,control_to_uncertain,0.7025506077976565,-0.5293938402935674
1,11,control_to_uncertain,0.8473080909708016,-0.4621120817689056
1,12,control_to_uncertain,0.800791618913935,-0.5443061125417349
1,13,control_to_uncertain,0.9246984761859985,-0.6531067794330452
1,14,control_to_uncertain,0.9421033320238442,-0.6122536976625116
1,15,control_to_uncertain,0.8404712004073391,-0.46542229706064153
1,16,control_to_uncertain,0.765535016798379,-0.35053612338031104
1,17,control_to_uncertain,0.8890827137494666,-0.28497378313719285
1,18,control_to_uncertain,0.9855603979457581,0.3974277979728199
1,19,control_to_uncertain,1.077299625741374,0.13288545150468883
1,20,control_to_uncertain,1.0826684303167178,0.7459494964490297
1,21,control_to_uncertain,1.0668753124779615,0.8838609928699445
1,22,control_to_uncertain,0.9899928289110003,1.009040551979184
1,23,control_to_uncertain,1.0007975685670254,1.0085171190170863
1,24,control_to_uncertain,0.9908019090267749,1.0082314702336999
1,25,control_to_uncertain,1.0007767266050795,1.0080456384014729
1,26,control_to_uncertain,0.9851115687187355,1.0140404959509788
1,27,control_to_uncertain,0.9948908111425007,0.9979101241754956
1,28,control_to_uncertain,1.0096348027805115,0.9992784838632174
1,29,control_to_uncertain,0.9997023961712831,0.999273510840115
1,30,control_to_uncertain,1.0000163585166437,0.9998430616102425
1,31,control_to_uncertain,1.0,1.0
1,0,uncertain_to_control,-0.01981816115247325,0.007799607441320437
1,1,uncertain_to_control,-0.02494092152007699,-0.000126232794305557
1,2,uncertain_to_control,-0.07654998156940458,-0.0077001885696686015
1,3,uncertain_to_control,-0.07864350817719835,-0.015892237049145694
1,4,uncertain_to_control,-0.23960973668604565,-0.03168276181335696
1,5,uncertain_to_control,-0.3051514059478597,-0.03549247182336801
1,6,uncertain_to_control,-0.19893858673564224,-0.028644720016600986
1,7,uncertain_to_control,0.32813597005155476,0.048093054780505316
1,8,uncertain_to_control,1.0498194383285133,0.7923825477998722
1,9,uncertain_to_control,0.9031584296890355,1.1329423946987311
1,10,uncertain_to_control,0.9982552127322092,0.949695203592298
1,11,uncertain_to_control,0.9395172323037808,1.0136834780475135
1,12,uncertain_to_control,0.9688539901814971,1.0893560396141633
1,13,uncertain_to_control,1.072834174807351,0.934016717414278
1,14,uncertain_to_control,1.012661855404769,1.0304715484673743
1,15,uncertain_to_control,0.7833200566804426,1.2288278888751667
1,16,uncertain_to_control,0.9123960234506001,1.0801766826580157
1,17,uncertain_to_control,0.9570671336558667,1.0253123429851136
1,18,uncertain_to_control,0.9455880595915315,1.252909726511892
1,19,uncertain_to_control,1.0641532553084598,1.1143796739510186
1,20,uncertain_to_control,1.1200978069651413,0.9192981851151227
1,21,uncertain_to_control,1.1190193566086348,0.9494776977025334
1,22,uncertain_to_control,0.9902342079121419,1.0328613564056572
1,23,uncertain_to_control,1.0185045116788902,0.9939479556555589
1,24,uncertain_to_control,1.0235548098764726,0.9980710611847847
1,25,uncertain_to_control,1.002700609336569,1.009077163410913
1,26,uncertain_to_control,1.0124087225064835,1.0067545655530774
1,27,uncertain_to_control,1.0011105615188072,1.0091216532520013
1,28,uncertain_to_control,1.019815737668526,0.9638295690677631
1,29,uncertain_to_control,1.0144707438229634,0.9830705697645448
1,30,uncertain_to_control,1.0046821709860017,1.0006820824995895
1,31,uncertain_to_control,1.0,1.0
2,0,control_to_uncertain,0.004803048527574494,-0.020985442952662373
2,1,control_to_uncertain,-0.03882664040336876,-0.046765798293668934
2,2,control_to_uncertain,-0.0163351605268931,-0.07533736331189014
2,3,control_to_uncertain,-0.17836770788188816,-0.06507533525514748
2,4,control_to_uncertain,-0.6138411254185803,0.02869874326296266
2,5,control_to_uncertain,-0.4785647184037889,0.0040082658975279795
2,6,control_to_uncertain,-0.5095503042479477,0.06800043488420089
2,7,control_to_uncertain,-0.3332773854467021,0.6930314281277921
2,8,control_to_uncertain,0.3519389521473789,0.6137076549902037
2,9,control_to_uncertain,0.18960908173771512,0.43485993549275054
2,10,control_to_uncertain,0.3685005763586658,0.14657507825269656
2,11,control_to_uncertain,0.7292956614382233,0.30241515186807677
2,12,control_to_uncertain,0.7095939292844957,0.3021643233271963
2,13,control_to_uncertain,0.990752637453758,0.4379896561407452
2,14,control_to_uncertain,1.0140919246442806,0.6884494833684973
2,15,control_to_uncertain,0.9222146630941138,0.8336637199834496
2,16,control_to_uncertain,0.9227189814001311,1.0837869723097768
2,17,control_to_uncertain,0.8653531677538331,1.086520142930105
2,18,control_to_uncertain,0.8492309432133722,1.0669164511642208
2,19,control_to_uncertain,0.906475150728259,0.9933969279053808
2,20,control_to_uncertain,0.9238169437637849,0.9939933233142462
2,21,control_to_uncertain,0.9617831796317245,1.007518445685661
2,22,control_to_uncertain,0.9623093999249177,0.953531366840441
2,23,control_to_uncertain,0.9451318002180894,0.9879781709470937
2,24,control_to_uncertain,0.9810794745097731,0.9965774165942397
2,25,control_to_uncertain,0.9626500259280878,0.9950214191655119
2,26,control_to_uncertain,0.9815341196814764,0.9987651749653842
2,27,control_to_uncertain,0.9813016436868774,0.9923628517509961
2,28,control_to_uncertain,0.9626772244742539,0.9965257450543431
2,29,control_to_uncertain,0.9817001739633328,0.9981274767436122
2,30,control_to_uncertain,0.9815309703761308,0.9934255817318347
2,31,control_to_uncertain,1.0,1.0
2,0,uncertain_to_control,0.05238640401937252,0.013494403404315515
2,1,uncertain_to_control,0.12179723698558513,0.007087175480894889
2,2,uncertain_to_control,0.11968111851873854,0.0406259200362914
2,3,uncertain_to_control,0.22817540342422538,0.026662299467851976
2,4,uncertain_to_control,0.2766853704388306,0.026942900453035927
2,5,uncertain_to_control,0.6929149576615262,-0.11939356800759834
2,6,uncertain_to_control,1.1210299516832143,-0.17632648393585174
2,7,uncertain_to_control,1.031271456879389,0.8279803238562164
2,8,uncertain_to_control,0.7902027257953517,-0.16096889343181586
2,9,uncertain_to_control,0.9459865503189209,-0.08388373275376308
2,10,uncertain_to_control,0.907800650403129,0.0949920382374558
2,11,uncertain_to_control,0.8955933702827968,0.8131775678055587
2,12,uncertain_to_control,0.7678495290535944,0.6592061883316198
2,13,uncertain_to_control,0.8348860720897466,0.6947548310200818
2,14,uncertain_to_control,0.9372952548915333,0.8615937576649524
2,15,uncertain_to_control,0.9774645729989296,0.8815457698196818
2,16,uncertain_to_control,0.9637488471931995,0.6820355437379795
2,17,uncertain_to_control,0.985123468873948,0.7800831726790153
2,18,uncertain_to_control,1.0852003047668672,-0.4739497781027888
2,19,uncertain_to_control,1.1919632590586369,-0.05012573909985424
2,20,uncertain_to_control,1.027793979601806,-0.011363995709842404
2,21,uncertain_to_control,1.080268564170854,-0.28658881746131487
2,22,uncertain_to_control,0.985337979513053,0.94747538492178
2,23,uncertain_to_control,0.9799812974207547,0.9480345217515026
2,24,uncertain_to_control,0.9887046585025697,0.9937796242812181
2,25,uncertain_to_control,1.0006734503180976,1.0066292735665567
2,26,uncertain_to_control,1.0021846158581122,1.028511503844453
2,27,uncertain_to_control,1.0175364773659783,1.0415318714231387
2,28,uncertain_to_control,1.0002931001225008,1.039265551659945
2,29,uncertain_to_control,0.9953345188559289,1.0233341962466156
2,30,uncertain_to_control,0.9953524842114229,1.0093036307022567
2,31,uncertain_to_control,1.0,1.0
3,0,control_to_uncertain,-0.09326078333487961,0.06842206334129124
3,1,control_to_uncertain,-0.1565020012186177,0.05475989890480202
3,2,control_to_uncertain,-0.12946801488613743,0.058336278187286955
3,3,control_to_uncertain,-0.33533029324853886,0.1447776111824216
3,4,control_to_uncertain,-0.47484796003290575,0.07642219663888675
3,5,control_to_uncertain,-0.37327035941334175,0.032349480403095765
3,6,control_to_uncertain,-0.6515578190892882,0.23857410651053268
3,7,control_to_uncertain,-0.4874527476948558,0.1786584555987148
3,8,control_to_uncertain,-0.42133733434147397,0.20044649899619238
3,9,control_to_uncertain,-0.4800043627406174,0.23499580927703315
3,10,control_to_uncertain,-0.25551889260472593,0.3357923463205788
3,11,control_to_uncertain,0.35727381530756036,0.6446055949508022
3,12,control_to_uncertain,0.3849255993237752,0.8937655923423887
3,13,control_to_uncertain,0.7226421950758996,0.8015559017989901
3,14,control_to_uncertain,0.7698235885359387,0.6926376213763312
3,15,control_to_uncertain,0.7536111367871811,1.091571604723242
3,16,control_to_uncertain,0.9382450978761308,1.0794627783246602
3,17,control_to_uncertain,0.9358533076484983,1.0786975383458344
3,18,control_to_uncertain,0.9210175886700449,1.0650933994195322
3,19,control_to_uncertain,0.969268230862377,1.0265255322433937
3,20,control_to_uncertain,0.9586695493223776,1.0092088170365834
3,21,control_to_uncertain,0.9673380954202028,1.0100378663466245
3,22,control_to_uncertain,0.9899677544764822,1.0041583275754846
3,23,control_to_uncertain,0.9867617231933684,1.0060510155790365
3,24,control_to_uncertain,0.9941343089592068,1.0195440407104281
3,25,control_to_uncertain,1.0031254303361727,1.013417116226393
3,26,control_to_uncertain,0.9866454520401214,1.0270317064873256
3,27,control_to_uncertain,1.0011964953336339,1.0128996290682737
3,28,control_to_uncertain,1.0003400673995408,1.0103977518737182
3,29,control_to_uncertain,0.9984504039222135,1.0161241842115232
3,30,control_to_uncertain,1.003604577242031,1.0008349530030078
3,31,control_to_uncertain,1.0,1.0
3,0,uncertain_to_control,0.02266258540056184,-0.0128898145533164
3,1,uncertain_to_control,-0.1121951462109752,0.02384741333138981
3,2,uncertain_to_control,-0.08273652905226835,0.025997646194617367
3,3,uncertain_to_control,-0.1368960781122641,0.07846355581405273
3,4,uncertain_to_control,-0.21374050645176282,0.03633754487406014
3,5,uncertain_to_control,-0.2727367982937294,0.05840499477598093
3,6,uncertain_to_control,-0.12385450191444398,0.06971578123658932
3,7,uncertain_to_control,0.44247673333622584,-0.01169353755995395
3,8,uncertain_to_control,1.498116252975161,0.04474844933660472
3,9,uncertain_to_control,1.556030948705729,0.2654795428947347
3,10,uncertain_to_control,1.5184283775698197,0.317311569703854
3,11,uncertain_to_control,1.455410784440999,0.31722451270858315
3,12,uncertain_to_control,1.2254369042925493,0.5823852262151299
3,13,uncertain_to_control,1.3709636289084386,0.46246354094993236
3,14,uncertain_to_control,1.3485780020808764,0.3400948498699869
3,15,uncertain_to_control,1.2101667119118082,0.7141903561587085
