neuron_id,layer,neuron,score_last,score_all,abs_all
L17_N5607,17,5607,-0.08906882256269455,-0.4008081555366516,0.4008081555366516
L18_N6394,18,6394,-0.05099844932556152,-0.3098164200782776,0.3098164200782776
L18_N8429,18,8429,-0.046157222241163254,-0.2538306713104248,0.2538306713104248
L17_N11316,17,11316,-0.03252227231860161,-0.21280761063098907,0.21280761063098907
L16_N12347,16,12347,0.0035046786069869995,0.20218801498413086,0.20218801498413086
L21_N8761,21,8761,-0.10767672955989838,-0.19912481307983398,0.19912481307983398
L24_N10925,24,10925,-0.03324426710605621,-0.1954275667667389,0.1954275667667389
L18_N2351,18,2351,0.10803308337926865,0.18979033827781677,0.18979033827781677
L14_N1518,14,1518,-0.050312429666519165,-0.17785514891147614,0.17785514891147614
L17_N2810,17,2810,0.0292630847543478,0.16976065933704376,0.16976065933704376
L16_N1227,16,1227,0.010416252538561821,0.16793057322502136,0.16793057322502136
L16_N9086,16,9086,1.2180209523648955e-05,-0.1564846783876419,0.1564846783876419
L13_N2212,13,2212,0.0026432378217577934,-0.15421752631664276,0.15421752631664276
L17_N9172,17,9172,-0.014922171831130981,-0.1485034078359604,0.1485034078359604
L21_N6349,21,6349,-0.0019595748744904995,-0.1370287835597992,0.1370287835597992
L14_N4109,14,4109,0.11583448946475983,0.13518904149532318,0.13518904149532318
L15_N11966,15,11966,-0.02313670516014099,-0.1310136318206787,0.1310136318206787
L16_N6443,16,6443,0.045677147805690765,0.13042601943016052,0.13042601943016052
L20_N8953,20,8953,0.001742485910654068,0.12009456008672714,0.12009456008672714
L17_N8326,17,8326,-0.01037508063018322,-0.11973033100366592,0.11973033100366592
L20_N12078,20,12078,0.024576935917139053,0.11939388513565063,0.11939388513565063
L18_N7056,18,7056,0.04435053467750549,0.11868389695882797,0.11868389695882797
L19_N14030,19,14030,-0.09809396415948868,-0.1169784814119339,0.1169784814119339
L18_N2546,18,2546,-0.032555487006902695,-0.11266946792602539,0.11266946792602539
L20_N9082,20,9082,-0.030366813763976097,-0.11249002069234848,0.11249002069234848
L16_N9686,16,9686,-0.03814581036567688,-0.10736805200576782,0.10736805200576782
L20_N9424,20,9424,0.029336025938391685,0.10603795200586319,0.10603795200586319
L22_N3334,22,3334,0.028418922796845436,0.10504072904586792,0.10504072904586792
L22_N11208,22,11208,0.0029408917762339115,-0.09696805477142334,0.09696805477142334
