pair,arm,layer,group,pos,rank_unknown
1,uncertain,9,entity,36,44130
1,uncertain,9,readout,46,171
1,uncertain,10,entity,35,305
1,uncertain,10,entity,36,23832
1,uncertain,10,readout,46,224
1,uncertain,11,entity,35,635
1,uncertain,11,entity,36,16326
1,uncertain,11,readout,46,374
1,uncertain,12,entity,35,450
1,uncertain,12,entity,36,21923
1,uncertain,12,readout,46,443
1,uncertain,13,entity,35,2549
1,uncertain,13,entity,36,31762
1,uncertain,13,readout,46,1110
1,uncertain,14,entity,35,4650
1,uncertain,14,entity,36,25545
1,uncertain,14,readout,46,113
1,uncertain,15,entity,35,5722
1,uncertain,15,entity,36,35505
1,uncertain,15,readout,46,172
1,uncertain,16,entity,35,14699
1,uncertain,16,entity,36,39363
1,uncertain,16,readout,46,575
1,uncertain,17,entity,35,10348
1,uncertain,17,entity,36,39300
1,uncertain,17,readout,46,2
1,uncertain,18,entity,35,12163
1,uncertain,18,entity,36,42593
1,uncertain,18,readout,46,138
1,uncertain,19,entity,35,15380
1,uncertain,19,entity,36,16040
1,uncertain,19,readout,46,1
1,uncertain,20,entity,35,21443
1,uncertain,20,entity,36,24637
1,uncertain,20,readout,46,4
1,uncertain,21,entity,35,20813
1,uncertain,21,entity,36,12735
1,uncertain,21,readout,46,6
1,uncertain,22,entity,35,20507
1,uncertain,22,entity,36,12199
1,uncertain,22,readout,46,6
1,uncertain,23,entity,35,13600
1,uncertain,23,entity,36,7212
1,uncertain,23,readout,46,4
1,uncertain,24,entity,35,20386
1,uncertain,24,entity,36,14136
1,uncertain,24,readout,46,8
1,uncertain,25,entity,35,13402
1,uncertain,25,entity,36,16755
1,uncertain,25,readout,46,4
1,uncertain,26,entity,35,13634
1,uncertain,26,entity,36,30984
1,uncertain,26,readout,46,3
1,uncertain,27,entity,35,6263
1,uncertain,27,entity,36,17187
1,uncertain,27,readout,46,1
1,uncertain,28,entity,35,6135
1,uncertain,28,entity,36,12237
1,uncertain,28,readout,46,1
1,uncertain,29,entity,35,7650
1,uncertain,29,entity,36,16282
1,uncertain,29,readout,46,17
1,uncertain,30,entity,35,5627
1,uncertain,30,entity,36,16360
1,uncertain,30,readout,46,14
1,control,0,entity,35,57701
1,control,0,entity,36,26301
1,control,0,entity,37,70115
1,control,0,readout,47,15687
1,control,1,entity,35,58508
1,control,1,entity,36,104822
1,control,1,entity,37,80281
1,control,1,readout,47,15137
1,control,2,entity,35,19367
1,control,2,entity,36,45291
1,control,2,entity,37,24984
1,control,2,readout,47,377
1,control,3,entity,35,42882
1,control,3,entity,36,54114
1,control,3,entity,37,44619
1,control,3,readout,47,1138
1,control,4,entity,35,16305
1,control,4,entity,36,70652
1,control,4,entity,37,14846
1,control,4,readout,47,556
1,control,5,entity,35,13383
1,control,5,entity,36,65300
1,control,5,entity,37,11985
1,control,5,readout,47,477
1,control,6,entity,35,38833
1,control,6,entity,36,61768
1,control,6,entity,37,61048
1,control,6,readout,47,342
1,control,7,entity,35,6489
1,control,7,entity,36,45482
1,control,7,entity,37,55152
1,control,7,readout,47,768
1,control,8,entity,35,519
1,control,8,entity,36,48886
1,control,8,entity,37,10167
1,control,8,readout,47,703
1,control,9,entity,35,468
1,control,9,entity,36,30277
1,control,9,entity,37,6461
1,control,9,readout,47,204
1,control,10,entity,35,305
1,control,10,entity,36,17272
1,control,10,entity,37,10486
1,control,10,readout,47,217
1,control,11,entity,35,635
1,control,11,entity,36,9658
1,control,11,entity,37,17536
1,control,11,readout,47,374
1,control,12,entity,35,450
1,control,12,entity,36,18602
1,control,12,entity,37,3953
1,control,12,readout,47,504
1,control,13,entity,35,2549
1,control,13,entity,36,56669
1,control,13,entity,37,22470
