neuron_id,score_all,cos_out_with_direction,corr_act_with_prev_direction
L17_N5607,-0.4008081555366516,-0.21859662234783173,-0.5512081574740273
L18_N6394,-0.3098164200782776,0.10671941936016083,0.4270632599204557
L18_N8429,-0.2538306713104248,-0.14872972667217255,-0.681852145468178
L17_N11316,-0.21280761063098907,-0.08656514436006546,-0.20120911517723128
L16_N12347,0.20218801498413086,0.0012373346835374832,-0.31366238284353504
L21_N8761,-0.19912481307983398,0.12875822186470032,0.40987725223716315
L24_N10925,-0.1954275667667389,-0.07276420295238495,-0.6061776779234818
L18_N2351,0.18979033827781677,-0.0690704807639122,-0.7860476401925632
L14_N1518,-0.17785514891147614,0.08140391111373901,0.7985501553059489
L17_N2810,0.16976065933704376,0.019627513363957405,-0.16156375858349684
L16_N1227,0.16793057322502136,-0.044318847358226776,0.23771401693711117
L16_N9086,-0.1564846783876419,0.047890812158584595,0.13196944655828832
L13_N2212,-0.15421752631664276,-0.09055120497941971,-0.12010300711768296
L17_N9172,-0.1485034078359604,0.18432626128196716,0.35337482212287774
L21_N6349,-0.1370287835597992,-0.06290052831172943,-0.2780866482949977
L14_N4109,0.13518904149532318,0.09129848331212997,0.5122636718817409
L15_N11966,-0.1310136318206787,0.0755409449338913,0.14827803829828526
L16_N6443,0.13042601943016052,0.009580114856362343,-0.021868395409749712
L20_N8953,0.12009456008672714,-0.030325666069984436,-0.4222586371670752
L17_N8326,-0.11973033100366592,-0.12522588670253754,-0.3976572589396322
L20_N12078,0.11939388513565063,-0.058100372552871704,0.6741718575396353
L18_N7056,0.11868389695882797,-0.022269848734140396,0.5596677798610248
L19_N14030,-0.1169784814119339,-0.20436736941337585,0.12933080909523326
L18_N2546,-0.11266946792602539,-0.1111975684762001,-0.19411918304185505
L20_N9082,-0.11249002069234848,-0.07957496494054794,-0.4595606946205484
L16_N9686,-0.10736805200576782,0.06895925849676132,0.5610634427481042
L20_N9424,0.10603795200586319,0.07708616554737091,0.3917742384835013
L22_N3334,0.10504072904586792,-0.05190100893378258,0.548906442271568
L22_N11208,-0.09696805477142334,-0.07497920095920563,-0.6851647249929005
L17_N10831,0.09663993120193481,0.13593989610671997,0.4435763303247619
L21_N4937,-0.09412094205617905,0.06992259621620178,0.6481263001998716
L24_N6721,0.09238231182098389,0.03634246066212654,0.4781751477504247
L15_N5679,-0.08849900960922241,0.04504922777414322,0.24989158088900984
L21_N4332,0.0868014246225357,0.029199309647083282,-0.5660799594110524
L14_N3405,0.08649086952209473,-0.19461096823215485,-0.4313445091881377
L12_N678,-0.08268246799707413,0.09817828238010406,0.5687327847195364
L17_N10179,-0.08128548413515091,0.06326775252819061,0.10073263375141128
L14_N2672,0.07996255159378052,-0.012090038508176804,0.10969133756802542
L17_N2578,-0.07613956183195114,0.053076136857271194,-0.0282835693637673
L19_N2223,-0.07442906498908997,-0.04208686947822571,-0.8045836337665713
L19_N9441,0.07433831691741943,0.02195608802139759,0.32447475579125656
L19_N12457,-0.07400835305452347,0.002297180937603116,0.31983195674750436
L19_N7074,0.07383554428815842,0.06261273473501205,0.8181678073809879
L14_N11430,-0.0734882652759552,-0.008402381092309952,-0.5767289587964114
L13_N13999,-0.07342993468046188,0.07434292882680893,0.6797365252415053
L22_N3127,0.07094338536262512,0.08402334153652191,0.8155984771119086
L20_N12816,0.06970950961112976,-0.03622691333293915,-0.5328929110762497
L21_N13120,-0.06951268017292023,0.08002933114767075,0.7596102160877607
L16_N2991,-0.06941422075033188,-0.055375415831804276,-0.1334113426349813
L21_N3205,0.06766949594020844,0.041728805750608444,-0.5488985563459562
