layer,head,attr_score,attr_abs,rec_control_to_uncertain,rec_uncertain_to_control,n_pairs
17,20,-0.745574680520685,0.8219268614349339,0.2029902722811121,0.39219911386445067,80
21,9,-0.731405469964696,0.7348509557612971,0.17274038981596326,0.30458773591495325,80
31,26,-0.6397417667321861,0.6397417667321861,0.13949863124392542,0.18226950601462294,80
13,11,-0.4582365529923948,0.5865307999234062,0.12957806671742328,0.18716409001161713,80
15,7,-0.43252262009744413,0.5801074917802964,0.11867660496668739,0.21014295409906483,80
15,4,-0.22703973161800944,0.46882243312709876,0.10550445555976569,0.2729116879527422,80
31,24,-0.39585609147325157,0.3991229026578367,0.10278509831722522,0.15503144671182262,80
29,0,-0.37231340959001497,0.4216624656749005,0.10236523999265809,0.24318400454120637,80
13,30,-0.2941151722721713,0.4751671867481775,0.10010977630544296,0.2545425510798873,80
16,4,-0.16918926343013252,0.3505597158165642,0.08861134317511167,0.2516251709561503,80
11,4,-0.19675029776067846,0.38146685207128145,0.07385847875680555,0.0694775913061749,80
12,28,-0.20767745168947158,0.33842131281729737,0.06634743555585725,0.06006054881935073,80
12,22,-0.19743942558098979,0.34960866534141816,0.05822284322580007,0.10695862242869025,80
10,24,-0.13081354503988224,0.35539678570844446,0.055812464316078156,0.029490885318362837,80
8,16,-0.0056465177129211945,0.343218486103251,0.05409995884023302,-0.07578733964215113,80
8,6,-0.21721222473604768,0.3476533853560142,0.049563798964241755,0.03537572330190224,80
10,27,-0.18504377123683183,0.3915781220736392,0.044773104517157714,0.0272433277158379,80
13,28,0.12822776204702677,0.42159291767620743,0.021284755661808232,-0.013207773867392528,80
0,2,-0.07639537500243138,0.48860949103814727,0.01518280170707858,0.12331048341543935,80
8,19,0.042416750567480226,0.4331835762359958,0.010107686803330596,0.2328564084231707,80
15,10,0.027569685931700852,0.363279161898015,0.009997982730456259,-0.15552580082590672,80
0,24,0.17032108964614848,0.39358163893559206,-0.005878892849118414,0.018783189397568845,80
12,12,0.014774742407325903,0.44584847451246784,-0.021259684818246923,-0.015295506472144765,80
0,3,0.07681540151716035,0.34911160634701444,-0.021430277592828846,0.13670638768681737,80
15,11,0.06398909658902027,0.3544446755166206,-0.027465251423808002,0.15720009265488194,80
13,16,0.21644296073015995,0.34985956478883506,-0.04322357299775155,-0.0047049767867466865,80
13,0,0.29368580302042346,0.44333076115286757,-0.06305326381861592,-0.13363815277351584,80
31,25,0.4213015349581838,0.44033769201487305,-0.07710432293882029,-0.16547174625649003,80
17,22,0.27465687706842773,0.3333325098440625,-0.07944275978670001,-0.045950699578976205,80
15,6,0.5092934321669759,0.7029919065487888,-0.09342510963232827,-0.15249906399719107,80
