k,n_heads,n_neurons,recovery
5,4,1,0.4927032867933746
10,7,3,0.6588509499240824
20,8,12,0.7105359790146336
40,10,30,0.8111341439333438
60,11,49,0.8462007852165039
80,12,68,0.8806320119638902
100,13,87,0.8870442197350721
120,20,100,0.7977494099617891
