layer,head,proj_dir_uncertain,proj_dir_control,proj_dir_diff,attn_to_entity_uncertain,attn_to_entity_control,rec_control_to_uncertain
17,20,0.21845267398748547,-0.020433122757822275,0.23888579674530774,0.005993556976318359,0.008996391296386718,0.2029902722811121
21,9,0.3780313333496451,0.0668440871173516,0.31118724623229355,0.004994726181030274,0.009233665466308594,0.17274038981596326
31,26,0.14973108009435238,-0.13950676806271076,0.2892378481570631,0.0025478363037109374,0.003298187255859375,0.13949863124392542
13,11,0.04473653421737254,-0.03971806965419091,0.08445460387156345,0.12174868583679199,0.08871612548828126,0.12957806671742328
15,7,0.021672959614079446,-0.06926082884892822,0.09093378846300766,0.004446983337402344,0.004450416564941407,0.11867660496668739
15,4,0.022031818702816963,-0.01874098472180776,0.04077280342462472,0.174664306640625,0.06657943725585938,0.10550445555976569
31,24,0.17424568720161915,-0.04333354055415839,0.21757922775577754,0.0024630069732666016,0.001565706729888916,0.10278509831722522
29,0,0.2632323982194066,-0.20622966373339296,0.46946206195279955,0.0036971449851989748,0.00318453311920166,0.10236523999265809
13,30,0.11289296112954617,0.006034577381797135,0.10685838374774903,0.287091064453125,0.1535919189453125,0.10010977630544296
16,4,0.03584315829211846,-0.043848080839961764,0.07969123913208023,0.0344512939453125,0.04262619018554688,0.08861134317511167
11,4,0.07838416416198016,-0.005946613848209381,0.08433077801018954,0.154144287109375,0.140484619140625,0.07385847875680555
12,28,0.02175282291136682,-0.0007675924309296534,0.022520415342296474,0.1129638671875,0.114703369140625,0.06634743555585725
12,22,-0.008263243059627712,-0.022117222868837418,0.013853979809209705,0.0772369384765625,0.0675537109375,0.05822284322580007
10,24,0.03588797270786017,0.024057626747526227,0.011830345960333943,0.07495269775390626,0.0714202880859375,0.055812464316078156
8,16,-0.07311998847872019,-0.0763607645407319,0.003240776062011716,0.005512809753417969,0.007551765441894532,0.05409995884023302
8,6,-0.00239144805673277,-0.009164399607107044,0.006772951550374273,0.020676422119140624,0.023244094848632813,0.049563798964241755
10,27,0.023838352703023702,-0.02654689464252442,0.050385247345548126,0.0816925048828125,0.0930694580078125,0.044773104517157714
13,28,-0.059024006314575675,-0.018753222667146473,-0.0402707836474292,0.01463775634765625,0.014469146728515625,0.021284755661808232
0,2,-0.0015258487925166263,-0.0015411393134854734,1.5290520968847107e-05,0.002503824234008789,0.0017454147338867188,0.01518280170707858
8,19,0.029209555638954044,0.024799077003262938,0.004410478635691106,0.010865020751953124,0.010884857177734375,0.010107686803330596
15,10,-0.145250509865582,0.12193692782893777,-0.26718743769451975,0.065283203125,0.0741851806640625,0.009997982730456259
0,24,0.0007093907770467922,0.0007140457149944268,-4.654937947634586e-06,0.01824789047241211,0.018982887268066406,-0.005878892849118414
12,12,-0.05984268808970228,0.0016791019588708878,-0.061521790048573166,0.0010340094566345214,0.0010133743286132812,-0.021259684818246923
0,3,0.0017439572315197439,0.0017491344595327973,-5.177228013053406e-06,0.010560226440429688,0.018674087524414063,-0.021430277592828846
15,11,0.11805898795137182,-0.1797519713640213,0.29781095931539314,0.25662689208984374,0.130548095703125,-0.027465251423808002
13,16,-0.020584393746685237,0.034468726970953864,-0.0550531207176391,0.11157073974609374,0.097637939453125,-0.04322357299775155
13,0,-0.07593262288719416,-0.012069439445622266,-0.0638631834415719,0.128790283203125,0.09090423583984375,-0.06305326381861592
31,25,0.041605635022278875,0.16026999354362487,-0.11866435852134599,0.0024399757385253906,0.002256649732589722,-0.07710432293882029
17,22,-0.06548072617151775,0.023565271688858046,-0.08904599786037579,0.03459014892578125,0.026206207275390626,-0.07944275978670001
15,6,0.033516252727713435,0.17397792264819145,-0.140461669920478,0.0160980224609375,0.00818042755126953,-0.09342510963232827
