run,neuron_id,category,is_candidate,n_unc,n_ctrl,unc_mean,unc_dz,unc_p,unc_work_mean,unc_work_p,unc_held_mean,unc_held_p,ctrl_mean,ctrl_p,mean_abs_shift,interaction,interaction_t,interaction_p,slope,slope_p,slope_r,unc_p_fdr,ctrl_p_fdr,interaction_p_fdr,slope_p_fdr,unc_held_p_fdr
ablation_bf16_old15,L23_N12149,ambiguity,False,120,120,-0.0019405227775375075,-0.07026191624257662,0.447877606119694,0.0006409699895552132,0.8108594570271487,-0.007964005900753857,0.15824208789560523,0.0038515616829196578,0.09409529523523824,0.01600757682075098,-0.005792084460457165,-1.7087417001808216,0.08199180081991801,-0.032747946305137686,0.494532289651032,-0.06295691875710893,False,False,False,False,False
ablation_bf16_old15,L23_N12149,contradictory_context,False,120,120,-0.003896810238560036,-0.175232080588933,0.055897205139743014,-0.0038971190917349977,0.1382430878456077,-0.003896089581151791,0.22123893805309736,-0.0019185607864831854,0.4168791560421979,0.01161499066899216,-0.0019782494520768504,-0.6408386112242171,0.5231476852314768,0.04524172519864732,0.014439012787015676,0.22281947136431463,False,False,False,False,False
ablation_bf16_old15,L23_N12149,lack_of_knowledge,False,120,120,-0.003419034679730727,-0.21991720814169824,0.018049097545122742,-0.00258309642473856,0.14429278536073195,-0.005369557274712449,0.033398330083495825,0.003541357504824794,0.1712414379281036,0.011234236756960506,-0.006960392184555521,-2.3857760502209775,0.014698530146985302,-0.057811985515336686,0.28004003260155114,-0.09940700600946643,False,False,False,False,False
ablation_bf16_old15,L23_N12156,ambiguity,True,120,120,0.002126906377573796,0.09141857802964914,0.3230838458077096,0.0033696060556740867,0.15244237788110596,-0.0007727262046602169,0.8707064646767662,0.004440576458970698,0.044197790110494475,0.013529527373611879,-0.002313670081396902,-0.7585478280323701,0.45325467453254675,0.007151814278831788,0.6361165216104756,0.04362723200235988,False,False,False,False,False
ablation_bf16_old15,L23_N12156,contradictory_context,True,120,120,-0.0003477663733065148,-0.01661279509429723,0.8563071846407679,0.0003906454270084711,0.8687565621718915,-0.0020707272407081505,0.5301734913254337,-0.00032285856238255413,0.8555572221388931,0.011217560588071695,-2.4907810923960642e-05,-0.00966144981054638,0.9919008099190081,0.005804983463464708,0.7542334905796592,0.028874798415600852,False,False,False,False,False
ablation_bf16_old15,L23_N12156,lack_of_knowledge,True,120,120,0.0003240942955017066,0.020416675499554386,0.8253587320633968,0.0010817249615987083,0.5453227338633069,-0.001443710592057964,0.576321183940803,0.0010296530711154006,0.6590670466476676,0.011096117893854732,-0.000705558775613694,-0.2604748857270602,0.8025197480251974,0.015924929188474074,0.24527512397604154,0.10688127042129167,False,False,False,False,False
ablation_bf16_old15,L24_N2286,ambiguity,False,120,120,0.0030884150726099846,0.14379770458540514,0.11724413779311034,0.0036939409605803958,0.10344482775861207,0.0016755213340123598,0.687565621718914,0.0037046724309523905,0.08569571521423928,0.012154415342956738,-0.0006162573583424059,-0.21135000980796056,0.8332166783321668,0.03457062560754243,0.3482559521336305,0.08636912436658663,False,False,False,False,False
ablation_bf16_old15,L24_N2286,contradictory_context,False,120,120,0.0005464876691500318,0.03015347830980933,0.7486125693715314,7.353918183417554e-05,0.9714514274286286,0.0016500341395536955,0.6344182790860456,-0.0016933763011669116,0.3336833158342083,0.009060100341836567,0.0022398639703169435,0.9365287073268478,0.3538646135386461,-0.0008493641209057089,0.957331072432468,-0.004935774168519906,False,False,False,False,False
ablation_bf16_old15,L24_N2286,lack_of_knowledge,False,120,120,-0.0004681736230850213,-0.024213598627925683,0.7902604869756512,0.0007813445159367173,0.7255137243137844,-0.003383715947469078,0.23413829308534573,-0.001573341138040026,0.47977601119944,0.012334149082501682,0.0011051675149550046,0.3901531109562337,0.6964303569643036,0.022947206433889783,0.7664511210830687,0.02739576621297199,False,False,False,False,False
ablation_bf16_old15,L24_N7891,ambiguity,True,120,120,0.0011242741718888324,0.039996459216050995,0.6632168391580421,0.0022119254406009438,0.4260786960651967,-0.0014135787884394294,0.8103594820258987,0.002898130255440874,0.2262886855657217,0.01619889345020051,-0.0017738560835520415,-0.5059704060183231,0.6154384561543845,-0.039183438016717045,0.02700678349296704,-0.2019035710258448,False,False,False,False,False
ablation_bf16_old15,L24_N7891,contradictory_context,True,120,120,-0.0005162110862632533,-0.030923124817976922,0.7398130093495325,-0.0002775488066531286,0.8834558272086396,-0.0010730897386868777,0.7099645017749112,-0.0022826346335932473,0.3566821658917054,0.00911437046403681,0.0017664235473299939,0.6134640952785483,0.5365463453654634,0.0023226146826873083,0.7786876486262678,0.025921387134786568,False,False,False,False,False
ablation_bf16_old15,L24_N7891,lack_of_knowledge,True,120,120,-0.0015784035126368168,-0.07481525544936839,0.4192290385480726,0.0005677711395990282,0.8220588970551472,-0.006586144367853788,0.008999550022498875,0.006713166926056139,0.011149442527873607,0.012644377350807139,-0.008291570438692957,-2.5661923041723362,0.0103989601039896,0.04706080265753508,0.29297934708097667,0.09678571982025895,False,False,False,False,False
ablation_bf16_old15,L26_N11322,ambiguity,True,120,120,0.003617067728191604,0.13847324395531824,0.13244337783110843,0.005887022463693493,0.03629818509074546,-0.0016794933213128043,0.7432628368581571,0.001771854919691877,0.30703464826758664,0.014508640673011493,0.0018452128084997272,0.6314898206193855,0.5262473752624738,0.0035390000602254336,0.8636768260225824,0.015838391347235112,False,False,False,False,False
ablation_bf16_old15,L26_N11322,contradictory_context,True,120,120,-0.0010126020759344172,-0.04514247581170042,0.6279686015699215,-3.059820405075681e-05,0.9897505124743763,-0.0033039444436629584,0.43072846357682115,-0.001660311792511503,0.19239038048097595,0.011472092134257116,0.0006477097165770859,0.2699566530252062,0.7865213478652134,0.010161618648898751,0.7857591136348303,0.025072342865565565,False,False,False,False,False
ablation_bf16_old15,L26_N11322,lack_of_knowledge,True,120,120,-0.0003150254487991262,-0.015781281917413358,0.8653067346632668,0.0007663468519846653,0.7380130993450328,-0.0028382274839613055,0.3583820808959552,0.00247742612846196,0.2776861156942153,0.012555035948753308,-0.002792451577261086,-0.95995178197405,0.3374662533746625,0.056068531535550976,0.005750996229358255,0.25068819216280924,False,False,False,False,False
ablation_bf16_old15,L26_N2788,ambiguity,True,120,120,0.0013475995510816587,0.05249480663844046,0.5703214839258037,0.001816072279498691,0.47817609119544024,0.0002544965181085811,0.9594520273986301,0.002035734305779139,0.3647317634118294,0.014997427786389938,-0.0006881347546974803,-0.21260931605700853,0.8253174682531746,0.007642582636063913,0.34584527717728386,0.08680037491231356,False,False,False,False,False
