run,neuron_id,category,is_candidate,n_unc,n_ctrl,unc_mean,unc_dz,unc_p,unc_work_mean,unc_work_p,unc_held_mean,unc_held_p,ctrl_mean,ctrl_p,mean_abs_shift,interaction,interaction_t,interaction_p,slope,slope_p,slope_r,unc_p_fdr,ctrl_p_fdr,interaction_p_fdr,slope_p_fdr,unc_held_p_fdr
ablation_bf16_v3set,L20_N1001,ambiguity,True,120,120,-0.0018421621682743283,-0.06885698319274852,0.45242737863106847,-0.0005078232802805538,0.8484575771211439,-0.004955619573593136,0.36373181340932953,0.0001950453966856012,0.9388530573471326,0.017422800914694815,-0.0020372075649599296,-0.5918076092814195,0.5536446355364464,-0.011517715663064828,0.7487056621322834,-0.029546376352836128,False,False,False,False,False
ablation_bf16_v3set,L20_N1001,contradictory_context,True,120,120,-0.0021661016469200494,-0.08934671832226816,0.32843357832108394,-0.0024078039541131032,0.37083145842707865,-0.0016021295968029231,0.6957152142392881,-0.006715893217672907,0.021498925053747314,0.0140901465589801,0.004549791570752857,1.2459137929449242,0.22037796220377961,0.0005164767276386224,0.9748496295008724,0.0029084020705176282,False,False,False,False,False
ablation_bf16_v3set,L20_N1001,lack_of_knowledge,True,120,120,-0.002352204918861382,-0.12449136376267003,0.17304134793260337,-0.0023767437253679503,0.2714364281785911,-0.002294947703679391,0.46272686365681714,-0.002229084990297765,0.2942852857357132,0.012496609489122975,-0.00012311992856361715,-0.045313656484963084,0.9676032396760323,0.03410613592104847,0.3593254082996564,0.08441249760143721,False,False,False,False,False
ablation_bf16_v3set,L20_N12149,ambiguity,False,120,120,0.002882788268228371,0.1090731226989704,0.23743812809359532,0.004109604993746388,0.11979401029948503,2.0215908686331457e-05,0.9964001799910005,0.003573986204961935,0.16849157542122895,0.01620429934312895,-0.0006911979367335637,-0.19557394539420975,0.8466153384661533,-0.049212742544245534,0.4146138554648251,-0.07515334611016293,False,False,False,False,False
ablation_bf16_v3set,L20_N12149,contradictory_context,False,120,120,-0.0003033700709541729,-0.01564584825908657,0.8635568221588921,0.0016498266320143285,0.4615269236538173,-0.004860829044547342,0.08349582520873956,0.0006148185852604496,0.7981100944952753,0.01026398750642931,-0.0009181886562146225,-0.3099244095715059,0.7544245575442455,-0.018282671633385157,0.7421340178210467,-0.030346789003045528,False,False,False,False,False
ablation_bf16_v3set,L20_N12149,lack_of_knowledge,False,120,120,-0.00293670793374378,-0.15853218384905052,0.08599570021498926,-0.003341778403236734,0.1398930053497325,-0.0019915435049268856,0.36493175341232936,0.004109648754820223,0.11814409279536023,0.012079814076423594,-0.007046356688564003,-2.266919446192018,0.023897610238976102,0.07877933932856605,0.19944678738237784,0.11795840492428165,False,False,False,False,False
ablation_bf16_v3set,L20_N12894,ambiguity,True,120,120,0.0019755496953924477,0.08322096119407742,0.36678166091695413,0.0028777213855868213,0.27538623068846557,-0.00012951758172775828,0.9731513424328784,0.0012944964071114832,0.5413229338533073,0.014625598552326313,0.0006810532882809645,0.2266576338334454,0.8248175182481752,0.08541047280888572,0.25843831466242123,0.10397101564031586,False,False,False,False,False
ablation_bf16_v3set,L20_N12894,contradictory_context,True,120,120,-0.004005078754077356,-0.16546091530000873,0.07259637018149093,-0.0037269418438275687,0.2096395180240988,-0.0046540648779935245,0.09824508774561272,-0.0013433180206144822,0.5542222888855557,0.013428969029337124,-0.0026617607334628738,-0.8451857090280528,0.41205879412058793,-0.12688727020195883,0.07942189494205264,-0.16076163543208202,False,False,False,False,False
ablation_bf16_v3set,L20_N12894,lack_of_knowledge,True,120,120,-0.002023637294769284,-0.11418792092844156,0.21883905804709763,-0.0008088577361333922,0.7010149492525374,-0.004858122931586364,0.08094595270236488,-0.0009600454320510249,0.7069646517674116,0.011870376269022572,-0.0010635918627182593,-0.3574894124930184,0.73002699730027,-0.04620856496884512,0.6136185941197037,-0.0465544940816222,False,False,False,False,False
ablation_bf16_v3set,L20_N1399,ambiguity,True,120,120,0.0029291454081733993,0.10458748564981621,0.2610369481525924,0.004144188637534775,0.18039098045097746,9.404453966352354e-05,0.9851507424628768,-0.0007345184062918023,0.800109994500275,0.015910717037816793,0.0036636638144652016,0.9458425170378242,0.3521647835216478,0.03970493725282876,0.5355417729463459,0.05711020536855982,False,False,False,False,False
ablation_bf16_v3set,L20_N1399,contradictory_context,True,120,120,-0.002456768198559688,-0.1174507080770379,0.2031898405079746,-0.0013314351173383905,0.5896705164741763,-0.005082545388076051,0.08929553522323884,-0.00025759193425377297,0.9019049047547623,0.011147650734831841,-0.002199176264305915,-0.7899575832074314,0.43625637436256376,-0.002219544251198732,0.9444730513184587,-0.006425240299206629,False,False,False,False,False
ablation_bf16_v3set,L20_N1399,lack_of_knowledge,True,120,120,-0.000786805152893059,-0.04264790015156123,0.6501174941252937,-0.0011176069577534882,0.6266686665666716,-1.4934274885392046e-05,0.9944502774861257,0.0043484893782685125,0.0024998750062496873,0.010872052113215076,-0.005135294531161572,-2.3013833186802928,0.020897910208979104,0.05732859315291936,0.4206557673676008,0.07418717825976937,False,False,False,False,False
ablation_bf16_v3set,L20_N2742,ambiguity,True,120,120,5.526573707659553e-05,0.0026143020528020984,0.9768011599420029,0.0011427073429028107,0.6049697515124244,-0.002482098009851241,0.5449727513624318,0.002682416016856823,0.32103394830258486,0.01195546009888247,-0.0026271502797802276,-0.7989722097321609,0.4303569643035696,0.11039266781397318,0.0034774159370536285,0.26473948382155305,False,False,False,False,False
ablation_bf16_v3set,L20_N2742,contradictory_context,True,120,120,-0.003231335710734131,-0.1163908799961281,0.1984400779961002,-0.0029311085652027856,0.351832408379581,-0.003931865716973937,0.3732313384330783,-0.0032254315524672377,0.13419329033548322,0.016505960406114614,-5.904158266893233e-06,-0.0017867410514503898,0.999000099990001,0.053471445398371,0.30797429235457174,0.09384221033736741,False,False,False,False,False
ablation_bf16_v3set,L20_N2742,lack_of_knowledge,True,120,120,0.0035392234722773142,0.16130424685746367,0.08129593520323984,0.004311520428884584,0.10359482025898704,0.0017371972401936846,0.551522423878806,0.003641845518723124,0.16529173541322933,0.01337322493394211,-0.00010262204644580957,-0.03152973221114619,0.9753024697530247,0.02722411412302152,0.5659687270262495,0.052915800672292554,False,False,False,False,False
