kind,layer,index,drop_recovery,marginal
head,18,18,0.6729632780998794,0.292990403699695
head,16,5,0.7911492722811712,0.17480440951840326
head,17,1,0.8033980640949143,0.1625556177046601
head,14,10,0.8367880157445753,0.12916566605499913
head,14,3,0.8906325608920597,0.07532112090751475
head,16,1,0.8977293966047105,0.0682242851948639
head,14,9,0.9132344697343686,0.0527192120652058
head,20,1,0.9177178490018673,0.04823583279770716
neuron,22,18910,0.9390437652999313,0.02690991649964314
neuron,22,5246,0.9421720596747722,0.02378162212480217
head,14,8,0.9447753309986626,0.021178350800911794
neuron,19,2263,0.945789645931797,0.020164035867777375
head,20,4,0.9458694879918019,0.020084193807772488
neuron,19,17395,0.9481818783226994,0.017771803476875014
head,14,2,0.948501870865695,0.017451810933879375
neuron,19,5065,0.9521492835962038,0.01380439820337065
neuron,21,3391,0.9527132646438566,0.013240417155717776
neuron,20,11204,0.9561570987737669,0.009796583025807548
neuron,17,7652,0.9573341506429779,0.008619531156596527
neuron,17,9726,0.9592320514395445,0.006721630360029929
neuron,19,14920,0.9596270136669562,0.006326668132618174
neuron,21,3624,0.9598407474103299,0.00611293438924454
neuron,19,1488,0.9606725159274798,0.005281165872094595
neuron,20,13735,0.9607580424961347,0.005195639303439692
neuron,19,13828,0.9608101196743128,0.005143562125261569
neuron,21,2686,0.9609757391024929,0.004977942697081517
neuron,22,17362,0.9611950703362847,0.004758611463289708
neuron,18,12586,0.9614519473612791,0.004501734438295268
neuron,20,16130,0.9615701867571812,0.004383495042393215
neuron,19,36,0.9616561436621379,0.004297538137436496
neuron,19,4802,0.9618750987488623,0.00407858305071207
neuron,18,7085,0.961884645922067,0.004069035877507399
neuron,18,7948,0.9619060724772837,0.004047609322290757
neuron,20,17741,0.9619834522219897,0.00397022957758475
neuron,20,5541,0.9619995265642448,0.003954155235329604
neuron,22,8071,0.9622015261307917,0.0037521556687827307
neuron,21,502,0.9623270448349106,0.0036266369646638097
neuron,19,4720,0.9623344786712204,0.003619203128354065
neuron,20,12660,0.9625397162672472,0.003413965532327201
neuron,22,4520,0.9625787959952288,0.00337488580434564
neuron,18,1706,0.9627123814991614,0.0032413003004130303
neuron,22,13857,0.9627684404770723,0.003185241322502086
neuron,21,15926,0.9628544214524776,0.003099260347096844
neuron,20,13874,0.9628913270747228,0.0030623547248516125
neuron,22,14094,0.962899426682051,0.003054255117523441
neuron,19,2668,0.9629052481289638,0.003048433670610584
neuron,19,15718,0.9629686423617043,0.002985039437870096
neuron,22,11928,0.9630669369853823,0.002886744814192155
neuron,18,2657,0.9631206796263502,0.0028330021732242416
neuron,21,10931,0.9631431394931615,0.0028105423064128665
neuron,20,8443,0.9632676597342271,0.0026860220653472933
neuron,12,18543,0.9633161467736393,0.0026375350259351116
neuron,20,18926,0.9635384245407106,0.0024152572588638233
neuron,20,6819,0.9636334238676425,0.0023202579319319128
neuron,18,15068,0.9638145369251935,0.0021391448743809383
neuron,22,8911,0.9640398205103411,0.0019138612892333207
neuron,20,12861,0.9641070614723735,0.001846620327200954
neuron,19,13586,0.9642102601667573,0.0017434216328171548
neuron,22,7938,0.9642419607948557,0.0017117210047187248
neuron,22,15038,0.9643145632004214,0.001639118599153
neuron,22,16758,0.9643152766175599,0.001638405182014524
neuron,18,16375,0.9643523653467396,0.001601316452834789
neuron,17,11532,0.9644027221160536,0.001550959683520814
neuron,18,18827,0.9644671093518883,0.0014865724476861297
neuron,20,5795,0.9644723189841332,0.0014813628154412006
neuron,20,7805,0.9645420995243752,0.001411582275199219
neuron,20,15258,0.9645515833451368,0.001402098454437617
neuron,19,9096,0.9646335977597481,0.001320084039826308
