k,n_heads,n_neurons,recovery
5,5,0,0.5898479687125775
10,8,2,0.8571008423222108
20,11,9,1.0302980375091189
40,11,29,1.1016734266605386
60,11,49,1.1354876686276354
80,11,69,1.1243967060723048
100,12,88,1.0837761118836977
120,20,100,0.8569228382640006
