layer,head,attr_score,attr_abs,rec_control_to_uncertain,rec_uncertain_to_control,n_pairs
18,18,-1.5914701425961102,1.9012533662724715,0.2110101748833483,0.23710268895256262,80
20,1,-0.37620812437977824,1.7708982075785473,0.15259141544853733,0.44727884962167497,80
16,5,-1.2607831510533447,1.8402587514488462,0.09624151132901117,0.02082398487083792,80
17,1,-0.651029477024716,1.3079721921836969,0.08762067212396976,0.10916358668534128,80
16,2,-0.643717688915962,1.1279079782762698,0.04554093336566768,0.0010966452406232841,80
18,15,0.43583884618041263,1.5032725854027347,0.04541618342807957,0.07767662302761005,80
14,3,-0.5055813867643325,1.5176672201307786,0.040174306607382,-0.04963538048666204,80
14,9,-0.2739081749841461,0.9585279485301925,0.03720039620163619,0.026494216676781878,80
15,24,-0.2616312728731449,1.16892759452175,0.036475857074060425,-0.022404156491355163,80
14,10,-0.5710631479459913,1.3398984471107531,0.03571183877858982,-0.032157791199376194,80
20,4,0.19057088371264883,1.1974279485750272,0.030811274862243564,0.13421042979721381,80
15,4,-0.5286146532009616,1.4734771781996363,0.028458293524591845,0.010238584207506984,80
14,2,0.2972606412923864,1.1278166673739276,0.012079129959527864,0.12008574755865631,80
15,1,0.3750473221011432,1.4558340148437856,0.009901653427633323,0.05868472124204708,80
14,12,-0.23176615797751127,1.2565514790991834,0.009203392293880786,0.007588697386226473,80
14,13,0.7454343070679932,1.9767439149497712,0.00757626411808319,0.10157278400902155,80
16,1,0.13824340865045204,1.3989828300704834,0.0005956271588811069,0.18301214173451388,80
14,8,0.000246244315437856,0.9735239063715937,-0.001255162701610736,0.06851626138716467,80
15,23,-0.36754329447924405,1.5144445023383148,-0.003561483633897122,-0.008593939796953443,80
17,21,0.5452151106022022,1.127694123029638,-0.004367842675810878,0.036176166659406206,80
15,22,0.18906213422933266,1.1285681838657196,-0.016815499617711522,0.023666901251575678,80
15,27,0.5136785771429322,1.6519369059755873,-0.024261236016605073,0.07765902423875237,80
14,11,0.7582694457904828,1.484104277063448,-0.028677240486292766,0.07828024031038831,80
20,2,1.201339530026068,2.767471528218233,-0.030464411916797458,-0.12654601220625997,80
16,0,0.423298780325238,1.0135388179197566,-0.03895837751021279,0.08646166821796561,80
16,4,0.6467484602558252,1.0030038692259073,-0.04038595595043222,0.06914735173362821,80
16,6,0.7439027196915842,0.9914874837193611,-0.0433119639841079,0.029556432949629508,80
18,17,0.21624525304488457,0.9735005627199182,-0.048733606433561553,-0.06784150397738135,80
17,4,0.6589860886601849,1.2088561838382335,-0.07384971993984081,0.04363057145437604,80
18,7,0.4833910591339965,1.1047189135024937,-0.08053533067204989,0.0009426956154825084,80
