neuron_id,score_all,cos_out_with_direction,corr_act_with_prev_direction
L21_N3391,-0.8972285985946655,-0.10794626921415329,-0.5456785361705818
L22_N17616,0.5258622765541077,-0.15420010685920715,-0.6153240611247582
L19_N17395,-0.47510862350463867,0.18040470778942108,0.009500416983384639
L22_N8911,0.41185426712036133,0.03425709903240204,-0.5649558257274495
L18_N18827,-0.3903484642505646,0.15139999985694885,0.6785616948252926
L20_N16199,0.3809407353401184,0.1171293780207634,0.587005773939225
L20_N13874,-0.3782232999801636,-0.13404318690299988,-0.603973506721019
L19_N14920,-0.36919495463371277,-0.049701984971761703,-0.5729006786639566
L22_N5246,-0.36602479219436646,0.0642942413687706,0.04423054481897771
L22_N11928,-0.36499619483947754,-0.09349173307418823,-0.4631135948706976
L21_N9831,0.35939040780067444,0.10445449501276016,0.6075722953024828
L19_N2041,-0.3545258343219757,-0.2537301778793335,-0.7848754691794572
L21_N10273,-0.32408303022384644,0.057976990938186646,0.49642496483339926
L21_N2686,-0.32204514741897583,-0.09898445755243301,-0.6229014535016693
L18_N7085,-0.29488223791122437,0.0905236303806305,0.21337517019213886
L19_N5065,-0.28878530859947205,0.008738341741263866,-0.41869825335356575
L19_N1488,0.28035444021224976,0.016207171604037285,0.7446816797137482
L21_N3624,-0.27917516231536865,0.07473549991846085,0.21207732984747218
L20_N17741,0.2782250940799713,-0.12037085741758347,-0.695480088382442
L21_N8621,-0.2748449444770813,-0.05792351812124252,-0.5362334708919106
L19_N2668,0.2651805877685547,0.12496774643659592,0.40633572080488695
L20_N18926,-0.25991764664649963,-0.12796208262443542,-0.6833248991477981
L19_N4802,0.25955116748809814,-0.134779155254364,-0.3919656890192884
L19_N8673,0.2575930655002594,-0.10741302371025085,-0.5892221001873141
L19_N36,-0.2528861463069916,0.11022888869047165,0.21492427763159852
L22_N16758,-0.24127241969108582,-0.06526830047369003,-0.478442608937427
L21_N4900,-0.2382068932056427,-0.03969378396868706,-0.8722329286905806
L22_N12740,0.23392808437347412,-0.14283116161823273,-0.40303522173945017
L19_N16973,0.22037966549396515,0.18360623717308044,0.7890690440283552
L18_N12586,-0.2182883471250534,-0.12729336321353912,-0.3360054342995443
L22_N7938,-0.21769914031028748,-0.12495448440313339,-0.6663614599197262
L17_N11532,-0.2146967649459839,-0.11189670860767365,-0.09268464099735324
L12_N18543,-0.20989277958869934,-0.04036222770810127,-0.058776315818926075
L20_N18509,0.20289213955402374,0.058941829949617386,0.7745006763054396
L17_N7652,-0.19994810223579407,0.11243519932031631,0.14920975499375294
L17_N16972,0.19518789649009705,-0.02195516787469387,-0.2693912877459311
L19_N4795,-0.19405034184455872,-0.07220558077096939,-0.591045950990793
L20_N6819,-0.1916670799255371,0.007592204492539167,0.6374997453498571
L18_N11075,0.1891472041606903,-0.17489881813526154,-0.19313687497788723
L20_N886,-0.1864735633134842,0.1724516600370407,0.46819854704425506
L21_N502,-0.18573853373527527,0.021244430914521217,0.811473225607861
L21_N18491,0.1822599470615387,-0.11349152028560638,-0.7042510026732682
L22_N8071,0.1810797154903412,0.06264358758926392,0.8408113000973798
L22_N18910,-0.1799749881029129,-0.07267147302627563,-0.11014912263375605
L22_N14094,-0.17773912847042084,-0.08092410117387772,-0.4753042431893566
L22_N1182,0.17272619903087616,-0.02393261343240738,-0.674695326456893
L19_N4720,0.1726381778717041,0.12375445663928986,-0.5626623143478975
L19_N13828,-0.17173542082309723,0.07922133058309555,0.514398597427987
L20_N12861,0.16959020495414734,0.01718636229634285,-0.31316830928547595
L18_N2657,-0.16505171358585358,-0.15015801787376404,-0.28195501036239357
