layer,head,proj_dir_uncertain,proj_dir_control,proj_dir_diff,attn_to_entity_uncertain,attn_to_entity_control,rec_control_to_uncertain
18,18,0.3637226948514581,-0.1391014120541513,0.5028241069056094,0.2778564453125,0.10993270874023438,0.2110101748833483
20,1,1.0241321250796318,-0.6754327818751336,1.6995649069547654,0.00669708251953125,0.003092527389526367,0.15259141544853733
16,5,-0.04463498105760664,0.04424963479395956,-0.0888846158515662,0.16976318359375,0.1100067138671875,0.09624151132901117
17,1,0.0280630674213171,-0.3654699448496103,0.3935330122709274,0.011733245849609376,0.00485992431640625,0.08762067212396976
16,2,0.013712143688462675,0.058000393630936745,-0.04428824994247407,0.137335205078125,0.06977081298828125,0.04554093336566768
18,15,0.7164321046322584,-0.3653636742848903,1.0817957789171486,0.163482666015625,0.02385568618774414,0.04541618342807957
14,3,-0.11077696047723293,-0.05757615598849952,-0.053200804488733405,0.116546630859375,0.07555084228515625,0.040174306607382
14,9,-0.08947812272235751,-0.05156413400545716,-0.037913988716900354,0.0065093994140625,0.003487396240234375,0.03720039620163619
15,24,-0.17287719659507275,-0.10758112501353026,-0.06529607158154249,0.07877197265625,0.05618896484375,0.036475857074060425
14,10,-0.10945400316268206,-0.07873750445432962,-0.03071649870835244,0.215576171875,0.131915283203125,0.03571183877858982
20,4,0.5224338326603174,-0.29427549336105585,0.8167093260213732,0.0739593505859375,0.02110595703125,0.030811274862243564
15,4,-0.07273475034162402,-0.06123354872688651,-0.011501201614737513,0.10576171875,0.0650634765625,0.028458293524591845
14,2,0.020852744486182927,0.0037004850106313824,0.017152259475551546,0.0264404296875,0.03217926025390625,0.012079129959527864
15,1,-0.018934584828093647,-0.07017775103449822,0.051243166206404574,0.114935302734375,0.06084747314453125,0.009901653427633323
14,12,-0.016006644000299275,-0.021441686281468718,0.005435042281169443,0.13175048828125,0.0915283203125,0.009203392293880786
14,13,0.09804748641327024,0.012823944282718002,0.08522354213055224,0.05652313232421875,0.04015045166015625,0.00757626411808319
16,1,0.05575479988474399,-0.015753549488727002,0.07150834937347099,0.30487060546875,0.16069488525390624,0.0005956271588811069
14,8,-0.0144767225952819,-0.03248797967098653,0.018011257075704633,0.107000732421875,0.064019775390625,-0.001255162701610736
15,23,0.18032403355464338,0.20976339355111123,-0.02943935999646785,0.01951141357421875,0.0136383056640625,-0.003561483633897122
17,21,-0.07749818102456629,-0.21353031359612942,0.13603213257156313,0.1045654296875,0.07142791748046876,-0.004367842675810878
15,22,0.06341091212816537,-0.12706590839661658,0.19047682052478193,0.08115234375,0.0598876953125,-0.016815499617711522
15,27,0.03661640253849328,-0.05835483733098954,0.09497123986948282,0.07208251953125,0.044223785400390625,-0.024261236016605073
14,11,0.1573356047272682,-0.029425553395412862,0.18676115812268107,0.0496246337890625,0.02992401123046875,-0.028677240486292766
20,2,-1.4945411290973425,-0.3101164262741804,-1.184424702823162,0.00907135009765625,0.0034017562866210938,-0.030464411916797458
16,0,0.03805655697360635,0.026725491299293934,0.011331065674312413,0.0576080322265625,0.03099365234375,-0.03895837751021279
16,4,0.23544029276818038,0.00768572858069092,0.22775456418748946,0.3151611328125,0.14918212890625,-0.04038595595043222
16,6,-0.0040882397093810145,-0.033068709843792024,0.02898047013441101,0.02824554443359375,0.012217330932617187,-0.0433119639841079
18,17,-0.534296902641654,-0.08908997857943177,-0.4452069240622222,0.004490089416503906,0.001967191696166992,-0.048733606433561553
17,4,0.03987551976460964,0.16003898000344635,-0.12016346023883671,0.009516334533691407,0.005146455764770508,-0.07384971993984081
18,7,0.33166756853461266,0.553280969709158,-0.2216134011745453,2.234696205860587e-09,1.0782068505945199e-10,-0.08053533067204989
